"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume" 
"Olfactory feedback for analytical tasks is a virtually unexplored area in spite of the advantages it offers for information recall, feature identification, and location detection. Here we introduce the concept of information olfactation as the fragrant sibling of information visualization, and discuss how scent can be used to convey data. Building on a review of the human olfactory system and mirroring common visualization practice, we propose olfactory marks, the substrate in which they exist, and their olfactory channels that are available to designers. To exemplify this idea, we present viScent: A six-scent stereo olfactory display capable of conveying olfactory glyphs of varying temperature and direction, as well as a corresponding software system that integrates the display with a traditional visualization display. Finally, we present three applications that make use of the viScent system: A 2D graph visualization, a 2D line and point chart, and an immersive analytics graph visualization in 3D virtual reality. We close the paper with a review of possible extensions of viScent and applications of information olfactation for general visualization beyond the examples in this paper.","https://ieeexplore.ieee.org/document/8444077/","LOCKED","8444077","University of Maryland, College Park, MD, USA","","1","Biswaksen Patnaik","","University of Maryland, College Park, MD, USA","","2","Andrea Batch","","University of Maryland, College Park, MD, USA","","3","Niklas Elmqvist","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","Journals","10.1109/TVCG.2018.2865237","736","https://ieeexplore.ieee.org/document/8444077/","Olfaction","smell","","scent","olfactory display","immersive analytics","immersion","","","","","Olfactory","Data visualization","Visualization","Task analysis","Two dimensional displays","Neurons","Virtual reality","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8444077","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","64","726","Information Olfactation: Harnessing Scent to Convey Data","25"
"A common challenge faced by many domain experts working with time series data is how to identify and compare similar patterns. This operation is fundamental in high-level tasks, such as detecting recurring phenomena or creating clusters of similar temporal sequences. While automatic measures exist to compute time series similarity, human intervention is often required to visually inspect these automatically generated results. The visualization literature has examined similarity perception and its relation to automatic similarity measures for line charts, but has not yet considered if alternative visual representations, such as horizon graphs and colorfields, alter this perception. Motivated by how neuroscientists evaluate epileptiform patterns, we conducted two experiments that study how these three visualization techniques affect similarity perception in EEG signals. We seek to understand if the time series results returned from automatic similarity measures are perceived in a similar manner, irrespective of the visualization technique; and if what people perceive as similar with each visualization aligns with different automatic measures and their similarity constraints. Our findings indicate that horizon graphs align with similarity measures that allow local variations in temporal position or speed (i.e., dynamic time warping) more than the two other techniques. On the other hand, horizon graphs do not align with measures that are insensitive to amplitude and y-offset scaling (i.e., measures based on z-normalization), but the inverse seems to be the case for line charts and colorfields. Overall, our work indicates that the choice of visualization affects what temporal patterns we consider as similar, i.e., the notion of similarity in time series is not visualization independent.","https://ieeexplore.ieee.org/document/8440826/","LOCKED","8440826","Inria, Univ. Paris-Sud, Univ. Paris-Saclay, France","","1","Anna Gogolou","","Inria, Univ. Paris-Sud, CNRS, Univ. Paris-Saclay, France","","2","Theophanis Tsandilas","","Univ. Paris-Descartes, France","","3","Themis Palpanas","","Inria, Univ. Paris-Sud, CNRS, Univ. Paris-Saclay, France","","4","Anastasia Bezerianos","","","","","","","","","","","","","","","","","","","","","","","","","","","12","0","Journals","10.1109/TVCG.2018.2865077","533","https://ieeexplore.ieee.org/document/8440826/","Time series","similarity perception","","automatic similarity search","line charts","horizon graphs","colorfields","evaluation","","","","Time series analysis","Task analysis","Visualization","Data visualization","Time measurement","Electroencephalography","Encoding","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440826","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","65","523","Comparing Similarity Perception in Time Series Visualizations","25"
"Deep Q-Network (DQN), as one type of deep reinforcement learning model, targets to train an intelligent agent that acquires optimal actions while interacting with an environment. The model is well known for its ability to surpass professional human players across many Atari 2600 games. Despite the superhuman performance, in-depth understanding of the model and interpreting the sophisticated behaviors of the DQN agent remain to be challenging tasks, due to the long-time model training process and the large number of experiences dynamically generated by the agent. In this work, we propose DQNViz, a visual analytics system to expose details of the blind training process in four levels, and enable users to dive into the large experience space of the agent for comprehensive analysis. As an initial attempt in visualizing DQN models, our work focuses more on Atari games with a simple action space, most notably the Breakout game. From our visual analytics of the agent's experiences, we extract useful action/reward patterns that help to interpret the model and control the training. Through multiple case studies conducted together with deep learning experts, we demonstrate that DQNViz can effectively help domain experts to understand, diagnose, and potentially improve DQN models.","https://ieeexplore.ieee.org/document/8454905/","LOCKED","8454905","The Ohio State University","","1","Junpeng Wang","","Visa Research","","2","Liang Gou","","The Ohio State University","","3","Han-Wei Shen","","Visa Research","","4","Hao Yang","","","","","","","","","","","","","","","","","","","","","","","","","","","17","0","Journals","10.1109/TVCG.2018.2864504","298","https://ieeexplore.ieee.org/document/8454905/","Deep Q-Network (DQN)","reinforcement learning","","model interpretation","visual analytics","","","","","","","Training","Games","Visual analytics","Data visualization","Analytical models","Learning (artificial intelligence)","Machine learning","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8454905","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","66","288","DQNViz: A Visual Analytics Approach to Understand Deep Q-Networks","25"
"The comparison of many members of an ensemble is difficult, tedious, and error-prone, which is aggravated by often just subtle differences. In this paper, we introduce Dynamic Volume Lines for the interactive visual analysis and comparison of sets of 3D volumes. Each volume is linearized along a Hilbert space-filling curve into a 1D Hilbert line plot, which depicts the intensities over the Hilbert indices. We present a nonlinear scaling of these 1D Hilbert line plots based on the intensity variations in the ensemble of 3D volumes, which enables a more effective use of the available screen space. The nonlinear scaling builds the basis for our interactive visualization techniques. An interactive histogram heatmap of the intensity frequencies serves as overview visualization. When zooming in, the frequencies are replaced by detailed 1D Hilbert line plots and optional functional boxplots. To focus on important regions of the volume ensemble, nonlinear scaling is incorporated into the plots. An interactive scaling widget depicts the local ensemble variations. Our brushing and linking interface reveals, for example, regions with a high ensemble variation by showing the affected voxels in a 3D spatial view. We show the applicability of our concepts using two case studies on ensembles of 3D volumes resulting from tomographic reconstruction. In the first case study, we evaluate an artificial specimen from simulated industrial 3D X-ray computed tomography (XCT). In the second case study, a real-world XCT foam specimen is investigated. Our results show that Dynamic Volume Lines can identify regions with high local intensity variations, allowing the user to draw conclusions, for example, about the choice of reconstruction parameters. Furthermore, it is possible to detect ring artifacts in reconstructions volumes.","https://ieeexplore.ieee.org/document/8440038/","LOCKED","8440038","University of Applied Sciences Upper Austria, Wels, Austria","","1","Johannes Weissenböck","","University of Applied Sciences Upper Austria, Wels, Austria","","2","Bernhard Fröhler","","TU Wien, Vienna, Austria","","3","Eduard Gröller","","University of Applied Sciences Upper Austria, Wels, Austria","","4","Johann Kastner","","University of Applied Sciences Upper Austria, Wels, Austria","","5","Christoph Heinzl","","","","","","","","","","","","","","","","","","","","","","5","0","Journals","10.1109/TVCG.2018.2864510","1049","https://ieeexplore.ieee.org/document/8440038/","Ensemble data","comparative visualization","","visual analysis","Hilbert curve","nonlinear scaling","X-ray computed tomography","","","","","Three-dimensional displays","Visualization","Indexes","Data visualization","Histograms","Two dimensional displays","Task analysis","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440038","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","67","1040","Dynamic Volume Lines: Visual Comparison of 3D Volumes through Space-filling Curves","25"
"Applied visualization researchers often work closely with domain collaborators to explore new and useful applications of visualization. The early stages of collaborations are typically time consuming for all stakeholders as researchers piece together an understanding of domain challenges from disparate discussions and meetings. A number of recent projects, however, report on the use of creative visualization-opportunities (CVO) workshops to accelerate the early stages of applied work, eliciting a wealth of requirements in a few days of focused work. Yet, there is no established guidance for how to use such workshops effectively. In this paper, we present the results of a 2-year collaboration in which we analyzed the use of 17 workshops in 10 visualization contexts. Its primary contribution is a framework for CVO workshops that: 1) identifies a process model for using workshops; 2) describes a structure of what happens within effective workshops; 3) recommends 25 actionable guidelines for future workshops; and 4) presents an example workshop and workshop methods. The creation of this framework exemplifies the use of critical reflection to learn about visualization in practice from diverse studies and experience.","https://ieeexplore.ieee.org/document/8440830/","LOCKED","8440830","University of Utah","","1","Ethan Kerzner","","Royal Melbourne Institute of TechnologyMonash University","","2","Sarah Goodwin","","City, University of London","","3","Jason Dykes","","City, University of London","","4","Sara Jones","","University of Utah","","5","Miriah Meyer","","","","","","","","","","","","","","","","","","","","","","8","0","Journals","10.1109/TVCG.2018.2865241","758","https://ieeexplore.ieee.org/document/8440830/","User-centered visualization design","design studies","","creativity workshops","critically reflective practice","","","","","","","Conferences","Data visualization","Visualization","Collaboration","Stakeholders","Creativity","","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440830","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","68","748","A Framework for Creative Visualization-Opportunities Workshops","25"
"Light specification in three dimensional scenes is a complex problem and several approaches have been presented that aim to automate this process. However, there are many scenarios where a static light setup is insufficient, as the scene content and camera position may change. Simultaneous manual control over the camera and light position imposes a high cognitive load on the user. To address this challenge, we introduce a novel approach for automatic scene illumination with Fireflies. Fireflies are intelligent virtual light drones that illuminate the scene by traveling on a closed path. The Firefly path automatically adapts to changes in the scene based on an outcome-oriented energy function. To achieve interactive performance, we employ a parallel rendering pipeline for the light path evaluations. We provide a catalog of energy functions for various application scenarios and discuss the applicability of our method on several examples.","https://ieeexplore.ieee.org/document/8440109/","LOCKED","8440109","University of Bergen, Norway","","1","Sergej Stoppel","","University of Bergen, Norway","","2","Magnus Paulson Erga","","University of Bergen, Norway","","3","Stefan Bruckner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2018.2864656","1213","https://ieeexplore.ieee.org/document/8440109/","Dynamic lighting design","lighting drones","","","","","","","","","","Lighting","Light sources","Cameras","Optimization","Drones","Geometry","Task analysis","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440109","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","69","1204","Firefly: Virtual Illumination Drones for Interactive Visualization","25"
"Labeling is intrinsically important for exploring and understanding complex environments and models in a variety of domains. We present a method for interactive labeling of crowded 3D scenes containing very many instances of objects spanning multiple scales in size. In contrast to previous labeling methods, we target cases where many instances of dozens of types are present and where the hierarchical structure of the objects in the scene presents an opportunity to choose the most suitable level for each placed label. Our solution builds on and goes beyond labeling techniques in medical 3D visualization, cartography, and biological illustrations from books and prints. In contrast to these techniques, the main characteristics of our new technique are: 1) a novel way of labeling objects as part of a bigger structure when appropriate, 2) visual clutter reduction by labeling only representative instances for each type of an object, and a strategy of selecting those. The appropriate level of label is chosen by analyzing the scene's depth buffer and the scene objects' hierarchy tree. We address the topic of communicating the parent-children relationship between labels by employing visual hierarchy concepts adapted from graphic design. Selecting representative instances considers several criteria tailored to the character of the data and is combined with a greedy optimization approach. We demonstrate the usage of our method with models from mesoscale biology where these two characteristics-multi-scale and multi-instance-are abundant, along with the fact that these scenes are extraordinarily dense.","https://ieeexplore.ieee.org/document/8440077/","CCBY - IEEE is not the copyright holder of this material. Please follow the instructions via https://creativecommons.org/licenses/by/4.0/ to obtain full-text articles and stipulations in the API documentation.","8440077","TU Wien","https://ieeexplore.ieee.org/author/37086238484","1","David Kouřil","37086238484","Faculty of Electrical Engineering, Czech Technical University, Prague","https://ieeexplore.ieee.org/author/37086543101","2","Ladislav Čmolík","37086543101","Masaryk University","https://ieeexplore.ieee.org/author/37085711031","3","Barbora Kozlíková","37085711031","TU Wien","https://ieeexplore.ieee.org/author/37073867000","4","Hsiang-Yun Wu","37073867000","Allen Institute for Cell Science","https://ieeexplore.ieee.org/author/38488448400","5","Graham Johnson","38488448400","The Scripps Research Institute","https://ieeexplore.ieee.org/author/37086211853","6","David S. Goodsell","37086211853","The Scripps Research Institute","https://ieeexplore.ieee.org/author/37283384700","7","Arthur Olson","37283384700","TU Wien","https://ieeexplore.ieee.org/author/37282552200","8","M. Eduard Gröller","37282552200","TU Wien","https://ieeexplore.ieee.org/author/37282726800","9","Ivan Viola","37282726800","1","0","Journals","10.1109/TVCG.2018.2864491","986","https://ieeexplore.ieee.org/document/8440077/","labeling","multi-scale data","","multi-instance data","","","","","","","","Three-dimensional displays","Labeling","Proteins","Visualization","Blood","Biological system modeling","","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440077","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","70","977","Labels on Levels: Labeling of Multi-Scale Multi-Instance and Crowded 3D Biological Environments","25"
"Understanding hexahedral (hex-) mesh structures is important for a number of hex-mesh generation and optimization tasks. However, due to various configurations of the singularities in a valid pure hex-mesh, the structure (or base complex) of the mesh can be arbitrarily complex. In this work, we present a first and effective method to help meshing practitioners understand the possible configurations in a valid 3D base complex for the characterization of their complexity. In particular, we propose a strategy to decompose the complex hex-mesh structure into multi-level sub-structures so that they can be studied separately, from which we identify a small set of the sub-structures that can most efficiently represent the whole mesh structure. Furthermore, from this set of sub-structures, we attempt to define the first metric for the quantification of the complexity of hex-mesh structure. To aid the exploration of the extracted multi-level structure information, we devise a visual exploration system coupled with a matrix view to help alleviate the common challenge of 3D data exploration (e.g., clutter and occlusion). We have applied our tool and metric to a large number of hex-meshes generated with different approaches to reveal different characteristics of these methods in terms of the mesh structures they can produce. We also use our metric to assess the existing structure simplification techniques in terms of their effectiveness.","https://ieeexplore.ieee.org/document/8440081/","LOCKED","8440081","University of Houston","","1","Kaoji Xu","","University of Houston","","2","Guoning Chen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2018.2864827","1182","https://ieeexplore.ieee.org/document/8440081/","hexahedral mesh","base complex","","sheet decomposition","complexity analysis","","","","","","","Complexity theory","Three-dimensional displays","Visualization","Periodic structures","Optimization","Splines (mathematics)","Mesh generation","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440081","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","71","1173","Hexahedral Mesh Structure Visualization and Evaluation","25"
"Storyline visualization techniques have progressed significantly to generate illustrations of complex stories automatically. However, the visual layouts of storylines are not enhanced accordingly despite the improvement in the performance and extension of its application area. Existing methods attempt to achieve several shared optimization goals, such as reducing empty space and minimizing line crossings and wiggles. However, these goals do not always produce optimal results when compared to hand-drawn storylines. We conducted a preliminary study to learn how users translate a narrative into a hand-drawn storyline and check whether the visual elements in hand-drawn illustrations can be mapped back to appropriate narrative contexts. We also compared the hand-drawn storylines with storylines generated by the state-of-the-art methods and found they have significant differences. Our findings led to a design space that summarizes (1) how artists utilize narrative elements and (2) the sequence of actions artists follow to portray expressive and attractive storylines. We developed iStoryline, an authoring tool for integrating high-level user interactions into optimization algorithms and achieving a balance between hand-drawn storylines and automatic layouts. iStoryline allows users to create novel storyline visualizations easily according to their preferences by modifying the automatically generated layouts. The effectiveness and usability of iStoryline are studied with qualitative evaluations.","https://ieeexplore.ieee.org/document/8440828/","LOCKED","8440828","State Key Lab of CAD&CGZhejiang UniversityAlibaba-Zhejiang UniversityJoint Institute of Frontier Technologies","","1","Tan Tang","","State Key Lab of CAD&CGZhejiang UniversityAlibaba-Zhejiang UniversityJoint Institute of Frontier Technologies","","2","Sadia Rubab","","State Key Lab of CAD&CGZhejiang UniversityAlibaba-Zhejiang UniversityJoint Institute of Frontier Technologies","","3","Jiewen Lai","","Microsoft Research","","4","Weiwei Cui","","Bernoulli Institute, University of Groningen, Netherlands","","5","Lingyun Yu","","State Key Lab of CAD&CGZhejiang UniversityAlibaba-Zhejiang UniversityJoint Institute of Frontier Technologies","","6","Yingcai Wu","","","","","","","","","","","","","","","","","4","0","Journals","10.1109/TVCG.2018.2864899","778","https://ieeexplore.ieee.org/document/8440828/","Hand-drawn illustrations","automatic layout","","design space","interactions","optimization","","","","","","Visualization","Layout","Tools","Motion pictures","Optimization methods","Guidelines","","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440828","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","72","769","iStoryline: Effective Convergence to Hand-drawn Storylines","25"
"Before seeing a patient, physicians seek to obtain an overview of the patient's medical history. Text plays a major role in this activity since it represents the bulk of the clinical documentation, but reviewing it quickly becomes onerous when patient charts grow too large. Text visualization methods have been widely explored to manage this large scale through visual summaries that rely on information retrieval algorithms to structure text and make it amenable to visualization. However, the integration with such automated approaches comes with a number of limitations, including significant error rates and the need for healthcare providers to fine-tune algorithms without expert knowledge of their inner mechanics. In addition, several of these approaches obscure or substitute the original clinical text and therefore fail to leverage qualitative and rhetorical flavours of the clinical notes. These drawbacks have limited the adoption of text visualization and other summarization technologies in clinical practice. In this work we present Doccurate, a novel system embodying a curation-based approach for the visualization of large clinical text datasets. Our approach offers automation auditing and customizability to physicians while also preserving and extensively linking to the original text. We discuss findings of a formal qualitative evaluation conducted with 6 domain experts, shedding light onto physicians' information needs, perceived strengths and limitations of automated tools, and the importance of customization while balancing efficiency. We also present use case scenarios to showcase Doccurate's envisioned usage in practice.","https://ieeexplore.ieee.org/document/8440832/","LOCKED","8440832","Hospital for Sick Children","","1","Nicole Sultanum","","Hospital for Sick Children","","2","Devin Singh","","University of Toronto","","3","Michael Brudno","","University of Toronto","","4","Fanny Chevalier","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","Journals","10.1109/TVCG.2018.2864905","151","https://ieeexplore.ieee.org/document/8440832/","Visual Curation","Clinical Text","","Text Visualization","Medical Narrative","","","","","","","Medical services","Visualization","Automation","Data visualization","Tools","Task analysis","Medical diagnostic imaging","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440832","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","73","142","Doccurate: A Curation-Based Approach for Clinical Text Visualization","25"
"The emerging prosperity of cryptocurrencies, such as Bitcoin, has come into the spotlight during the past few years. Cryptocurrency exchanges, which act as the gateway to this world, now play a dominant role in the circulation of Bitcoin. Thus, delving into the analysis of the transaction patterns of exchanges can shed light on the evolution and trends in the Bitcoin market, and participants can gain hints for identifying credible exchanges as well. Not only Bitcoin practitioners but also researchers in the financial domains are interested in the business intelligence behind the curtain. However, the task of multiple exchanges exploration and comparisons has been limited owing to the lack of efficient tools. Previous methods of visualizing Bitcoin data have mainly concentrated on tracking suspicious transaction logs, but it is cumbersome to analyze exchanges and their relationships with existing tools and methods. In this paper, we present BitExTract, an interactive visual analytics system, which, to the best of our knowledge, is the first attempt to explore the evolutionary transaction patterns of Bitcoin exchanges from two perspectives, namely, exchange versus exchange and exchange versus client. In particular, BitExTract summarizes the evolution of the Bitcoin market by observing the transactions between exchanges over time via a massive sequence view. A node-link diagram with ego-centered views depicts the trading network of exchanges and their temporal transaction distribution. Moreover, BitExTract embeds multiple parallel bars on a timeline to examine and compare the evolution patterns of transactions between different exchanges. Three case studies with novel insights demonstrate the effectiveness and usability of our system.","https://ieeexplore.ieee.org/document/8440044/","LOCKED","8440044","Hong Kong University of Science and Technology","","1","Xuanwu Yue","","Hong Kong University of Science and Technology","","2","Xinhuan Shu","","Hong Kong University of Science and Technology","","3","Xinyu Zhu","","Hong Kong University of Science and Technology","","4","Xinnan Du","","Hong Kong University of Science and Technology","","5","Zheqing Yu","","Hong Kong University of Science and Technology","","6","Dimitrios Papadopoulos","","Penn State University","","7","Siyuan Liu","","","","","","","","","","","","7","0","Journals","10.1109/TVCG.2018.2864814","171","https://ieeexplore.ieee.org/document/8440044/","Bitcoin exchange","transaction data","","comparative analysis","visual analytics","FinTech","","","","","","Bitcoin","Data visualization","Visualization","Task analysis","Tools","","","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440044","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","74","162","BitExTract: Interactive Visualization for Extracting Bitcoin Exchange Intelligence","25"
"Data analysis novices often encounter barriers in executing low-level operations for pairwise comparisons. They may also run into barriers in interpreting the artifacts (e.g., visualizations) created as a result of the operations. We developed Duet, a visual analysis system designed to help data analysis novices conduct pairwise comparisons by addressing execution and interpretation barriers. To reduce the barriers in executing low-level operations during pairwise comparison, Duet employs minimal specification: when one object group (i.e. a group of records in a data table) is specified, Duet recommends object groups that are similar to or different from the specified one; when two object groups are specified, Duet recommends similar and different attributes between them. To lower the barriers in interpreting its recommendations, Duet explains the recommended groups and attributes using both visualizations and textual descriptions. We conducted a qualitative evaluation with eight participants to understand the effectiveness of Duet. The results suggest that minimal specification is easy to use and Duet's explanations are helpful for interpreting the recommendations despite some usability issues.","https://ieeexplore.ieee.org/document/8440115/","LOCKED","8440115","Georgia Institute of Technology","","1","Po-Ming Law","","Georgia Institute of Technology","","2","Rahul C. Basole","","Visa Research","","3","Yanhong Wu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","0","Journals","10.1109/TVCG.2018.2864526","437","https://ieeexplore.ieee.org/document/8440115/","Pairwise comparison","novices","","data analysis","automatic insight generation","","","","","","","Data analysis","Data visualization","Tools","Law enforcement","Visualization","Systems operation","Knowledge discovery","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440115","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","75","427","Duet: Helping Data Analysis Novices Conduct Pairwise Comparisons by Minimal Specification","25"
"Type 1 diabetes is a chronic, incurable autoimmune disease affecting millions of Americans in which the body stops producing insulin and blood glucose levels rise. The goal of intensive diabetes management is to lower average blood glucose through frequent adjustments to insulin protocol, diet, and behavior. Manual logs and medical device data are collected by patients, but these multiple sources are presented in disparate visualization designs to the clinician-making temporal inference difficult. We conducted a design study over 18 months with clinicians performing intensive diabetes management. We present a data abstraction and novel hierarchical task abstraction for this domain. We also contribute IDMVis: a visualization tool for temporal event sequences with multidimensional, interrelated data. IDMVis includes a novel technique for folding and aligning records by dual sentinel events and scaling the intermediate timeline. We validate our design decisions based on our domain abstractions, best practices, and through a qualitative evaluation with six clinicians. The results of this study indicate that IDMVis accurately reflects the workflow of clinicians. Using IDMVis, clinicians are able to identify issues of data quality such as missing or conflicting data, reconstruct patient records when data is missing, differentiate between days with different patterns, and promote educational interventions after identifying discrepancies.","https://ieeexplore.ieee.org/document/8440834/","LOCKED","8440834","Northeastern University","","1","Yixuan Zhang","","Northeastern University","","2","Kartik Chanana","","Northeastern University","","3","Cody Dunne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","0","Journals","10.1109/TVCG.2018.2865076","522","https://ieeexplore.ieee.org/document/8440834/","Design study","task analysis","","event sequence visualization","time series data","qualitative evaluation","health applications","","","","","Data visualization","Diabetes","Blood","Sugar","Insulin","Task analysis","Tools","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440834","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","76","512","IDMVis: Temporal Event Sequence Visualization for Type 1 Diabetes Treatment Decision Support","25"
"In movement data analysis, there exists a problem of comparing multiple trajectories of moving objects to common or distinct reference trajectories. We introduce a general conceptual framework for comparative analysis of trajectories and an analytical procedure, which consists of (1) finding corresponding points in pairs of trajectories, (2) computation of pairwise difference measures, and (3) interactive visual analysis of the distributions of the differences with respect to space, time, set of moving objects, trajectory structures, and spatio-temporal context. We propose a combination of visualisation, interaction, and data transformation techniques supporting the analysis and demonstrate the use of our approach for solving a challenging problem from the aviation domain.","https://ieeexplore.ieee.org/document/8440121/","LOCKED","8440121","Fraunhofer IAISCity, University of London","","1","Natalia Andrienko","","Fraunhofer IAISCity, University of London","","2","Gennady Andrienko","","CRIDA (Reference Center for Research, Development and Innovation in ATM)","","3","Jose Manuel Cordero Garcia","","Boeing Research & Development Europe","","4","David Scarlatti","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","Journals","10.1109/TVCG.2018.2864811","64","https://ieeexplore.ieee.org/document/8440121/","Visual analytics","movement data","","flight trajectories","","","","","","","","Trajectory","Task analysis","Data visualization","Three-dimensional displays","Heuristic algorithms","Data analysis","Visual analytics","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440121","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","77","54","Analysis of Flight Variability: a Systematic Approach","25"
