"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_13_authorUrl","articles_authors_authors_13_author_order","articles_authors_authors_13_full_name","articles_authors_authors_13_id","articles_authors_authors_14_authorUrl","articles_authors_authors_14_author_order","articles_authors_authors_14_full_name","articles_authors_authors_14_id","articles_authors_authors_15_authorUrl","articles_authors_authors_15_author_order","articles_authors_authors_15_full_name","articles_authors_authors_15_id","articles_authors_authors_16_authorUrl","articles_authors_authors_16_author_order","articles_authors_authors_16_full_name","articles_authors_authors_16_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title" 
"Tensors occur in many areas of science and engineering. Especially, they are used to describe charge, mass and energy transport (i.e. electrical conductivity tensor, diffusion tensor, thermal conduction tensor resp.) If the locale transport pattern is complicated, usual second order tensor representation is not sufficient. So far, there are no appropriate visualization methods for this case. We point out similarities of symmetric higher order tensors and spherical harmonics. A spherical harmonic representation is used to improve tensor glyphs. This paper unites the definition of streamlines and tensor lines and generalizes tensor lines to those applications where second order tensors representations fail. The algorithm is tested on the tractography problem in diffusion tensor magnetic resonance imaging (DT-MRI) and improved for this special application.","https://ieeexplore.ieee.org/document/1532773/","LOCKED","1532773","Inst. for Comput. Sci., Leipzig Univ., Germany","https://ieeexplore.ieee.org/author/37403333700","1","M. Hlawitschka","37403333700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inst. for Comput. Sci., Leipzig Univ., Germany","https://ieeexplore.ieee.org/author/37282574800","2","G. Scheuermann","37282574800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532773","34","https://ieeexplore.ieee.org/document/1532773/","","","","","","Tensile stress","Diffusion tensor imaging","Data visualization","Thermal conductivity","Streaming media","Function approximation","Biomedical imaging","Displays","Humans","Power engineering and energy","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532773","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","47","27","HOT-lines: tracking lines in higher order tensor fields"
"The study of physical models for knots has recently received much interest in the mathematics community. In this paper, we consider the ropelength model, which considers knots tied in an idealized rope. This model is interesting in pure mathematics, and has been applied to the study of a variety of problems in the natural sciences as well. Modeling and visualizing the tightening of knots in this idealized rope poses some interesting challenges in computer graphics. In particular, self-contact in a deformable rope model is a difficult problem which cannot be handled by standard techniques. In this paper, we describe a solution based on reformulating the contact problem and using constrained-gradient techniques from nonlinear optimization. The resulting animations reveal new properties of the tightening flow and provide new insights into the geometric structure of tight knots and links.","https://ieeexplore.ieee.org/document/1532844/","LOCKED","1532844","Georgia Univ., Athens, GA, USA","https://ieeexplore.ieee.org/author/37565757600","1","J. Cantarella","37565757600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/37565756700","2","M. Piatek","37565756700","","https://ieeexplore.ieee.org/author/37565755600","3","E. Rawdon","37565755600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532844","582","https://ieeexplore.ieee.org/document/1532844/","","","","","","Mathematical model","Deformable models","Mathematics","Computer graphics","Constraint optimization","Solid modeling","Application software","Computational modeling","Data visualization","Animation","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532844","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","48","575","Visualizing the tightening of knots"
"Visualization users are increasingly in need of techniques for assessing quantitative uncertainty and error in the images produced. Statistical segmentation algorithms compute these quantitative results, yet volume rendering tools typically produce only qualitative imagery via transfer function-based classification. This paper presents a visualization technique that allows users to interactively explore the uncertainty, risk, and probabilistic decision of surface boundaries. Our approach makes it possible to directly visualize the combined ""fuzzy"" classification results from multiple segmentations by combining these data into a unified probabilistic data space. We represent this unified space, the combination of scalar volumes from numerous segmentations, using a novel graph-based dimensionality reduction scheme. The scheme both dramatically reduces the dataset size and is suitable for efficient, high quality, quantitative visualization. Lastly, we show that the statistical risk arising from overlapping segmentations is a robust measure for visualizing features and assigning optical properties.","https://ieeexplore.ieee.org/document/1532807/","LOCKED","1532807","Utah Univ., Salt Lake City, UT, USA","https://ieeexplore.ieee.org/author/37324263400","1","J.M. Kniss","37324263400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/37266085500","2","R. Van Uitert","37266085500","","https://ieeexplore.ieee.org/author/37567174900","3","A. Stephens","37567174900","","https://ieeexplore.ieee.org/author/37558766900","4","G.-S. Li","37558766900","","https://ieeexplore.ieee.org/author/37265762400","5","T. Tasdizen","37265762400","","https://ieeexplore.ieee.org/author/37266777200","6","C. Hansen","37266777200","","","","","","","","","","","","","","","","","25","1","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532807","294","https://ieeexplore.ieee.org/document/1532807/","","","","","","Data visualization","Image segmentation","Transfer functions","Robustness","Rendering (computer graphics)","Risk analysis","Biological materials","Measurement uncertainty","Magnetic resonance imaging","Humans","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532807","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","49","287","Statistically quantitative volume visualization"
"In this work we present a hardware-accelerated direct volume rendering system for visualizing multivariate wave functions in semiconducting quantum dot (QD) simulations. The simulation data contains the probability density values of multiple electron orbitals for up to tens of millions of atoms, computed by the NEMO3-D quantum device simulator software run on large-scale cluster architectures. These atoms form two interpenetrating crystalline face centered cubic lattices (FCC), where each FCC cell comprises the eight corners of a cubic cell and six additional face centers. We have developed compact representation techniques for the FCC lattice within PC graphics hardware texture memory, hardware-accelerated linear and cubic reconstruction schemes, and new multi-field rendering techniques utilizing logarithmic scale transfer functions. Our system also enables the user to drill down through the simulation data and execute statistical queries using general-purpose computing on the GPU (GPGPU).","https://ieeexplore.ieee.org/document/1532811/","LOCKED","1532811","Purdue Univ., West Lafayette, IN, USA","https://ieeexplore.ieee.org/author/37282552800","1","W. Qiao","37282552800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Purdue Univ., West Lafayette, IN, USA","https://ieeexplore.ieee.org/author/37282598900","2","D.S. Ebert","37282598900","","https://ieeexplore.ieee.org/author/37268675600","3","A. Entezari","37268675600","","https://ieeexplore.ieee.org/author/37396865100","4","M. Korkusinski","37396865100","","https://ieeexplore.ieee.org/author/37270404800","5","G. Klimeck","37270404800","","","","","","","","","","","","","","","","","","","","","","7","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532811","326","https://ieeexplore.ieee.org/document/1532811/","","","","","","Quantum dots","Computational modeling","FCC","Quantum computing","Lattices","Data visualization","Wave functions","Semiconductivity","Electrons","Large-scale systems","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532811","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","50","319","VolQD: direct volume rendering of multi-million atom quantum dot simulations"
"A new close range virtual reality system is introduced that allows intuitive and immersive user interaction with computer generated objects. A projector with a special spherical lens is combined with a flexible, tracked rear projection screen that users hold in their hands. Unlike normal projectors, the spherical lens allows for a 180 degree field of view and nearly infinite depth of focus. This allows the user to move the screen around the environment and use it as a virtual ""slice"" to examine the interior of 3D volumes. This provides a concrete correspondence between the virtual representation of the 3D volume and how that volume would actually appear if its real counterpart was sliced open. The screen can also be used as a ""magic window"" to view the mesh of the volume from different angles prior to taking cross sections of it. Real time rendering of the desired 3D volume or mesh is accomplished using current graphics hardware. Additional applications of the system are also discussed.","https://ieeexplore.ieee.org/document/1532846/","LOCKED","1532846","Digital Technol. Center, Minnesota Univ., Minneapolis, MN, USA","https://ieeexplore.ieee.org/author/37566814000","1","J. Konieczny","37566814000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digital Technol. Center, Minnesota Univ., Minneapolis, MN, USA","https://ieeexplore.ieee.org/author/37565717100","2","C. Shimizu","37565717100","Digital Technol. Center, Minnesota Univ., Minneapolis, MN, USA","https://ieeexplore.ieee.org/author/37567312900","3","G. Meyer","37567312900","Digital Technol. Center, Minnesota Univ., Minneapolis, MN, USA","https://ieeexplore.ieee.org/author/37548566400","4","D. Colucci","37548566400","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532846","597","https://ieeexplore.ieee.org/document/1532846/","","","","","","Computer graphics","Data visualization","Focusing","Biomedical imaging","Virtual reality","Lenses","Rendering (computer graphics)","User interfaces","Computer displays","Concrete","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532846","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","51","591","A handheld flexible display system"
"We present a visual analysis and exploration of fluid flow through a cooling jacket. Engineers invest a large amount of time and serious effort to optimize the flow through this engine component because of its important role in transferring heat away from the engine block. In this study we examine the design goals that engineers apply in order to construct an ideal-as-possible cooling jacket geometry and use a broad range of visualization tools in order to analyze, explore, and present the results. We systematically employ direct, geometric, and texture-based flow visualization techniques as well as automatic feature extraction and interactive feature-based methodology. And we discuss the relative advantages and disadvantages of these approaches as well as the challenges, both technical and perceptual with this application. The result is a feature-rich state-of-the-art flow visualization analysis applied to an important and complex data set from real-world computational fluid dynamics simulations.","https://ieeexplore.ieee.org/document/1532850/","LOCKED","1532850","VRVis Res. Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37267247900","1","R.S. Laramee","37267247900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/37282573700","2","C. Garth","37282573700","","https://ieeexplore.ieee.org/author/37546620400","3","H. Doleisch","37546620400","","https://ieeexplore.ieee.org/author/37281085800","4","J. Schneider","37281085800","","https://ieeexplore.ieee.org/author/37274158800","5","H. Hauser","37274158800","","https://ieeexplore.ieee.org/author/37282578800","6","H. Hagen","37282578800","","","","","","","","","","","","","","","","","25","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532850","630","https://ieeexplore.ieee.org/document/1532850/","","","","","","Fluid flow","Cooling","Data visualization","Feature extraction","Heat engines","Heat transfer","Design engineering","Geometry","Computational fluid dynamics","Computational modeling","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532850","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","52","623","Visual analysis and exploration of fluid flow in a cooling jacket"
"This paper presents a novel method for computing simulated x-ray images, or DRRs (digitally reconstructed radiographs), of tetrahedral meshes with higher-order attenuation functions. DRRs are commonly used in computer assisted surgery (CAS), with the attenuation function consisting of a voxelized CT study, which is viewed from different directions. Our application of DRRs is in intra-operative ""2D-3D"" registration, i.e., finding the pose of the CT dataset given a small number of patient radiographs. We register 2D patient images with a statistical tetrahedral model, which encodes the CT intensity numbers as Bernstein polynomials, and includes knowledge about typical shape variation modes. The unstructured grid is more suitable for applying deformations than a rectilinear grid, and the higher-order polynomials provide a better approximation of the actual density than constant or linear models. The infra-operative environment demands a fast method for creating the DRRs, which we present here. We demonstrate this application through the creation and use of a deformable atlas of human pelvis bones. Compared with other works on rendering unstructured grids, the main contributions of this work are: 1) Simple and perspective-correct interpolation of the thickness of a tetrahedral cell. 2) Simple and perspective-correct interpolation of front and back barycentric coordinates with respect to the cell. 3) Computing line integrals of higher-order functions. 4) Capability of applying shape deformations and variations in the attenuation function without significant performance loss. The method does not depend on for pre-integration, and does not require depth-sorting of the visualized cells. We present imaging and timing results of implementing the algorithm, and discuss the impact of using higher-order functions on the quality of the result and the performance.","https://ieeexplore.ieee.org/document/1532809/","LOCKED","1532809","Johns Hopkins Univ., Laurel, MD, USA","https://ieeexplore.ieee.org/author/37541583800","1","C. Sadowsky","37541583800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Johns Hopkins Univ., Laurel, MD, USA","https://ieeexplore.ieee.org/author/37275763600","2","J.D. Cohen","37275763600","Johns Hopkins Univ., Laurel, MD, USA","https://ieeexplore.ieee.org/author/37277162900","3","R.H. Taylor","37277162900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532809","310","https://ieeexplore.ieee.org/document/1532809/","","","","","","Attenuation","Radiography","Computed tomography","Image reconstruction","Polynomials","Shape","Interpolation","Rendering (computer graphics)","Computational modeling","X-ray imaging","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532809","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","53","303","Rendering tetrahedral meshes with higher-order attenuation functions for digital radiograph reconstruction"
"The evacuation of buildings in the event of a fire requires careful planning of ventilation and evacuation routes during early architectural design stages. Different designs are evaluated by simulating smoke propagation using computational fluid dynamics (CFD). Visibility plays a decisive role in finding the nearest fire exit. This paper presents real-time volume rendering of transient smoke propagation conforming to standardized visibility distances. We visualize time dependent smoke particle concentration on unstructured tetrahedral meshes using a direct volume rendering approach. Due to the linear transfer function of the optical model commonly used in fire protection engineering, accurate pre-integration of diffuse color across tetrahedra can be carried out with a single 2D texture lookup. We reduce rounding errors during frame buffer blending by applying randomized dithering if high accuracy frame buffers are unavailable on the target platform. A simple absorption-based lighting model is evaluated in a preprocessing step using the same rendering approach. Back-illuminated exit signs are commonly used to indicate the escape route. As light emitting objects are visible further than reflective objects, the transfer function in front of illuminated exit signs must be adjusted with a deferred rendering pass.","https://ieeexplore.ieee.org/document/1532813/","LOCKED","1532813","Eidgenossische Tech. Hochschule, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37565784300","1","O. Staubli","37565784300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Eidgenossische Tech. Hochschule, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37565783800","2","C. Sigg","37565783800","Eidgenossische Tech. Hochschule, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37282541100","3","R. Peikert","37282541100","","https://ieeexplore.ieee.org/author/37565771500","4","D. Gubler","37565771500","","https://ieeexplore.ieee.org/author/37275694700","5","M. Gross","37275694700","","","","","","","","","","","","","","","","","","","","","","2","2","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532813","341","https://ieeexplore.ieee.org/document/1532813/","","","","","","Computational fluid dynamics","Fires","Optical buffering","Transfer functions","Buildings","Ventilation","Computational modeling","Optical propagation","Visualization","Protection","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532813","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","54","335","Volume rendering of smoke propagation CFD data"
"Diffusion tensor imaging is a magnetic resonance imaging method which has gained increasing importance in neuroscience and especially in neurosurgery. It acquires diffusion properties represented by a symmetric 2nd order tensor for each voxel in the gathered dataset. From the medical point of view, the data is of special interest due lo different diffusion characteristics of varying brain tissue allowing conclusions about the underlying structures such as while matter tracts. An obvious way to visualize this data is to focus on the anisotropic areas using the major eigenvector for tractography and rendering lines for visualization of the simulation results. Our approach extends this technique to avoid line representation since lines lead 10 very complex illustrations and furthermore are mistakable. Instead, we generate surfaces wrapping bundles of lines. Thereby, a more intuitive representation of different tracts is achieved.","https://ieeexplore.ieee.org/document/1532777/","LOCKED","1532777","Dept. of Neurosurg., Erlangen-Nurnberg Univ., Erlangen, Germany","https://ieeexplore.ieee.org/author/37550815500","1","F. Enders","37550815500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/37550815800","2","N. Sauber","37550815800","","https://ieeexplore.ieee.org/author/37397398200","3","D. Merhof","37397398200","","https://ieeexplore.ieee.org/author/37373297800","4","P. Hastreiter","37373297800","","https://ieeexplore.ieee.org/author/37550816800","5","C. Nimsky","37550816800","","https://ieeexplore.ieee.org/author/37373910900","6","M. Stamminger","37373910900","","","","","","","","","","","","","","","","","12","1","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532777","58","https://ieeexplore.ieee.org/document/1532777/","","","","","","Data visualization","Streaming media","Diffusion tensor imaging","Magnetic resonance imaging","Neuroscience","Neurosurgery","Tensile stress","Biomedical imaging","Brain","Anisotropic magnetoresistance","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532777","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","55","51","Visualization of white matter tracts with wrapped streamlines"
"The field of visualization is getting mature. Many problems have been solved, and new directions are sought for. In order to make good choices, an understanding of the purpose and meaning of visualization is needed. Especially, it would be nice if we could assess what a good visualization is. In this paper an attempt is made to determine the value of visualization. A technological viewpoint is adopted, where the value of visualization is measured based on effectiveness and efficiency. An economic model of visualization is presented, and benefits and costs are established. Next, consequences (brand limitations of visualization are discussed (including the use of alternative methods, high initial costs, subjective/less, and the role of interaction), as well as examples of the use of the model for the judgement of existing classes of methods and understanding why they are or are not used in practice. Furthermore, two alternative views on visualization are presented and discussed: viewing visualization as an art or as a scientific discipline. Implications and future directions are identified.","https://ieeexplore.ieee.org/document/1532781/","LOCKED","1532781","Dept. of Math. & Comput. Sci., Technische Univ. Eindhoven, Netherlands","https://ieeexplore.ieee.org/author/37267249200","1","J.J. van Wijk","37267249200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532781","86","https://ieeexplore.ieee.org/document/1532781/","","","","","","Computer graphics","Data visualization","Costs","Mathematics","Computer science","Art","Chromium","User interfaces","Application software","Explosions","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532781","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","56","79","The value of visualization"
"It is a challenging task to visualize the behavior of time-dependent 3D vector fields. Most of the time an overview of unsteady fields is provided via animations, but, unfortunately, animations provide only transient impressions of momentary flow. In this paper we present two approaches to visualize time varying fields with fixed geometry. Path lines and streak lines represent such a steady visualization of unsteady vector fields, but because of occlusion and visual clutter it is useless to draw them all over the spatial domain. A selection is needed. We show how bundles of streak lines and path lines, running at different times through one point in space, like through an eyelet, yield an insightful visualization of flow structure (""eyelet lines""). To provide a more intuitive and appealing visualization we also explain how to construct a surface from these lines. As second approach, we use a simple measurement of local changes of a field over time to determine regions with strong changes. We visualize these regions with isosurfaces to give an overview of the activity in the dataset. Finally we use the regions as a guide for placing eyelets.","https://ieeexplore.ieee.org/document/1532848/","LOCKED","1532848","Dept. of Comput. Sci., Leipzig Univ., Germany","https://ieeexplore.ieee.org/author/37565763400","1","A. Wiebel","37565763400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dept. of Comput. Sci., Leipzig Univ., Germany","https://ieeexplore.ieee.org/author/37282574800","2","G. Scheuermann","37282574800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532848","614","https://ieeexplore.ieee.org/document/1532848/","","","","","","Data visualization","Computational modeling","Animation","Computer simulation","Analytical models","Data engineering","Design engineering","Computational fluid dynamics","Virtual prototyping","Signal processing","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532848","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","57","607","Eyelet particle tracing - steady visualization of unsteady flow"
"We propose a hybrid particle and texture based approach for the visualization of time-dependent vector fields. The underlying space-time framework builds a dense vector field representation in a two-step process: 1) particle-based forward integration of trajectories in spacetime for temporal coherence, and 2) texture-based convolution along another set of paths through the spacetime for spatially correlated patterns. Particle density is controlled by stochastically injecting and removing particles, taking into account the divergence of the vector field. Alternatively, a uniform density can be maintained by placing exactly one particle in each cell of a uniform grid, which leads to particle-in-cell forward advection. Moreover, we discuss strategies of previous visualization methods for unsteady flow and show how they address issues of spatiotemporal coherence and dense visual representations. We demonstrate how our framework is capable of realizing several of these strategies. Finally, we present an efficient GPU implementation that facilitates an interactive visualization of unsteady 2D flow on Shader Model 3 compliant graphics hardware.","https://ieeexplore.ieee.org/document/1532852/","LOCKED","1532852","Graphics, Usability, & Visualization Lab., Simon Fraser Univ., Burnaby, BC, Canada","https://ieeexplore.ieee.org/author/37268045000","1","D. Weiskopf","37268045000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/37283630900","2","F. Schramm","37283630900","","https://ieeexplore.ieee.org/author/37324424400","3","G. Erlebacher","37324424400","","https://ieeexplore.ieee.org/author/37085368197","4","T. Ertl","37085368197","","","","","","","","","","","","","","","","","","","","","","","","","","","9","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532852","646","https://ieeexplore.ieee.org/document/1532852/","","","","","","Spatiotemporal phenomena","Visualization","Computer graphics","Convolution","Usability","Interactive systems","Information technology","Coherence","Hardware","Chromium","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532852","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","58","639","Particle and texture based spatiotemporal visualization of time-dependent vector fields"
"We present the application of hardware accelerated volume rendering algorithms to the simulation of radiographs as an aid to scientists designing experiments, validating simulation codes, and understanding experimental data. The techniques presented take advantage of 32-bit floating point texture capabilities to obtain solutions to the radiative transport equation for X-rays. The hardware accelerated solutions are accurate enough to enable scientists to explore the experimental design space with greater efficiency than the methods currently in use. An unsorted hexahedron projection algorithm is presented for curvilinear hexahedral meshes that produces simulated radiographs in the absorption-only regime. A sorted tetrahedral projection algorithm is presented that simulates radiographs of emissive materials. We apply the tetrahedral projection algorithm to the simulation of experimental diagnostics for inertial confinement fusion experiments on a laser at the University of Rochester.","https://ieeexplore.ieee.org/document/1532815/","LOCKED","1532815","Lawrence Livermore Nat. Lab., Berkeley, CA, USA","https://ieeexplore.ieee.org/author/37281901900","1","D. Laney","37281901900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/37426872800","2","S.P. Callahan","37426872800","","https://ieeexplore.ieee.org/author/37267387800","3","N. Max","37267387800","","https://ieeexplore.ieee.org/author/37275249200","4","C.T. Silva","37275249200","","https://ieeexplore.ieee.org/author/37297252300","5","S. Langer","37297252300","","https://ieeexplore.ieee.org/author/37550100100","6","R. Frank","37550100100","","","","","","","","","","","","","","","","","6","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532815","350","https://ieeexplore.ieee.org/document/1532815/","","","","","","Projection algorithms","Hardware","Acceleration","Diagnostic radiography","Algorithm design and analysis","Equations","X-rays","Design for experiments","Optical materials","Inertial confinement","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532815","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","59","343","Hardware-accelerated simulated radiography"
