"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_11","articles_index_terms_author_terms_terms_12","articles_index_terms_author_terms_terms_13","articles_index_terms_author_terms_terms_14","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_isbn_formats_isbns_1_format","articles_isbn_formats_isbns_1_isbnType","articles_isbn_formats_isbns_1_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"The 2018 VAST Challenge returns to the (fictional) city of Mistford and the Boonsong Lekagul Wildlife Preserve to pose three MiniChallenges surrounding the nefarious Kasios Furniture Company and the fate of the Rose-Crested Blue Pipit. For Mini-Challenge 1, participants performed classification on a collection of bird song recordings to help experts understand the changing population dynamics within the preserve. Mini-Challenge 2 introduced new hydrology evidence in a spatiotemporal challenge, asking participants to trace the transmission of various chemicals through the preserve's waterways. In Mini-Challenge 3, participants took their analysis global, examining suspicious connections in Kasios' international business dealings in a massive graph challenge.","https://ieeexplore.ieee.org/document/8802465/","LOCKED","8802465","Smith College","https://ieeexplore.ieee.org/author/38229914800","1","R. Jordan Crouser","38229914800","Pacific Northwest National Laboratory","https://ieeexplore.ieee.org/author/37085505404","2","Kristin Cook","37085505404","University of Massachusetts Amherst","https://ieeexplore.ieee.org/author/37085522319","3","John Fallon","37085522319","Pacific Northwest National Laboratory","https://ieeexplore.ieee.org/author/37267550400","4","Jereme Haack","37267550400","Air Force Research Laboratory","https://ieeexplore.ieee.org/author/37085508309","5","Kristen Liggett","37085508309","Pacific Northwest National Laboratory","https://ieeexplore.ieee.org/author/37357067600","6","Mark Whiting","37357067600","MIT Lincoln Laboratory","https://ieeexplore.ieee.org/author/37085713208","7","Diane Staheli","37085713208","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802465","89","https://ieeexplore.ieee.org/document/8802465/","","","","","","","","","","","","","","","","Companies","Birds","Visual analytics","Wildlife","Chemicals","Sociology","Statistics","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802465","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","23","84","VAST Challenge 2018: Suspense at the Wildlife Preserve"
"Deep neural networks (DNNs) are vulnerable to maliciously generated adversarial examples. These examples are intentionally designed by making imperceptible perturbations and often mislead a DNN into making an incorrect prediction. This phenomenon means that there is significant risk in applying DNNs to safety-critical applications, such as driverless cars. To address this issue, we present a visual analytics approach to explain the primary cause of the wrong predictions introduced by adversarial examples. The key is to analyze the datapaths of the adversarial examples and compare them with those of the normal examples. A datapath is a group of critical neurons and their connections. To this end, we formulate the datapath extraction as a subset selection problem and approximately solve it based on back-propagation. A multi-level visualization consisting of a segmented DAG (layer level), an Euler diagram (feature map level), and a heat map (neuron level), has been designed to help experts investigate datapaths from the high-level layers to the detailed neuron activations. Two case studies are conducted that demonstrate the promise of our approach in support of explaining the working mechanism of adversarial examples.","https://ieeexplore.ieee.org/document/8802509/","LOCKED","8802509","School of Software, Tsinghua University","https://ieeexplore.ieee.org/author/37077049000","1","Mengchen Liu","37077049000","School of Software, Tsinghua University","https://ieeexplore.ieee.org/author/37406039100","2","Shixia Liu","37406039100","Dept.of Comp.Sci.Tech., Tsinghua University","https://ieeexplore.ieee.org/author/37085416706","3","Hang Su","37085416706","School of Software, Tsinghua University","https://ieeexplore.ieee.org/author/37085845125","4","Kelei Cao","37085845125","Dept.of Comp.Sci.Tech., Tsinghua University","https://ieeexplore.ieee.org/author/38490433400","5","Jun Zhu","38490433400","","","","","","","","","","","","","","","","","","","","","","","","","","9","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802509","71","https://ieeexplore.ieee.org/document/8802509/","Deep neural networks","robustness","","","","","","adversarial examples","back propagation","multi-level visualization.","","","","","","Neurons","Visual analytics","Tools","Feature extraction","Biological neural networks","Machine learning","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802509","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","24","60","Analyzing the Noise Robustness of Deep Neural Networks"
"Getting the overall picture of how a large number of ego-networks evolve is a common yet challenging task. Existing techniques often require analysts to inspect the evolution patterns of ego-networks one after another. In this study, we explore an approach that allows analysts to interactively create spatial layouts in which each dot is a dynamic ego-network. These spatial layouts provide overviews of the evolution patterns of ego-networks, thereby revealing different global patterns such as trends, clusters and outliers in evolution patterns. To let analysts interactively construct interpretable spatial layouts, we propose a data transformation pipeline, with which analysts can adjust the spatial layouts and convert dynamic ego-networks into event sequences to aid interpretations of the spatial positions. Based on this transformation pipeline, we develop Segue, a visual analysis system that supports thorough exploration of the evolution patterns of ego-networks. Through two usage scenarios, we demonstrate how analysts can gain insights into the overall evolution patterns of a large collection of ego-networks by interactively creating different spatial layouts.","https://ieeexplore.ieee.org/document/8802415/","LOCKED","8802415","Georgia Institute of Technology","https://ieeexplore.ieee.org/author/37085886497","1","Po-Ming Law","37085886497","Visa Research","https://ieeexplore.ieee.org/author/37086545509","2","Yanhong Wu","37086545509","Georgia Institute of Technology","https://ieeexplore.ieee.org/author/37829310200","3","Rahul C. Basole","37829310200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802415","83","https://ieeexplore.ieee.org/document/8802415/","Human-centered computing","Visualization","","","","","","Visualization techniques","Graph drawings","","","","","","","Layout","Pipelines","Data visualization","Visualization","Animation","Task analysis","Social networking (online)","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802415","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","25","72","Segue: Overviewing Evolution Patterns of Egocentric Networks by Interactive Construction of Spatial Layouts"
"Online Distance Education (ODE) provides massive course videos of various specialties for students across the country to learn professional knowledge anytime and anywhere. Analyzing the utilization of these videos from user log data can help academics better understand the learning process of students, evaluate the quality of service provided by regional learning centers, and improve the quality of program curriculum in the future. However, due to the lack of comparable indicators, it is a great challenge to discover the utilization patterns of massive videos and analyze the learning process of large-scale student population from learning log data. In this paper, we introduce a visual analytics system, called VUSphere, to explore the video utilization from multiple perspectives with two proposed indicators. This system offers three coordinated views: a spherical layout overview to depict the overall utilization distribution of videos, courses, and students; a detailed statistics view with four panels to present video utilization statistics of each element from multiple perspectives; and a comparison view to examine the differences in individual elements. Based on the real dataset from our ODE school, several patterns related to video utilization and enrollment are found in the case study with our domain experts.","https://ieeexplore.ieee.org/document/8802383/","LOCKED","8802383","Key Laboratory of Intelligent Networks and Network Security, Ministry of Education, Xi’an Jiaotong University","https://ieeexplore.ieee.org/author/37085494153","1","Huan He","37085494153","Key Laboratory of Intelligent Networks and Network Security, Ministry of Education, Xi’an Jiaotong University","https://ieeexplore.ieee.org/author/37086945071","2","Oinghua Zheng","37086945071","School of Continuing Education, Xi’an Jiaotong University","https://ieeexplore.ieee.org/author/37546247500","3","Bo Dong","37546247500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802383","35","https://ieeexplore.ieee.org/document/8802383/","Video utilization pattern","online distance education","","","","","","visual analytics","","","","","","","","Education","Visual analytics","Data visualization","Sociology","Statistics","Layout","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802383","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","26","25","VUSphere: Visual Analysis of Video Utilization in Online Distance Education"
"Constructing latent vector representation for nodes in a network through embedding models has shown its practicality in many graph analysis applications, such as node classification, clustering, and link prediction. However, despite the high efficiency and accuracy of learning an embedding model, people have little clue of what information about the original network is preserved in the embedding vectors. The abstractness of low-dimensional vector representation, stochastic nature of the construction process, and non-transparent hyper-parameters all obscure understanding of network embedding results. Visualization techniques have been introduced to facilitate embedding vector inspection, usually by projecting the embedding space to a two-dimensional display. Although the existing visualization methods allow simple examination of the structure of embedding space, they cannot support in-depth exploration of the embedding vectors. In this paper, we design an exploratory visual analytics system that supports the comparative visual interpretation of embedding vectors at the cluster, instance, and structural levels. To be more specific, it facilitates comparison of what and how node metrics are preserved across different embedding models and investigation of relationships between node metrics and selected embedding vectors. Several case studies confirm the efficacy of our system. Experts' feedback suggests that our approach indeed helps them better embrace the understanding of network embedding models.","https://ieeexplore.ieee.org/document/8802454/","LOCKED","8802454","Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong","https://ieeexplore.ieee.org/author/37085720737","1","Quan Li","37085720737","Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong","https://ieeexplore.ieee.org/author/37086945915","2","Kristanto Sean Njotoprawiro","37086945915","Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong","https://ieeexplore.ieee.org/author/37086732743","3","Hammad Haleem","37086732743","WeChat, Tencent Technology (Shenzhen) Co., Ltd., Shenzhen, China","https://ieeexplore.ieee.org/author/37086945841","4","Qiaoan Chen","37086945841","WeChat, Tencent Technology (Shenzhen) Co., Ltd., Shenzhen, China","https://ieeexplore.ieee.org/author/37086945693","5","Chris Yi","37086945693","Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong","https://ieeexplore.ieee.org/author/37086496602","6","Xiaojuan Ma","37086496602","","","","","","","","","","","","","","","","","","","","","2","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802454","59","https://ieeexplore.ieee.org/document/8802454/","Human-centered computing","Visualization","","","","","","Visualization application domains","Visual analytics","Human-centered computing","Visualization","Visualization design and evaluation methods","","","","Measurement","Task analysis","Analytical models","Visual analytics","Stochastic processes","Two dimensional displays","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802454","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","27","48","EmbeddingVis: A Visual Analytics Approach to Comparative Network Embedding Inspection"
"Provides a listing of current committee members and society officers.","https://ieeexplore.ieee.org/document/8802410/","EPHEMERA","8802410","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802410","i","","","","","","","","","","","","","","","","","","","","","","","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802410","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","28","i","VAST 2018 Steering Committee"
"Presents the introductory welcome message from the conference proceedings. May include the conference officers' congratulations to all involved with the conference event and publication of the proceedings record.","https://ieeexplore.ieee.org/document/8802371/","EPHEMERA","8802371","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802371","i","","","","","","","","","","","","","","","","","","","","","","","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802371","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","29","i","VAST 2018 Preface"
"Provides a listing of current committee members and society officers.","https://ieeexplore.ieee.org/document/8802442/","EPHEMERA","8802442","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802442","i","","","","","","","","","","","","","","","","","","","","","","","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802442","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","30","i","VAST 2018 IEEE Visualization and Graphics Technical Committee"
"Provides a listing of current committee members and society officers.","https://ieeexplore.ieee.org/document/8802411/","EPHEMERA","8802411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802411","i","","","","","","","","","","","","","","","","","","","","","","","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802411","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","31","i","VAST 2018 International Program Committee"
"Provides a listing of current committee members and society officers.","https://ieeexplore.ieee.org/document/8802439/","EPHEMERA","8802439","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802439","i","","","","","","","","","","","","","","","","","","","","","","","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802439","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","32","i","VAST 2018 VIS Conference Committee"
"Presents the title page of the proceedings record.","","EPHEMERA","8802497","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802497","i","","","","","","","","","","","","","","","","","","","","","","","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802497","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","33","i","[VAST 2018 Title page]"
"The conference offers a note of thanks and lists its reviewers.","","EPHEMERA","8802373","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802373","i","","","","","","","","","","","","","","","","","","","","","","","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802373","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","34","i","VAST 2018 Paper Reviewers"
"Summary form only given. In the past year, Augmented Reality (AR) has been introduced in several products of premier technology companies, addressing billions of mobile computing users. In particular, a new breed of AR games is engaging and visually appealing. In contrast, non-entertainment applications of AR generally tend to lack sophisticated content. This can be related to the fact that AR developers are only learning how to effectively use the new medium. But it also has to do with the lack of overlap in AR research and visualization research. While AR research has mostly been driven by computer vision with minimal consideration of the visual output, VIS is the field where the perceptual and cognitive foundations of visual information are studied. AR needs VIS! As AR matures, it will be vital to bring the two fields together. VIS needs to address the new medium AR, embracing its two key aspects: mobility and mixed real+virtual perception. AR poses new challenges for VIS, as the visual information needs to adapt to reality rather than shaping the entire visual domain. This talk will discuss fundamental properties of AR visualization and present examples of previous, current and future work.","","EPHEMERA","8802427","Graz University of Technology, Austria","","1","Dieter Schmalstieg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802427","1","","","","","","","","","","","","","","","","","","","","","","","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802427","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","35","1","VIS Keynote Address : When Visualization Met Augmented Reality"
"Presents the copyright information for the conference. May include reprint permission information.","","EPHEMERA","8802404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802404","i","","","","","","","","","","","","","","","","","","","","","","","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802404","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","36","i","[Copyright notice]"
"Presents the table of contents/splash page of the proceedings record.","","EPHEMERA","8802372","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802372","iii","","","","","","","","","","","","","","","","","","","","","","","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802372","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","37","i","Table of contents"
"Data Science promises us a methodology and algorithms to gain insights in ubiquitous Big Data. Sophisticated algorithmic techniques seek to identify and visualize non-accidental patterns that may be (causally) linked to mechanisms in the natural sciences, but also in the social sciences, medicine, technology, and governance. When we use machine learning algorithms to inspect the often high-dimensional, uncertain, and high-volume data to filter out and visualize relevant information, we aim to abstract from accidental factors in our experiments and thereby generalize over data fluctuations. Doing this, we often rely on highly nonlinear algorithms. This talk presents arguments advocating an information theoretic framework for algorithm analysis, where an algorithm is characterized as a computational evolution of a posterior distribution on the output space with a quantitative stopping criterion. The method allows us to investigate complex data analysis pipelines, such as those found in computational neuroscience, neurology, and molecular biology. I will demonstrate this concept for the validation of algorithms using the example of a statistical analysis of diffusion tensor imaging data. In addition, on the example of gene expression data, I will demonstrate how different spectral clustering methods can be validated by showing their robustness to data fluctuations and yet sufficient sensitivity to changes in the data. All in all, an information-theoretical method is presented for validating data analysis algorithms, offering the potential of more trustful results in Visual Analytics.","","EPHEMERA","8802482","ETH Zurich","","1","Joachim M. Buhmann","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802482","1","","","","","","","","","","","","","","","","","","","","","","","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802482","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","38","1","VIS Capstone Address : Can I believe what I see?-Information theoretic algorithm validation"
