title,author,year,ee
conf/visualization/LeeuwL99,Collapsing Flow Topology Using Area Metrics.,Wim C. de Leeuw::Robert van Liere,1999,https://doi.org/10.1109/VISUAL.1999.809907::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1999.809907::http://dl.acm.org/citation.cfm?id=319431
conf/visualization/YagelKZ91,Realistic Volumetric Imaging.,Roni Yagel::Arie E. Kaufman::Qiang Zhang,1991,https://doi.org/10.1109/VISUAL.1991.175805::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1991.175805::http://dl.acm.org/citation.cfm?id=949644
conf/visualization/PopescuHKSM03,Producing High Quality Visualizations of Large-Scale Simulations.,Voicu Popescu::Christoph M. Hoffmann::Sami Kilic::Mete A. Sözen::Scott Meador,2003,https://doi.org/10.1109/VISUAL.2003.1250422::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2003.1250422::http://dl.acm.org/citation.cfm?id=1081520
conf/visualization/Herr90,Visualization of the Information Age.,Laurin Herr,1990,https://doi.org/10.1109/VISUAL.1990.146414::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1990.146414::http://dl.acm.org/citation.cfm?id=949600
conf/visualization/NadeauEB91,Image Handling in a Multi-Vendor Environment.,David R. Nadeau::T. Todd Elvins::Michael J. Bailey,1991,https://doi.org/10.1109/VISUAL.1991.175814::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1991.175814::http://dl.acm.org/citation.cfm?id=949653
conf/visualization/Bertram03,Fairing scalar fields by variational modeling of contours.,Martin Bertram 0001,2003,https://doi.org/10.1109/VISUAL.2003.1250398::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2003.1250398::http://dl.acm.org/citation.cfm?id=1081495
conf/visualization/IngramB95,Legibility Enhancement for Information Visualisation.,Rob Ingram::Steve Benford,1995,https://doi.org/10.1109/VISUAL.1995.480814::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1995.480814::http://dl.acm.org/citation.cfm?id=833876
conf/visualization/HeWK94,Wavelet-Based Volume Morphing.,Taosong He::Sidney W. Wang::Arie E. Kaufman,1994,https://doi.org/10.1109/VISUAL.1994.346333::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1994.346333::http://dl.acm.org/citation.cfm?id=951107
conf/visualization/StaadtGW97,Multiresolution compression and reconstruction.,Oliver G. Staadt::Markus H. Gross::Roger Weber,1997,https://doi.org/10.1109/VISUAL.1997.663901::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1997.663901::https://dl.acm.org/citation.cfm?id=267101
conf/visualization/Rheingans97,Dynamic color mapping of bivariate qualitative data.,Penny Rheingans,1997,https://doi.org/10.1109/VISUAL.1997.663874::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1997.663874::https://dl.acm.org/citation.cfm?id=267050
conf/visualization/NielsonF97,Computing the separating surface for segmented data.,Gregory M. Nielson::Richard Franke,1997,https://doi.org/10.1109/VISUAL.1997.663887::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1997.663887::https://dl.acm.org/citation.cfm?id=267066
conf/visualization/El-SanaAV99,Skip Strips: Maintaining Triangle Strips for View-Dependent Rendering.,Jihad El-Sana::Elvir Azanli::Amitabh Varshney,1999,https://doi.org/10.1109/VISUAL.1999.809877::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1999.809877::http://dl.acm.org/citation.cfm?id=319366
conf/visualization/XieWHQK03,Piecewise C1 Continuous Surface Reconstruction of Noisy Point Cloud via Local Implicit Quadric Regression.,Hui Xie 0001::Jianning Wang::Jing Hua 0001::Hong Qin 0001::Arie E. Kaufman,2003,https://doi.org/10.1109/VISUAL.2003.1250359::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2003.1250359::http://dl.acm.org/citation.cfm?id=1081457
conf/visualization/NeumannFPCRW91,Achieving Direct Volume Visualization with Interactive Semantic Region Selection.,Terry S. Yoo::Ulrich Neumann::Henry Fuchs::Stephen M. Pizer::Tim J. Cullip::John Rhoades::Ross T. Whitaker,1991,https://doi.org/10.1109/VISUAL.1991.175778::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1991.175778::http://dl.acm.org/citation.cfm?id=949617
conf/visualization/LeBlancWW90,Exploring N-Dimensional Databases.,Jeffrey LeBlanc::Matthew O. Ward::Norman Wittels,1990,https://doi.org/10.1109/VISUAL.1990.146386::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1990.146386::http://dl.acm.org/citation.cfm?id=949568
conf/visualization/SongG93,Fine-Grain Visualization Algorithms in Dataflow Environments.,Deyang Song::Eric J. Golin,1993,https://doi.org/10.1109/VISUAL.1993.398860::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1993.398860::http://dl.acm.org/citation.cfm?id=949872
conf/visualization/PostWPS95,Iconic Techniques for Feature Visualization.,Frank J. Post::Theo van Walsum::Frits H. Post::Deborah Silver,1995,https://doi.org/10.1109/VISUAL.1995.485141::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1995.485141::http://dl.acm.org/citation.cfm?id=833851
conf/visualization/ChristensenD90,A Graphical Interface for Robotic Remediation of Underground Storage Tanks.,Brian K. Christensen::Lisa M. Desjarlais,1990,https://doi.org/10.1109/VISUAL.1990.146419::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1990.146419::http://dl.acm.org/citation.cfm?id=949605
conf/visualization/0001P21,Exact Analytical Parallel Vectors.,Hanqi Guo 0001::Tom Peterka,2021,https://doi.org/10.1109/VIS49827.2021.9623310
conf/visualization/SaroulGH03,Exploring Curved Anatomic Structures with Surface Sections.,Laurent Saroul::Sebastian Gerlach::Roger D. Hersch,2003,https://doi.org/10.1109/VISUAL.2003.1250351::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2003.1250351::http://dl.acm.org/citation.cfm?id=1081449
conf/visualization/PengSZ01,A Simple Algorithm for Surface Denoising.,Jianbo Peng::Vasily Strela::Denis Zorin,2001,https://doi.org/10.1109/VISUAL.2001.964500::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2001.964500::http://dl.acm.org/citation.cfm?id=601686
conf/visualization/LodhaRR00,Topology preserving compression of 2D vector fields.,Suresh K. Lodha::Jose C. Renteria::Krishna M. Roskin,2000,https://doi.org/10.1109/VISUAL.2000.885714::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2000.885714::https://dl.acm.org/citation.cfm?id=375266
conf/visualization/WolfeNJ91,The Electronic Structure of Oxygen in Silicon as Revealed by Volume Visualization of Ab Initio Calculations.,Robert H. Wolfe::Mark Needels::John D. Joannopoulos,1991,https://doi.org/10.1109/VISUAL.1991.175786::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1991.175786::http://dl.acm.org/citation.cfm?id=949625
conf/visualization/Hotz02,Isometric Embedding by Surface Reconstruction from Distances.,Ingrid Hotz,2002,https://doi.org/10.1109/VISUAL.2002.1183782::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2002.1183782::http://dl.acm.org/citation.cfm?id=602138
conf/visualization/CrossnoRBC04,Visualization of Salt-Induced Stress Perturbations.,Patricia Crossno::David H. Rogers 0001::Rebecca M. Brannon::David Coblentz,2004,https://doi.org/10.1109/VISUAL.2004.115::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2004.115::http://dl.acm.org/citation.cfm?id=1034469
conf/visualization/LefohnBMOPS05,General Purpose Computation on Graphics Hardware.,Aaron E. Lefohn::Ian Buck::Patrick S. McCormick::John D. Owens::Timothy J. Purcell::Robert Strzodka,2005,
conf/visualization/LaMarHJ99,Multiresolution Techniques for Interactive Texture-Based Volume Visualization.,Eric LaMar::Bernd Hamann::Kenneth I. Joy,1999,https://doi.org/10.1109/VISUAL.1999.809908::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1999.809908::http://dl.acm.org/citation.cfm?id=319432
conf/visualization/McGuffinTB03,Using Deformations for Browsing Volumetric Data.,Michael J. McGuffin::Liviu Tancau::Ravin Balakrishnan,2003,https://doi.org/10.1109/VISUAL.2003.1250400::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2003.1250400::http://dl.acm.org/citation.cfm?id=1081497
conf/visualization/ElvinsN91,NetV: An Experimental Network-Based Volume Visualization System.,T. Todd Elvins::David R. Nadeau,1991,https://doi.org/10.1109/VISUAL.1991.175807::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1991.175807::http://dl.acm.org/citation.cfm?id=949646
conf/visualization/Stevens99,"Capstone Address: ActiveSpaces - The Access Grid, Active Mural and Advanced Visualization Systems.",Rick L. Stevens,1999,
conf/visualization/MorrowMCGG19,Periphery Plots for Contextualizing Heterogeneous Time-Based Charts.,Bryce Morrow::Trevor Manz::Arlene E. Chung::Nils Gehlenborg::David Gotz,2019,https://doi.org/10.1109/VISUAL.2019.8933582
conf/visualization/SwanRLMI99,Visualization Needs More Visual Design!,J. Edward Swan II::Theresa-Marie Rhyne::David H. Laidlaw::Tamara Munzner::Victoria Interrante,1999,https://doi.org/10.1109/VISUAL.1999.809939::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1999.809939::http://dl.acm.org/citation.cfm?id=319461
conf/visualization/MacLeodHJM92,Visualization of Cardiac Bioelectricty - A Case Study.,Robert S. MacLeod::N. E. Harrison::Christopher R. Johnson 0001::Michael A. Matheson,1992,https://doi.org/10.1109/VISUAL.1992.235178::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1992.235178::http://dl.acm.org/citation.cfm?id=949760
conf/visualization/LeeuwLVDVM00,Visualization of time dependent confocal microscopy data.,Wim C. de Leeuw::Robert van Liere::Pernette J. Verschure::Roel van Driel::Astrid E. Visser::Erik M. M. Manders,2000,https://doi.org/10.1109/VISUAL.2000.885735::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2000.885735::https://dl.acm.org/citation.cfm?id=375304
conf/visualization/Pajarola98,Large scale terrain visualization using the restricted quadtree triangulation.,Renato Pajarola,1998,https://doi.org/10.1109/VISUAL.1998.745280::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1998.745280::https://dl.acm.org/citation.cfm?id=288219
conf/visualization/Max91,Computer Assisted Sphere Packing in Higher Dimensions.,Nelson L. Max,1991,https://doi.org/10.1109/VISUAL.1991.175785::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1991.175785::http://dl.acm.org/citation.cfm?id=949624
conf/visualization/Cross95,Interactive Realism for Visualization Using Ray Tracing.,Robert A. Cross,1995,https://doi.org/10.1109/VISUAL.1995.480791::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1995.480791::http://dl.acm.org/citation.cfm?id=833838
conf/visualization/RedaP19,Evaluating Gradient Perception in Color-Coded Scalar Fields.,Khairi Reda::Michael E. Papka,2019,https://doi.org/10.1109/VISUAL.2019.8933760
conf/visualization/JayaramanN02,A Radial Focus+Context Visualization for Multi-Dimensional Functions.,Sanjini Jayaraman::Chris North 0001,2002,https://doi.org/10.1109/VISUAL.2002.1183806::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2002.1183806::http://dl.acm.org/citation.cfm?id=602168
conf/visualization/GarlandS02,A Multiphase Approach to Efficient Surface Simplification.,Michael Garland::Eric Shaffer,2002,https://doi.org/10.1109/VISUAL.2002.1183765::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2002.1183765::http://dl.acm.org/citation.cfm?id=602116
conf/visualization/Piatetsky-ShapiroW96,Information Exploration Shootout.,Gregory Piatetsky-Shapiro::Graham J. Wills,1996,https://doi.org/10.1109/VISUAL.1996.568163::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1996.568163::http://dl.acm.org/citation.cfm?id=245775
conf/visualization/FreundS97,Accelerated volume rendering using homogeneous region encoding.,Jason Freund::Kenneth R. Sloan,1997,https://doi.org/10.1109/VISUAL.1997.663880::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1997.663880::https://dl.acm.org/citation.cfm?id=267055
conf/visualization/SahasrabudheWMJ99,Structured Spatial Domain Image and Data Comparison Metrics.,Nivedita Sahasrabudhe::John E. West::Raghu Machiraju::Mark Janus,1999,https://doi.org/10.1109/VISUAL.1999.809873::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1999.809873::http://dl.acm.org/citation.cfm?id=319362
conf/visualization/MontgomeryHBWHOB01,Surgical Simulator for Hysteroscopy: A Case Study of Visualization in Surgical Training.,Kevin Montgomery::Wm. LeRoy Heinrichs::Cynthia Bruyns::Simon Wildermuth::Christopher J. Hasser::Stephanie Ozenne::David Bailey,2001,https://doi.org/10.1109/VISUAL.2001.964548::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2001.964548::http://dl.acm.org/citation.cfm?id=601746
conf/visualization/DingWSNGNLH23,reVISit: Supporting Scalable Evaluation of Interactive Visualizations.,Yiren Ding::Jack Wilburn::Hilson Shrestha::Akim Ndlovu::Kiran Gadhave::Carolina Nobre::Alexander Lex::Lane Harrison,2023,https://doi.org/10.1109/VIS54172.2023.00015
conf/visualization/RosslZNS03,Visualization of Volume Data with Quadratic Super Splines.,Christian Rössl::Frank Zeilfelder::Günther Nürnberger::Hans-Peter Seidel,2003,https://doi.org/10.1109/VISUAL.2003.1250399::https://doi.ieeecomputersociety.org/10.1109/VIS.2003.10040::http://dl.acm.org/citation.cfm?id=1081496
conf/visualization/FelizVLJ01,"Archaeological Data Visualization in VR: Analysis of Lamp Finds at the Great Temple of Petra, a Case Study.",Daniel Acevedo Feliz::Eileen Vote::David H. Laidlaw::Martha Sharp Joukowsky,2001,https://doi.org/10.1109/VISUAL.2001.964560::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2001.964560::http://dl.acm.org/citation.cfm?id=601760
conf/visualization/Gasparakis99,Multi-Resolution Multi-Field Ray Tracing: A Mathematical Overview.,Charidimos E. Gasparakis,1999,https://doi.org/10.1109/VISUAL.1999.809888::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1999.809888::http://dl.acm.org/citation.cfm?id=319375
conf/visualization/ChildsBBMMWM05,A Contract Based System For Large Data Visualization.,Hank Childs::Eric Brugger::Kathleen S. Bonnell::Jeremy S. Meredith::Mark C. Miller::Brad Whitlock::Nelson Max,2005,https://doi.org/10.1109/VISUAL.2005.1532795::https://doi.ieeecomputersociety.org/10.1109/VIS.2005.3
conf/visualization/Yacoob90,Displaying Voxel-Based Objects According to Their Qualitative Shape Synthesis.,Yaser Yacoob,1990,https://doi.org/10.1109/VISUAL.1990.146364::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1990.146364::http://dl.acm.org/citation.cfm?id=949539
conf/visualization/KeimAK95,Recursive Pattern: A Technique for Visualizing Very Large Amounts of Data.,Daniel A. Keim::Mihael Ankerst::Hans-Peter Kriegel,1995,https://doi.org/10.1109/VISUAL.1995.485140::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1995.485140::http://dl.acm.org/citation.cfm?id=833846
conf/visualization/MehtaHMPW04,Detection and Visualization of Anomalous Structures in Molecular Dynamics Simulation Data.,Sameep Mehta::Kaden Hazzard::Raghu Machiraju::Srinivasan Parthasarathy 0001::John Wilkins,2004,https://doi.org/10.1109/VISUAL.2004.23::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2004.23::http://dl.acm.org/citation.cfm?id=1034481
conf/visualization/WongB95,Authenticity Analysis of Wavelet Approximations in Visualization.,Pak Chung Wong::R. Daniel Bergeron,1995,https://doi.org/10.1109/VISUAL.1995.480811::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1995.480811::http://dl.acm.org/citation.cfm?id=833887
conf/visualization/HanM96,Triangular NURBS Surface Modeling of Scattered Data.,Song Han::Gérard G. Medioni,1996,https://doi.org/10.1109/VISUAL.1996.568122::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1996.568122::http://dl.acm.org/citation.cfm?id=245618
conf/visualization/WiebelS05,Eyelet Particle Tracing - Steady Visualization of Unsteady Flow.,Alexander Wiebel::Gerik Scheuermann,2005,https://doi.org/10.1109/VISUAL.2005.1532848::https://doi.ieeecomputersociety.org/10.1109/VIS.2005.38
conf/visualization/YagelS93,Accelerating Volume Animation by Space-Leaping.,Roni Yagel::Zhouhong Shi,1993,https://doi.org/10.1109/VISUAL.1993.398852::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1993.398852::http://dl.acm.org/citation.cfm?id=949862
conf/visualization/SiC23,A Visualization System for Hexahedral Mesh Quality Study.,Lei Si::Guoning Chen,2023,https://doi.org/10.1109/VIS54172.2023.00026
conf/visualization/SakasSG94,Case Study: Visualization of 3D Ultrasonic Data.,Georgios Sakas::Lars-Arne Schreyer::Marcus Grimm,1994,https://doi.org/10.1109/VISUAL.1994.346294::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1994.346294::http://dl.acm.org/citation.cfm?id=951157
conf/visualization/ParkECKA91,Two Widely Different Architectural Approaches to Computer Image Generation.,Hyunwook Park::Kil-Su Eo::D. L. Kim::B. K. Choi::Yongmin Kim 0001::Thomas Alexander,1991,https://doi.org/10.1109/VISUAL.1991.175776::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1991.175776::http://dl.acm.org/citation.cfm?id=949615
conf/visualization/SuitsKHL00,Simplification of surface annotations.,Frank Suits::James T. Klosowski::William P. Horn::Gérard Lecina,2000,https://doi.org/10.1109/VISUAL.2000.885700::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2000.885700::https://dl.acm.org/citation.cfm?id=375247
conf/visualization/SultanumBC21,Text Visualization and Close Reading for Journalism with Storifier.,Nicole Sultanum::Anastasia Bezerianos::Fanny Chevalier,2021,https://doi.org/10.1109/VIS49827.2021.9623264
conf/visualization/StegmaierRE05,Opening the Can of Worms: An Exploration Tool for Vortical Flows.,Simon Stegmaier::Ulrich Rist::Thomas Ertl,2005,https://doi.org/10.1109/VISUAL.2005.1532830::https://doi.ieeecomputersociety.org/10.1109/VIS.2005.74
conf/visualization/CrawfisA91,A Scientific Visualization Synthesizer.,Roger Crawfis::M. J. Allison,1991,https://doi.org/10.1109/VISUAL.1991.175811::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1991.175811::http://dl.acm.org/citation.cfm?id=949650
conf/visualization/FracchiaA95,A Visualization Tool for Studying the Development of the Moss Physcomitrella patens.,F. David Fracchia::Neil W. Ashton,1995,https://doi.org/10.1109/VISUAL.1995.485153::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1995.485153::http://dl.acm.org/citation.cfm?id=833870
conf/visualization/AhrensLR00,Next-generation visualization displays: the research challenges of building tiled displays (panel session).,James P. Ahrens::Kai Li 0001::Daniel A. Reed,2000,https://dl.acm.org/citation.cfm?id=375386
conf/visualization/GilletSSGO04,Augmented Reality with Tangible Auto-Fabricated Models for Molecular Biology Applications.,Alexandre Gillet::Michel F. Sanner::Daniel Stoffler::David S. Goodsell::Arthur J. Olson,2004,https://doi.org/10.1109/VISUAL.2004.7::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2004.7::http://dl.acm.org/citation.cfm?id=1034452
conf/visualization/Legensky91,Advanced Visualization on Desktop Workstations.,Steve M. Legensky,1991,https://doi.org/10.1109/VISUAL.1991.175833::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1991.175833::http://dl.acm.org/citation.cfm?id=949672
conf/visualization/WeimerWTWS98,Efficient co-triangulation of large data sets.,Henrik Weimer::Joe D. Warren::Jane Troutner::Wendell Wiggins::John Shrout,1998,https://doi.org/10.1109/VISUAL.1998.745293::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1998.745293::https://dl.acm.org/citation.cfm?id=288233
conf/visualization/ThornborrowWF93,Developing Modular Applications Builders to Exploit MIMD Parallel Resources.,C. Thornborrow::A. J. S. Wilson::Chris Faigle,1993,https://doi.org/10.1109/VISUAL.1993.398861::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1993.398861::http://dl.acm.org/citation.cfm?id=949873
conf/visualization/Rymon-lipinskiHJRK04,Efficient Point-Based Isosurface Exploration Using the Span-Triangle.,Bartosz von Rymon-Lipinski::Nils Hanssen::Thomas Jansen 0005::Lutz Ritter::Erwin Keeve,2004,https://doi.org/10.1109/VISUAL.2004.29::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2004.29::http://dl.acm.org/citation.cfm?id=1034478
conf/visualization/TabatabaiRIDSLB21,"""Why did my AI agent lose?"": Visual Analytics for Scaling Up After-Action Review.",Delyar Tabatabai::Anita Ruangrotsakun::Jed Irvine::Jonathan Dodge::Zeyad Shureih::Kin-Ho Lam::Margaret Burnett::Alan Fern::Minsuk Kahng,2021,https://doi.org/10.1109/VIS49827.2021.9623268
conf/visualization/MusethBZW02,Level-Set Segmentation From Multiple Non-Uniform Volume Datasets.,Ken Museth::David E. Breen::Leonid Zhukov::Ross T. Whitaker,2002,https://doi.ieeecomputersociety.org/10.1109/VISUAL.2002.1183773::http://dl.acm.org/citation.cfm?id=602126
conf/visualization/BartroliWKG01,Nonlinear Virtual Colon Unfolding.,Anna Vilanova Bartrolí::Rainer Wegenkittl::Andreas König 0002::M. Eduard Gröller,2001,https://doi.org/10.1109/VISUAL.2001.964540::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2001.964540::http://dl.acm.org/citation.cfm?id=601736
conf/visualization/ViolaKG03,Hardware-Based Nonlinear Filtering and Segmentation using High-Level Shading Languages.,Ivan Viola::Armin Kanitsar::M. Eduard Gröller,2003,https://doi.org/10.1109/VISUAL.2003.1250387::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2003.1250387::http://dl.acm.org/citation.cfm?id=1081485
conf/visualization/LiereHL98,A distributed blackboard architecture for interactive data visualization.,Robert van Liere::Jan Harkes::Wim C. de Leeuw,1998,https://doi.org/10.1109/VISUAL.1998.745307::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1998.745307::https://dl.acm.org/citation.cfm?id=288265
conf/visualization/KeP90,A Journey into the Fourth Dimension.,Yan Ke::E. S. Panduranga,1990,https://doi.org/10.1109/VISUAL.1990.146385::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1990.146385::http://dl.acm.org/citation.cfm?id=949566
conf/visualization/HauserMBG00,Two-level volume rendering - fusing MIP and DVR.,Helwig Hauser::Lukas Mroz::Gian Italo Bischi::M. Eduard Gröller,2000,https://doi.org/10.1109/VISUAL.2000.885697::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2000.885697::https://dl.acm.org/citation.cfm?id=375244
conf/visualization/TariniCS03,Visibility based methods and assessment for detail-recovery.,Marco Tarini::Paolo Cignoni::Roberto Scopigno,2003,https://doi.org/10.1109/VISUAL.2003.1250407::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2003.1250407::http://dl.acm.org/citation.cfm?id=1081504::https://www.wikidata.org/entity/Q56877585
conf/visualization/JungCJ23,Projection Ensemble: Visualizing the Robust Structures of Multidimensional Projections.,Myeongwon Jung::Jiwon Choi::Jaemin Jo,2023,https://doi.org/10.1109/VIS54172.2023.00018
conf/visualization/SakamotoK05,Particle Generation from User-specified Transfer Function for Point-based Volume Rendering.,Naohisa Sakamoto::Koji Koyamada,2005,https://doi.ieeecomputersociety.org/10.1109/VIS.2005.76
conf/visualization/SuttonH99,Isosurface Extraction in Time-varying Fields Using a Temporal Branch-on-Ned Tree (T-BON).,Philip M. Sutton::Charles D. Hansen,1999,https://doi.org/10.1109/VISUAL.1999.809879::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1999.809879::http://dl.acm.org/citation.cfm?id=319368
conf/visualization/PuhringerHS20,InstanceFlow: Visualizing the Evolution of Classifier Confusion at the Instance Level.,Michael Pühringer::Andreas P. Hinterreiter::Marc Streit,2020,https://doi.org/10.1109/VIS47514.2020.00065
conf/visualization/MulderGW98,Pixel masks for screen-door transparency.,Jurriaan D. Mulder::Frans C. A. Groen::Jarke J. van Wijk,1998,https://doi.org/10.1109/VISUAL.1998.745323::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1998.745323::https://dl.acm.org/citation.cfm?id=288309
conf/visualization/BoringP98,Interactive deformations from tensor fields.,Ed Boring::Alex Pang,1998,https://doi.org/10.1109/VISUAL.1998.745316::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1998.745316::https://dl.acm.org/citation.cfm?id=288294
conf/visualization/DongCK01,Volume Rendering of Fine Details Within Medical Data.,Feng Dong 0005::Gordon Clapworthy::Meleagros A. Krokos,2001,https://doi.org/10.1109/VISUAL.2001.964537::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2001.964537::http://dl.acm.org/citation.cfm?id=601733
conf/visualization/Kraus05,Scale-Invariant Volume Rendering.,Martin Kraus 0002,2005,https://doi.org/10.1109/VISUAL.2005.1532808::https://doi.ieeecomputersociety.org/10.1109/VIS.2005.88
conf/visualization/KeimKS93,Visual Feedback in Querying Large Databases.,Daniel A. Keim::Hans-Peter Kriegel::Thomas Seidl 0001,1993,https://doi.org/10.1109/VISUAL.1993.398864::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1993.398864::http://dl.acm.org/citation.cfm?id=949877
conf/visualization/WallSE19,Toward a Design Space for Mitigating Cognitive Bias in Vis.,Emily Wall::John T. Stasko::Alex Endert,2019,https://doi.org/10.1109/VISUAL.2019.8933611
conf/visualization/WelshM03,A Frequency-Sensitive Point Hierarchy for Images and Volumes.,Tomihisa Welsh::Klaus Mueller 0001,2003,https://doi.org/10.1109/VISUAL.2003.1250403::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2003.1250403::http://dl.acm.org/citation.cfm?id=1081500
conf/visualization/ToryAKNY05,Eyegaze Analysis of Displays With Combined 2D and 3D Views.,Melanie Tory::M. Stella Atkins::Arthur E. Kirkpatrick::Marios Nicolaou::Guang-Zhong Yang,2005,https://doi.org/10.1109/VISUAL.2005.1532837::https://doi.ieeecomputersociety.org/10.1109/VIS.2005.37
conf/visualization/CrossnoA99a,Visual Debugging of Visualization Software: A Case Study for Particle Systems.,Patricia Crossno::Edward Angel,1999,https://doi.org/10.1109/VISUAL.1999.809919::https://doi.ieeecomputersociety.org/10.1109/VISUAL.1999.809919::http://dl.acm.org/citation.cfm?id=319443
conf/visualization/TenginakaiLM01,Salient Iso-Surface Detection with Model-Independent Statistical Signatures.,Shivaraj Tenginakai::Jinho Lee::Raghu Machiraju,2001,https://doi.org/10.1109/VISUAL.2001.964516::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2001.964516::http://dl.acm.org/citation.cfm?id=601707
conf/visualization/BromleyS23,What Is the Difference Between a Mountain and a Molehill? Quantifying Semantic Labeling of Visual Features in Line Charts.,Dennis Bromley::Vidya Setlur,2023,https://doi.org/10.1109/VIS54172.2023.00041
conf/visualization/Treinish02,Case Study on the Adaptation of Interactive Visualization Applications to Web-Based Production for Operational Mesoscale Weather Models.,Lloyd Treinish,2002,https://doi.org/10.1109/VISUAL.2002.1183827::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2002.1183827::http://dl.acm.org/citation.cfm?id=602195
conf/visualization/SundenBJYR14,Interaction techniques as a communication channel when presenting 3D visualizations.,Erik Sundén::Alexander Bock 0002::Daniel Jönsson::Anders Ynnerman::Timo Ropinski,2014,https://doi.org/10.1109/3DVis.2014.7160102::https://doi.ieeecomputersociety.org/10.1109/3DVis.2014.7160102
conf/visualization/OHaganCR23,Simulating the Geometric Growth of the Marine Sponge Crella Incrustans.,Joshua O'Hagan::Andrew Chalmers::Taehyun Rhee,2023,https://doi.org/10.1109/VIS54172.2023.00032
conf/visualization/Koegler01,Case Study: Application of Feature Tracking to Analysis of Autoignition Simulation Data.,Wendy S. Koegler,2001,https://doi.org/10.1109/VISUAL.2001.964551::https://doi.ieeecomputersociety.org/10.1109/VISUAL.2001.964551::http://dl.acm.org/citation.cfm?id=601750
