"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"VolVis is a diversified, easy to use, extensible, high performance, and portable volume visualization system for scientists and engineers as well as for visualization developers and researchers. VolVis accepts as input 3D scalar volumetric data as well as 3D volume-sampled and classical geometric models. Interaction with the data is controlled by a variety of 3D input devices in an input device-independent environment. VolVis output includes navigation preview, static images, and animation sequences. A variety of volume rendering algorithms are supported ranging from fast rough approximations, to compression-domain rendering, to accurate volumetric ray tracing and radiosity, and irregular grid rendering.<>","https://ieeexplore.ieee.org/document/346340/","LOCKED","346340","Howard Hughes Med. Inst., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37323905300","1","R. Avila","37323905300","","https://ieeexplore.ieee.org/author/37350343500","2","Taosong He","37350343500","","https://ieeexplore.ieee.org/author/37652123600","3","Lichan Hong","37652123600","","https://ieeexplore.ieee.org/author/37268052800","4","A. Kaufman","37268052800","","https://ieeexplore.ieee.org/author/37275698100","5","H. Pfister","37275698100","","https://ieeexplore.ieee.org/author/37275249200","6","C. Silva","37275249200","","https://ieeexplore.ieee.org/author/37378488600","7","L. Sobierajski","37378488600","","https://ieeexplore.ieee.org/author/37351033000","8","S. Wang","37351033000","32","1","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346340","38","Data visualization","Solid modeling","Rendering (computer graphics)","Ray tracing","Workstations","Graphics","Pipelines","Data mining","Helium","Artificial intelligence","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346340","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","29","31","VolVis: a diversified volume visualization system"
"This paper presents an object-oriented system design supporting the composition of scientific data visualization techniques based on the definition of hierarchies of typed data objects and tools. Traditional visualization systems focus on creating graphical objects which often cannot be re-used for further processing. Our approach provides objects of different topological dimension to offer a natural way of describing the results of visualization mappings. Serial composition of data extraction tools is allowed, while each intermediate visualization object shares a common description and behavior. Visualization objects can be re-used, facilitating the data exploration process by expanding the available analysis and correlation functions provided. This design offers an open-ended architecture for the development of new visualization techniques. It promotes data and software re-use, eliminates the need for writing special purpose software and reduces processing requirements during interactive visualization sessions.<>","https://ieeexplore.ieee.org/document/346303/","LOCKED","346303","Dept. of Electr. Eng. & Comput. Sci., George Washington Univ., Washington, DC, USA","https://ieeexplore.ieee.org/author/37284061600","1","J.M. Favre","37284061600","Dept. of Electr. Eng. & Comput. Sci., George Washington Univ., Washington, DC, USA","https://ieeexplore.ieee.org/author/37345867700","2","J. Hahn","37345867700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346303","325","Data visualization","Geometry","Graphics","Data mining","Computer architecture","Writing","LAN interconnection","Data processing","Computer languages","Data structures","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346303","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","30","318","An object oriented design for the visualization of multi-variable data objects"
"The World-Wide-Web (WWW) has created a new paradigm for online information retrieval by providing immediate and ubiquitous access to digital information of any type from data repositories located throughout the world. The web's development enables not only effective access for the generic user but also more efficient and timely information exchange among scientists and researchers. We have extended the capabilities of the web to include access to three-dimensional volume data sets with integrated control of a distributed client-server volume visualization system. This paper provides a brief background on the World-Wide-Web, an overview of the extensions necessary to support these new data types and a description of an implementation of this approach in a WWW-compliant distributed visualization system.<>","https://ieeexplore.ieee.org/document/346342/","LOCKED","346342","Libr. & Center for Knowledge Manage., California Univ., San Francisco, CA, USA","https://ieeexplore.ieee.org/author/37652705000","1","C.S. Ang","37652705000","Libr. & Center for Knowledge Manage., California Univ., San Francisco, CA, USA","https://ieeexplore.ieee.org/author/37664577600","2","D.C. Martin","37664577600","Libr. & Center for Knowledge Manage., California Univ., San Francisco, CA, USA","https://ieeexplore.ieee.org/author/37648518000","3","M.D. Doyle","37648518000","","","","","","","","","","","","","","","","","","","","","","","","","","10","14","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346342","20","Centralized control","Data visualization","HTML","Web server","Magnetic resonance imaging","Computer graphics","Hardware","Workstations","World Wide Web","Internet","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346342","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","31","13","Integrated control of distributed volume visualization through the World-Wide-Web"
"We present an environment in which users can interactively create different visualization methods. This modular and extensible environment encapsulates most of the existing visualization algorithms. Users can easily construct new visualization methods by combining simple, fine grain building blocks. These components operate on a local subset of the data and generally either look for target features or produce visual objects. Intermediate compositions may also be used to build more complex visualizations. This environment provides a foundation for building and exploring novel visualization methods.<>","https://ieeexplore.ieee.org/document/346305/","LOCKED","346305","Baskin Center for Comput. Eng. & Inf. Sci., California Univ., Santa Cruz, CA, USA","https://ieeexplore.ieee.org/author/37267352000","1","A. Pang","37267352000","Baskin Center for Comput. Eng. & Inf. Sci., California Univ., Santa Cruz, CA, USA","https://ieeexplore.ieee.org/author/37349545700","2","N. Alper","37349545700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346305","309","Data visualization","Spraying","Data models","Computer vision","Iris","Filtering","Production","Filters","Degradation","Algorithm design and analysis","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346305","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","32","302","Mix&Match: a construction kit for visualization"
"Time-dependent (unsteady) flow fields are commonly generated in computational fluid dynamics (CFD) simulations; however, there are very few flow visualization systems that generate particle traces in unsteady flow fields. Most existing systems generate particle traces in time-independent flow fields. A particle tracing system has been developed to generate particle traces in unsteady flow fields. The system was used to visualize several 3D unsteady flow fields from real-world problems, and it has provided useful insights into the time-varying phenomena in the flow fields. The design requirements and the architecture of the system are described. Some examples of particle traces computed by the system are also shown.<>","https://ieeexplore.ieee.org/document/346311/","LOCKED","346311","NASA Ames Res. Center, Moffett Field, CA, USA","https://ieeexplore.ieee.org/author/37356915500","1","D.A. Lane","37356915500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","2","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346311","264","Computational fluid dynamics","Computational modeling","Visualization","Equations","NASA","Computer simulation","Time varying systems","Cloud computing","Fuzzy systems","Fires","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346311","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","33","257","UFAT-a particle tracer for time-dependent flow fields"
"Annotation is a key activity of data analysis. However, current data analysis systems focus almost exclusively on visualization. We propose a system which integrates annotations into a visualization system. Annotations are embedded in 3D data space, using the Post-it metaphor. This embedding allows contextual-based information storage and retrieval, and facilitates information sharing in collaborative environments. We provide a traditional database filter and a Magic Lens filter to create specialized views of the data. The system is customized for fluid flow applications, with features which allow users to store parameters of visualization tools and sketch 3D volumes.<>","https://ieeexplore.ieee.org/document/346309/","LOCKED","346309","Res. Lab., Digital Equipment Corp., Cambridge, MA, USA","https://ieeexplore.ieee.org/author/37607264700","1","M.M. Loughlin","37607264700","","https://ieeexplore.ieee.org/author/37286405800","2","J.F. Hughes","37286405800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","2","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346309","279","Fluid flow","Data visualization","Data analysis","Filters","Lenses","Collaboration","History","Trademarks","Software tools","Focusing","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346309","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","34","273","An annotation system for 3D fluid flow visualization"
"Line integral convolution (LIC), introduced by B. Cabral and C. Leedom (1993), is a powerful technique for imaging and animating vector fields. We extend the LIC paradigm in three ways: the existing technique is limited to vector fields over a regular Cartesian grid and we extend it to vector fields over parametric surfaces, specifically those found in curvilinear grids, used in computational fluid dynamics simulations; periodic motion filters can be used to animate the flow visualization, but when the flow lies on a parametric surface, the motion appears misleading, and we explain why this problem arises and show how to adjust the LIC algorithm to handle it; we introduce a technique to visualize vector magnitude as well as vector direction, which is based on varying the frequency of the filter function and we develop a different technique based on kernel phase shifts which we have found to show substantially better results. Implementation of these algorithms utilizes texture-mapping hardware to run in real time, which allows them to be included in interactive applications.<>","https://ieeexplore.ieee.org/document/346313/","LOCKED","346313","Comput. Sci. Corp., NASA Ames Res. Center, Moffett Field, CA, USA","https://ieeexplore.ieee.org/author/37658772900","1","L.K. Forssell","37658772900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","4","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346313","247","Convolution","Animation","Computational fluid dynamics","Computational modeling","Filters","Data visualization","Streaming media","NASA","Frequency","Marine vehicles","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346313","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","35","240","Visualizing flow over curvilinear grid surfaces using line integral convolution"
"We present a direct volume rendering algorithm to speed up volume animation for flow visualizations. Data coherency between consecutive simulation time steps is used to avoid casting rays from those pixels retaining color values assigned to the previous image. The algorithm calculates the differential information among a sequence of 3D volumetric simulation data. At each time step the differential information is used to compute the locations of pixels that need updating and a ray-casting method as utilized to produce the updated image. We illustrate the utility and speed of the differential volume rendering algorithm with simulation data from computational bioelectric and fluid dynamics applications. We can achieve considerable disk-space savings and nearly real-time rendering of 3D flows using low-cost, single processor workstations for models which contain hundreds of thousands of data points.<>","https://ieeexplore.ieee.org/document/346321/","LOCKED","346321","Dept. of Comput. Sci., Utah Univ., Salt Lake City, UT, USA","https://ieeexplore.ieee.org/author/37279493500","1","Han-Wei Shen","37279493500","Dept. of Comput. Sci., Utah Univ., Salt Lake City, UT, USA","https://ieeexplore.ieee.org/author/37276931400","2","C.R. Johnson","37276931400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","2","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346321","187","Animation","Data visualization","Rendering (computer graphics)","Solid modeling","Computational modeling","Casting","Pixel","Fluid dynamics","Workstations","Fluid flow","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346321","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","36","180","Differential volume rendering: a fast volume visualization technique for flow animation"
"A discussion is given on the validation, verification and evaluation of scientific visualization software. A ""bug"" usually refers to software doing something different than the programmer intended. Comprehensive testing, especially for software intended for use in innovative environments, is hard. Descriptions and summaries of the tests we have done are often not available to the users. A different source of visualization errors is software that does something different than what the scientist thinks it does. The particular methods used to compute values in the process of creating visualizations are important to the scientists, but vendors are understandably reluctant to reveal all the internals of their products. Is there a workable compromise? Another vulnerability of visualization users is in the choice of a technique which is less effective than others equally available. Visualization researchers and developers should give users the information required to make good decisions about competing visualization techniques. What information is needed? What will it take to gather and distribute it? How should it be tied to visualization software?.<>","https://ieeexplore.ieee.org/document/346285/","LOCKED","346285","NASA Ames Res. Center, Moffett Field, CA, USA","https://ieeexplore.ieee.org/author/37372247300","1","S. Uselton","37372247300","","https://ieeexplore.ieee.org/author/37659266300","2","G. Dorn","37659266300","","https://ieeexplore.ieee.org/author/37663885300","3","C. Farhat","37663885300","","https://ieeexplore.ieee.org/author/37284186700","4","M. Vannier","37284186700","","https://ieeexplore.ieee.org/author/37659267100","5","K. Esbensen","37659267100","","https://ieeexplore.ieee.org/author/37377256900","6","A. Globus","37377256900","","","","","","","","","","","4","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346285","418","Data visualization","NASA","Production","Application software","Space technology","Research and development","Graphics","Programming profession","Software testing","Petroleum","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346285","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","37","414","Validation, verification and evaluation"
"Describes a technique for achieving fast volume ray-casting on parallel machines, using a load-balancing scheme and an efficient pipelined approach to compositing. We propose a new model for measuring the amount of work one needs to perform in order to render a given volume, and we use this model to obtain a better load-balancing scheme for distributed memory machines. We also discuss in detail the design trade-offs of our technique. In order to validate our model, we have implemented it on the Intel iPSC/860 and the Intel Paragon, and conducted a detailed performance analysis.<>","https://ieeexplore.ieee.org/document/346319/","LOCKED","346319","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37275249200","1","C.T. Silva","37275249200","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37268052800","2","A.E. Kaufman","37268052800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346319","203","Volume measurement","Casting","Rendering (computer graphics)","Workstations","Parallel machines","Data visualization","Parallel algorithms","Computer science","Performance evaluation","Load management","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346319","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","38","196","Parallel performance measures for volume ray casting"
"Describes ANIM3D, a 3D animation library targeted at visualizing combinatorial structures. In particular, we are interested in algorithm animation. Constructing a new view for an algorithm typically takes dozens of design iterations, and can be very time-consuming. Our library eases the programmer's burden by providing high-level constructs for performing animations, and by offering an interpretive environment that eliminates the need for recompilations. We also illustrate ANIM3D's expressiveness by developing a 3D animation of Dijkstra's shortest-path algorithm in just 70 lines of code.<>","https://ieeexplore.ieee.org/document/346323/","LOCKED","346323","DEC Syst. Res. Center, Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37354028200","1","M.A. Najork","37354028200","DEC Syst. Res. Center, Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37349226400","2","M.H. Brown","37349226400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346323","171","Visualization","Animation","Graphics","Algorithm design and analysis","Hardware","Buildings","Software libraries","Instruments","Control systems","History","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346323","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","39","164","A library for visualizing combinatorial structures"
"The paper provides a review of the field of multidimensional data visualisation and discusses some promising methodologies. It considers some crucial problems and directions. The emphasis is more on concepts and foundations rather than ad hoc methods. Visualization is considered as a collection of transformations from problem domains to a perceptual domain, usually visual. The paper discusses the extension of visualisation from the pixel to icons.<>","https://ieeexplore.ieee.org/document/346287/","LOCKED","346287","Dept. of Comput. Sci., California Univ., Los Angeles, CA, USA","https://ieeexplore.ieee.org/author/37294162600","1","A. Inselberg","37294162600","","https://ieeexplore.ieee.org/author/37360588500","2","C. Grinstein","37360588500","","https://ieeexplore.ieee.org/author/37314757900","3","T. Mihalisin","37314757900","","https://ieeexplore.ieee.org/author/37664331500","4","H. Hinterberger","37664331500","","","","","","","","","","","","","","","","","","","","","0","1","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346287","409","Data visualization","Multidimensional systems","Humans","Auditory displays","Biomedical imaging","Computer displays","Reflectivity","Focusing","Psychology","Vectors","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346287","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","40","404","Visualizing multidimensional (multivariate) data and relations"
"This paper describes a system, GASP, that facilitates the visualization of geometric algorithms. The user need not have any knowledge of computer graphics in order to quickly generate a visualization. The system is also intended to facilitate the task of implementing and debugging geometric algorithms. The viewer is provided with a comfortable user interface enhancing the exploration of an algorithm's functionality. We describe the underlying concepts of the system as well as a variety of examples which illustrate its use.<>","https://ieeexplore.ieee.org/document/346325/","LOCKED","346325","Dept. of Comput. Sci., Princeton Univ., NJ, USA","https://ieeexplore.ieee.org/author/37337567000","1","A. Tal","37337567000","Dept. of Comput. Sci., Princeton Univ., NJ, USA","https://ieeexplore.ieee.org/author/37371403900","2","D. Dobkin","37371403900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346325","155","Visualization","Animation","Computer science","Computer graphics","Videos","Computational geometry","Heuristic algorithms","Debugging","Hardware","Algorithm design and analysis","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346325","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","41","149","GASP-a system for visualizing geometric algorithms"
"A new algorithm for identifying vortices in complex flows is presented. The scheme uses both the vorticity and pressure fields. A skeleton line along the center of a vortex is produced by a two-step predictor-corrector scheme. The technique uses the vector field to move in the direction of the skeleton line and the scalar field to correct the location in the plane perpendicular to the skeleton line. With an economical description of the vortex tube's cross-section, the skeleton compresses the representation of the flow by a factor of 4000 or more. We show how the reconstructed geometry of vortex tubes can be enhanced to help visualize helical motion.<>","https://ieeexplore.ieee.org/document/346327/","LOCKED","346327","Inst. for Comput. Applications in Sci. & Eng., NASA Langley Res. Center, Hampton, VA, USA","https://ieeexplore.ieee.org/author/37356983700","1","D.C. Banks","37356983700","","https://ieeexplore.ieee.org/author/37651784800","2","B.A. Singer","37651784800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","2","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346327","139","Skeleton","Data visualization","NASA","Contracts","Spirals","Economic forecasting","Geometry","Motion control","Large-scale systems","Hurricanes","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346327","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","42","132","Vortex tubes in turbulent flows: identification, representation, reconstruction"
"To render images from a three-dimensional array of sample values, it is necessary to interpolate between the samples. This paper is concerned with interpolation methods that are equivalent to convolving the samples with a reconstruction filter; this covers all commonly used schemes, including trilinear and cubic interpolation. We first outline the formal basis of interpolation in three-dimensional signal processing theory. We then propose numerical metrics that can be used to measure filter characteristics that are relevant to the appearance of images generated using that filter. We apply those metrics to several previously used filters and relate the results to isosurface images of the interpolations. We show that the choice of interpolation scheme can have a dramatic effect on image quality, and we discuss the cost/benefit tradeoff inherent in choosing a filter.<>","https://ieeexplore.ieee.org/document/346331/","LOCKED","346331","Program of Comput. Graphics, Cornell Univ., Ithaca, NY, USA","https://ieeexplore.ieee.org/author/37333371500","1","S.R. Marschner","37333371500","Program of Comput. Graphics, Cornell Univ., Ithaca, NY, USA","https://ieeexplore.ieee.org/author/37659292200","2","R.J. Lobb","37659292200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124","1","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346331","107","Filters","Interpolation","Rendering (computer graphics)","Sampling methods","Image reconstruction","Isosurfaces","Computer graphics","Signal processing","Density functional theory","Chebyshev approximation","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346331","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","43","100","An evaluation of reconstruction filters for volume rendering"
"In computational fluid dynamics visualization is a frequently used tool for data evaluation, understanding of flow characteristics, and qualitative comparison to flow visualizations originating from experiments. Building on an existing visualization software system, that allows for a careful selection of state-of-the-art visualization techniques and some extensions, it became possible to present various features of the data in a single image. The visualizations show vortex position and rotation as well as skin-friction lines, experimental oil-flow traces, and shock-wave positions. By adding experimental flow visualization a comparison between numerical simulation and wind-tunnel flow becomes possible up to a high level of detail. Since some of the underlying algorithms are not yet described in detail in the visualization literature, some experiences gained from the implementation are illustrated.<>","https://ieeexplore.ieee.org/document/346329/","LOCKED","346329","DLR, German Aerosp. Res. Establ., Gottingen, Germany","https://ieeexplore.ieee.org/author/37372011800","1","H.-G. Pagendarm","37372011800","DLR, German Aerosp. Res. Establ., Gottingen, Germany","https://ieeexplore.ieee.org/author/37413765900","2","B. Walter","37413765900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","1","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346329","123","Computer vision","Numerical simulation","Data visualization","Petroleum","Geometry","Shock waves","Solid modeling","Computational modeling","Computational fluid dynamics","Discrete event simulation","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346329","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","44","117","Feature detection from vector quantities in a numerically simulated hypersonic flow field in combination with experimental flow visualization"
"We present a comprehensive algorithm to construct a topologically correct triangulation of the real affine part of a rational parametric surface with few restrictions on the defining rational functions. The rational functions are allowed to be undefined on domain curves (pole curves) and at certain special points (base points), and the surface is allowed to have nodal or cuspidal self-intersections. We also recognize that for a complete display, some real points on the parametric surface may be generated only by complex parameter values, and that some finite points on the surface may be generated only by infinite parameter values; we show how to compensate for these conditions. Our techniques for handling these problems have applications in scientific visualization, rendering non-standard NURBS, and in finite-element mesh generation.<>","https://ieeexplore.ieee.org/document/346335/","LOCKED","346335","Dept. of Comput. Sci., Purdue Univ., West Lafayette, IN, USA","https://ieeexplore.ieee.org/author/37282899200","1","C.L. Bajaj","37282899200","Dept. of Comput. Sci., Purdue Univ., West Lafayette, IN, USA","https://ieeexplore.ieee.org/author/37659236200","2","A. Royappa","37659236200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346335","76","Visualization","Spline","Finite element methods","Polynomials","Computer displays","Surface topography","Surface reconstruction","Sampling methods","NASA","Computer science","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346335","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","45","69","Triangulation and display of rational parametric surfaces"
"Much of the attention in visualization research has focussed on data rooted in physical phenomena, which is generally limited to three or four dimensions. However, many sources of data do not share this dimensional restriction. A critical problem in the analysis of such data is providing researchers with tools to gain insights into characteristics of the data, such as anomalies and patterns. Several visualization methods have been developed to address this problem, and each has its strengths and weaknesses. This paper describes a system named XmdvTool which integrates several of the most common methods for projecting multivariate data onto a two-dimensional screen. This integration allows users to explore their data in a variety of formats with ease. A view enhancement mechanism called an N-dimensional brush is also described. The brush allows users to gain insights into spatial relationships over N dimensions by highlighting data which falls within a user-specified subspace.<>","https://ieeexplore.ieee.org/document/346302/","LOCKED","346302","Dept. of Comput. Sci., Worcester Polytech. Inst., MA, USA","https://ieeexplore.ieee.org/author/37268441700","1","M.O. Ward","37268441700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171","13","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346302","333","Data visualization","Data analysis","Brushes","Displays","Computer science","Pattern analysis","Degradation","","","","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346302","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","46","326","XmdvTool: integrating multiple methods for visualizing multivariate data"
"We present a new technique for the visualization and analysis of the results from Monte Carlo simulations based on /spl alpha/-complexes and /spl alpha/-shapes. The specific application presented is the analysis of the quantum-mechanical behavior of hydrogen molecules and helium atoms on a surface at very low temperatures. The technique is an improvement over existing techniques in two respects. First, the approach allows one to visualize the points on a random walk at varying levels of detail and interactively select the level of detail that is most appropriate. Second, using /spl alpha/-shapes one can obtain quantitative measures of spatial properties of the system, such as the boundary length and interior area of clusters, that would be difficult to obtain otherwise.<>","https://ieeexplore.ieee.org/document/346337/","LOCKED","346337","Dept. of Comput. Sci., Illinois Univ., Urbana, IL, USA","https://ieeexplore.ieee.org/author/37323013800","1","P.J. Moran","37323013800","","https://ieeexplore.ieee.org/author/37650681200","2","M. Wagner","37650681200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346337","59","Shape","Monte Carlo methods","Data visualization","Application software","Temperature","Integral equations","Quantum computing","Quantum mechanics","Boundary conditions","Computer science","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346337","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","47","52","Introducing alpha shapes for the analysis of path integral Monte Carlo results"
