"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"The authors describe some mathematical approaches and computer graphics techniques for illustrating concepts related to Fermat's last theorem. They present a selection of visualization methods, and describe observations made in the process of creating a three-minute computer animated videotape dealing with some elementary aspects of Fermat's last theorem, a problem in number theory. The approach to the representation of the different concepts presented in the video was influenced by many factors: the available hardware, real and perceived constraints of the available software, constraints imposed by the video medium, and a number of peculiarities and features of the mathematical domain itself. The authors describe the experiences with the software systems that played a part in these efforts, some specific successful visualization techniques, and some unexpected mathematical insights.<>","https://ieeexplore.ieee.org/document/146370/","LOCKED","146370","Indiana Univ., Bloomington, IN, USA","https://ieeexplore.ieee.org/author/37333439100","1","A.J. Hanson","37333439100","Indiana Univ., Bloomington, IN, USA","https://ieeexplore.ieee.org/author/37283077400","2","P.A. Heng","37283077400","Indiana Univ., Bloomington, IN, USA","https://ieeexplore.ieee.org/author/38226976000","3","B.C. Kaplan","38226976000","","","","","","","","","","","","","","","","2","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146370","106","Visualization","Computer aided software engineering","Computer graphics","Software systems","Computer science","Computer applications","Animation","Zinc","History","Displays","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146370","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","30","97","Techniques for visualizing Fermat's last theorem: a case study"
"The authors present a flexible and efficient method to simulate the Doppler shift. In this new method the spectral curves of surface properties and light composition are represented by spline functions of wavelength. These functions can cover the entire electromagnetic (EM) waves bandwidth, and incorporate the thermal radiation of objects into the surface property description. In particular, a temperature-dependent emission spectral distribution can be assigned to each object for imaging the nonvisible thermal spectra which may become visible due to blue shift. The Doppler shift and shading operations are performed through the manipulation of spline coefficients. The evaluation of the spline functions, which is computationally expensive, is only carried out once-at the end of each shading loop for generating the display RGB values.<>","https://ieeexplore.ieee.org/document/146368/","LOCKED","146368","Carnegie Mellon Univ., Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37673708000","1","P.-K. Hsiung","37673708000","Carnegie Mellon Univ., Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37355901300","2","R.H. Thibadeau","37355901300","Carnegie Mellon Univ., Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/38224229700","3","C.B. Cox","38224229700","Carnegie Mellon Univ., Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37684312600","4","R.H.P. Dunn","37684312600","Carnegie Mellon Univ., Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/38225786100","5","M. Wu","38225786100","Carnegie Mellon Univ., Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/38224474700","6","P.A. Olbrich","38224474700","5","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146368","92","Wideband","Doppler effect","Visualization","Spline","Doppler shift","Surface waves","Electromagnetic radiation","Electromagnetic scattering","Bandwidth","Optical imaging","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146368","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","31","83","Wide-band relativistic Doppler effect visualization"
"A methodology for guiding the choice of visual representations of data is presented. The methodology provides objective and directed display design facilities. Such facilities can guide interactive visualization design, generate standard visualizations automatically, and assess the extent to which chosen representations can convey the required information to data analysis. The methodology is based on objectively distinguishing the types of information conveyed by various visual representations and matching these to the intrinsic characteristics of data and to aims for its interpretation. This approach is directed toward developing a stronger theoretical basis for visualization in scientific computation. The methodology is developed using a natural scene paradigm in which data variables are represented by identifiable properties of realistic scenes.<>","https://ieeexplore.ieee.org/document/146372/","LOCKED","146372","CSIRO, Canberra, ACT, Australia","https://ieeexplore.ieee.org/author/37388066800","1","P.K. Robertson","37388066800","","","","","","","","","","","","","","","","","","","","","","","","","","12","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146372","123","Data visualization","Layout","Displays","Data analysis","Application software","Cognitive science","Information technology","Information systems","Australia","Information analysis","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146372","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","32","114","A methodology for scientific data visualisation: choosing representations based on a natural scene paradigm"
"An exploratory effort to classify visual representations into homogeneous clusters is discussed. The authors collected hierarchical sorting data from twelve subjects. Five principal groups of visual representations emerged from a cluster analysis of sorting data: graphs and tables, maps, diagrams, networks, and icons. Two dimensions appear to distinguish these clusters: the amount of spatial information and cognitive processing effort. The authors discuss visual information processing issues relevant to the research, methodology and data analyses used to develop the classification system, results of the empirical study, and possible directions for future research.<>","https://ieeexplore.ieee.org/document/146374/","LOCKED","146374","Cognitive Sci. & Machine Intelligence Lab., Michigan Univ., Ann Arbor, MI, USA","https://ieeexplore.ieee.org/author/38221269900","1","J. Lohse","38221269900","Cognitive Sci. & Machine Intelligence Lab., Michigan Univ., Ann Arbor, MI, USA","https://ieeexplore.ieee.org/author/38222535800","2","H. Rueter","38222535800","Cognitive Sci. & Machine Intelligence Lab., Michigan Univ., Ann Arbor, MI, USA","https://ieeexplore.ieee.org/author/37377633100","3","K. Biolsi","37377633100","Cognitive Sci. & Machine Intelligence Lab., Michigan Univ., Ann Arbor, MI, USA","https://ieeexplore.ieee.org/author/38224131700","4","N. Walker","38224131700","","","","","","","","","","","15","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146374","138","Data visualization","Sorting","Data mining","Information processing","Data analysis","Computer graphics","Decoding","Knowledge representation","Cognitive science","Machine intelligence","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146374","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","33","131","Classifying visual knowledge representations: a foundation for visualization research"
"The sphere quadtree (SQT), which is based on the recursive subdivision of spherical triangles obtained by projecting the faces of an icosahedron onto a sphere, is discussed. Most databases for spherically distributed data are not structured in a manner consistent with their geometry. As a result, such databases possess undesirable artifacts, including the introduction of tears in the data when they are mapped onto a flat file system. Furthermore, it is difficult to make queries about the topological relationship among the data components without performing real arithmetic. The SQT eliminates some of these problems. The SQT allows the representation of data at multiple levels and arbitrary resolution. Efficient search strategies can be implemented for the selection of data to be rendered or analyzed by a specific technique. Geometric and topological consistency with the data are maintained.<>","https://ieeexplore.ieee.org/document/146380/","LOCKED","146380","NASA, Goddard Space Flight Center, Greenbelt, MD, USA","","1","F. Gyorgy","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146380","186","Data visualization","Earth","Rendering (computer graphics)","NASA","Distributed databases","File systems","Arithmetic","Spatial resolution","Graphics","Management information systems","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146380","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","34","176","Rendering and managing spherical data with sphere quadtrees"
"The authors discuss the special properties of volumetric cell data (e.g., noise, discontinuity, raggedness) and the particular difficulties encountered when trying to visualize them in three dimensions. The authors describe some of the solutions adopted, specifically in surface discrimination and shading. Nerve cells (neuroblastoma) grown in tissue culture were selected as the biological preparation because these cells possess very rich actin structures. The cells were stained with a fluorescent probe specific for actin (rhodamine-phalloidin) and were viewed and optically sectioned using the Bio-Rad MRC 600 confocal fluorescence microscope. The slice dataset was then reconstructed and processed in the BioCube environment, a comprehensive system developed for volume visualization of cellular structures. The actin cytoskeleton of single cells was visualized and manipulated using this system.<>","https://ieeexplore.ieee.org/document/146378/","LOCKED","146378","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37268052800","1","A. Kaufman","37268052800","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37342422500","2","R. Yagel","37342422500","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/38158765400","3","R. Bakalash","38158765400","","https://ieeexplore.ieee.org/author/38222533200","4","I. Spector","38222533200","","","","","","","","","","","13","2","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146378","168","Biological cells","Fluorescence","Optical microscopy","Cells (biology)","Shape","Data visualization","Proteins","Biomedical optical imaging","Sequences","Computed tomography","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146378","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","35","160","Volume visualization in cell biology"
"A forecasting system for the Great Lakes in which the data generated by a three-dimensional numerical model is visualized by a 3-D/stereoscopic display module is discussed. The module consists of a control panel and a display window with the capability of interactively rendering the results. The event scheduling for scenario testing to steer the 3-D numerical model is achieved by a similar panel. These panels set up the simulation and control the data flow between the graphics workstation and supercomputer. Rendering methods, stereo imagery, and animation are incorporated to display the results. Interaction between the user, the workstation, and the supercomputer allows steering of the simulation and tracing of the simulation output. Distributed software for postprocessing and volume rendering are used to enhance the representation.<>","https://ieeexplore.ieee.org/document/146382/","LOCKED","146382","Dept. of Civil Eng., Ohio State Univ., OH, USA","https://ieeexplore.ieee.org/author/38225435000","1","C.-C.J. Yen","38225435000","Dept. of Civil Eng., Ohio State Univ., OH, USA","https://ieeexplore.ieee.org/author/38222589100","2","K.W. Bedford","38222589100","","https://ieeexplore.ieee.org/author/38223917500","3","J.L. Kempf","38223917500","","https://ieeexplore.ieee.org/author/38225773100","4","R.E. Marshall","38225773100","","","","","","","","","","","4","6","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146382","201","Three dimensional displays","Control system synthesis","Numerical models","Workstations","Supercomputers","Rendering (computer graphics)","Lakes","Data visualization","Computer graphics","Testing","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146382","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","36","194","A three-dimensional/stereoscopic display and model control system for Great Lakes forecasts"
"The first half of a two-step quaternion Julia set visualization system is described. This step uses a quarternion square root function to adapt the classic inverse iteration algorithm to the quaternions. The augmented version produces a 3-D Julia set defined by a point cloud that can be interactively manipulated on a graphics workstation. Several cues are assigned to the point cloud to increase depth perception. Finally, a short theorem is proven that extends the domain of the inverse iteration method to a rotational family of quadratic quaternion Julia sets.<>","https://ieeexplore.ieee.org/document/146384/","LOCKED","146384","Electron. Visualization Lab., Illinois Univ., Chicago, IL, USA","https://ieeexplore.ieee.org/author/37301161800","1","J.C. Hart","37301161800","Electron. Visualization Lab., Illinois Univ., Chicago, IL, USA","https://ieeexplore.ieee.org/author/37621252300","2","L.H. Kauffman","37621252300","Electron. Visualization Lab., Illinois Univ., Chicago, IL, USA","https://ieeexplore.ieee.org/author/37086974762","3","D.J. Sandim","37086974762","","","","","","","","","","","","","","","","5","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146384","218","Quaternions","Fractals","Shape","Clouds","Rendering (computer graphics)","Workstations","Ray tracing","Computer graphics","Data visualization","Laboratories","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146384","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","37","209","Interactive visualization of quaternion Julia sets"
"The authors present a tool for the display and analysis of N-dimensional data based on a technique called dimensional stacking. This technique is described. The primary goal is to create a tool that enables the user to project data of arbitrary dimensions onto a two-dimensional image. Of equal importance is the ability to control the viewing parameters, so that one can interactively adjust what ranges of values each dimension takes and the form in which the dimensions are displayed. This will allow an intuitive feel for the data to be developed as the database is explored. The system uses dimensional stacking, to collapse and N-dimension space down into a 2-D space and then render the values contained therein. Each value can then be represented as a pixel or rectangular region on a 2-D screen whose intensity corresponds to the data value at that point.<>","https://ieeexplore.ieee.org/document/146386/","LOCKED","146386","Worcester Polytech. Inst., MA, USA","https://ieeexplore.ieee.org/author/38225805300","1","J. LeBlanc","38225805300","Worcester Polytech. Inst., MA, USA","https://ieeexplore.ieee.org/author/37268441700","2","M.O. Ward","37268441700","Worcester Polytech. Inst., MA, USA","https://ieeexplore.ieee.org/author/38223933400","3","N. Wittels","38223933400","","","","","","","","","","","","","","","","101","5","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146386","237","Databases","Data visualization","Rendering (computer graphics)","Computer displays","Graphics","Data analysis","Computer science","Data engineering","Stacking","Animation","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146386","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","38","230","Exploring N-dimensional databases"
"An algorithm for rendering scalar field data that reduces rendering times by as much as two orders of magnitude over traditional full resolution images is presented. Less than full-resolution sampling of the scalar field is performed using a fast ray tracing method. The sampling grid points are output as a set of screen-based Gouraud shaded polygons which are rendered in hardware by a graphics workstation. A gradient-based variable resolution algorithm that further improves rendering speed is presented. Several examples are presented.<>","https://ieeexplore.ieee.org/document/146390/","LOCKED","146390","Sandia Nat. Lab., Albuquerque, NM, USA","https://ieeexplore.ieee.org/author/38223707500","1","R.J. Meyers","38223707500","","https://ieeexplore.ieee.org/author/38182442500","2","M.B. Stephenson","38182442500","","","","","","","","","","","","","","","","","","","","","2","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146390","272","Rendering (computer graphics)","Power engineering computing","Three dimensional displays","Laboratories","Computer graphics","Image sampling","Physics computing","Image quality","Data engineering","Civil engineering","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146390","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","39","263","Ray traced scalar fields with shaded polygonal output"
"The authors discuss effective techniques for representing scalar and vector valued functions that interpolate to irregularly located data. Special attention is given to the situations where the sampling domain is a two-dimensional plane, 3-D volume, or a closed 3-D surface. The authors first discuss the multiquadric and thin-plate spline methods for interpolating scalar data sampled at arbitrary locations in a plane. Straightforward generalizations are then made to data sampled in 3-D volumetric regions as well as in higher dimensional spaces. The globally defined interpolants can be evaluated on a fine regular grid and they can then be visualized using conventional techniques. Triangular and tetrahedral based visualization techniques are also presented.<>","https://ieeexplore.ieee.org/document/146388/","LOCKED","146388","Dept. of Comput. Sci., Arizona State Univ., Tempe, AZ, USA","https://ieeexplore.ieee.org/author/37393753600","1","T.A. Foley","37393753600","Dept. of Comput. Sci., Arizona State Univ., Tempe, AZ, USA","https://ieeexplore.ieee.org/author/37356915500","2","D.A. Lane","37356915500","","","","","","","","","","","","","","","","","","","","","10","3","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146388","254","Data visualization","Packaging","Spline","Computer science","Sampling methods","Geology","Chemicals","Ear","Graphics","Linear systems","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146388","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","40","247","Visualization of irregular multivariate data"
"The authors describe some simple visualization techniques that may be used to explore dynamic three-dimensional scalar fields in an interactive way. Scalar data are assumed to have been already computed, and graphic manipulations are done afterwards on a graphics workstation. Structured grids (finite-difference grids) are used, leading to an easy and fast exploration of the interior of a volume. Smooth animation and simultaneous visualization of two or three scalar fields is described. These methods were tested on various types of data from different fields of petroleum engineering, i.e. oil reservoir simulation, geophysics, geology, and combustion engine simulations.<>","https://ieeexplore.ieee.org/document/146392/","LOCKED","146392","Inst. Francais due Petrole, Rueil Malmaison, France","https://ieeexplore.ieee.org/author/38222534300","1","J.L. Pajon","38222534300","Inst. Francais due Petrole, Rueil Malmaison, France","https://ieeexplore.ieee.org/author/38224108700","2","V.B. Tran","38224108700","","","","","","","","","","","","","","","","","","","","","0","4","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146392","288","Data visualization","Graphics","Petroleum","Workstations","Finite difference methods","Animation","Testing","Data engineering","Hydrocarbon reservoirs","Geophysics","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146392","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","41","281","Visualization of scalar data defined on a structured grid-applications to petroleum research"
"Algorithms for rendering complex and shaded animation sequences are described. The target display device for these image rendering algorithms is a multichannel display based on the superposing technique realized in hardware. An animation sequence is displayed by superposing a dynamic foreground on a static background. The static background can be a very complex scene, and the dynamic foreground can be an image with a simple to medium complexity. These two algorithms were developed based on raytracing.<>","https://ieeexplore.ieee.org/document/146394/","LOCKED","146394","Dept. of Electr. Eng., Florida Univ., Gainesville, FL, USA","https://ieeexplore.ieee.org/author/38225685300","1","P. Hsu","38225685300","Dept. of Electr. Eng., Florida Univ., Gainesville, FL, USA","https://ieeexplore.ieee.org/author/37349154000","2","J. Staudhammer","37349154000","","","","","","","","","","","","","","","","","","","","","1","9","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146394","306","Casting","Layout","Animation","Displays","Rendering (computer graphics)","Ray tracing","Image sequences","Robots","Decoding","Image generation","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146394","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","42","298","Superposing images with shadow casting"
"A package that can bridge the connection between scattered data sets and the highly structured sets required by graphics algorithms is described. Although export of evaluation data is a necessary capability, it is very important that this package has a fully featured three-dimensional graphics subsystem to interactively guide the researcher toward the final visualization results. At that point the option exists of using more sophisticated and more powerful graphics tools to achieve the desired presentation. The application presented has been designed to effectively meet these needs and to promote the awareness of the value of interpolation tools in visualization. Full details of this design are presented.<>","https://ieeexplore.ieee.org/document/146396/","LOCKED","146396","Dept. of Comput. Sci., Arizona State Univ., Tempe, AZ, USA","https://ieeexplore.ieee.org/author/37355358000","1","K. Voegele","37355358000","","","","","","","","","","","","","","","","","","","","","","","","","","0","3","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146396","322","Scattering","Interpolation","Microcomputers","Data visualization","Sea surface","Ocean temperature","Displays","Demography","Magnetic resonance imaging","Pipelines","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146396","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","43","315","Scattered data interpolation tools in a microcomputer visualization environment"
"The use of critical point analysis to generate representations of the vector field topology of numerical flow data sets is discussed. Critical points are located and characterized in a two-dimensional domain, which may be either a two-dimensional flow field or the tangential velocity field near a three-dimensional body. Tangent curves are then integrated out along the principal directions of certain classes of critical points. The points and curves are linked to form a skeleton representing the two-dimensional vector field topology. When generated from the tangential velocity field near a body in a three-dimensional flow, the skeleton includes the critical points and curves which provide a basis for analyzing the three-dimensional structure of the flow separation.<>","https://ieeexplore.ieee.org/document/146359/","LOCKED","146359","Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/38158227200","1","J.L. Helman","38158227200","Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37274095200","2","L. Hesselink","37274095200","","","","","","","","","","","","","","","","","","","","","29","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146359","13","Fluid flow","Topology","Data visualization","Skeleton","Computer graphics","Petroleum","Displays","Physics","X-ray imaging","Needles","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146359","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","44","6","Surface representations of two- and three-dimensional fluid flow topology"
"Some ideas and techniques for visualizing volumetric data are introduced. The methods presented are different from both the volume rendering techniques and surface contour methods. Volumetric data is data with a domain of three independent variables. The independent variables do not have to indicate a position in space and can be abstract in the sense that they can represent any quantity. The authors cover only the case where the dependent data is a single scalar. The authors describe a collection of techniques and ideas for graphing cuberille grid data. All of these techniques are quite simple and rather easy to implement. During the development of these techniques, the authors were particularly concerned with allowing the user to interact with the system in order to interrogate and analyze the relationships indicated by the volumetric data.<>","https://ieeexplore.ieee.org/document/146363/","LOCKED","146363","Dept. of Comput. Sci., Arizona State Univ., Tempe, AZ, USA","https://ieeexplore.ieee.org/author/37283754100","1","G.M. Nielson","37283754100","Dept. of Comput. Sci., Arizona State Univ., Tempe, AZ, USA","https://ieeexplore.ieee.org/author/37282068700","2","B. Hamann","37282068700","","","","","","","","","","","","","","","","","","","","","7","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146363","50","Data visualization","Scattering","Computer science","Temperature measurement","Furnaces","Functional analysis","","","","","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146363","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","45","45","Techniques for the interactive visualization of volumetric data"
"The authors describe the real-time acoustic display capabilities developed for the virtual environment workstation (VIEW) project. The acoustic display is capable of generating localized acoustic cues in real time over headphones. An auditor symbology, a related collection of representational auditory objects or icons, can be designed using the auditory cue editor, which links both discrete and continuously varying acoustic parameters with information or events in the display. During a given display scenario, the symbology can be dynamically coordinated in real time with three-dimensional visual objects, speech, and gestural displays. The types of displays feasible with the system range from simple warnings and alarms to the acoustic representation of multidimensional data or events.<>","https://ieeexplore.ieee.org/document/146398/","LOCKED","146398","NASA Ames Res. Center, Moffett Field, CA, USA","https://ieeexplore.ieee.org/author/37618567100","1","E.M. Wenzel","37618567100","NASA Ames Res. Center, Moffett Field, CA, USA","https://ieeexplore.ieee.org/author/38224462600","2","P.K. Stone","38224462600","","https://ieeexplore.ieee.org/author/38001495100","3","S.S. Fisher","38001495100","","https://ieeexplore.ieee.org/author/37612624400","4","S.H. Foster","37612624400","","","","","","","","","","","19","5","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146398","337","Visualization","Virtual environment","Workstations","Auditory displays","Three dimensional displays","Computer interfaces","Audio user interfaces","Drives","Real time systems","Headphones","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146398","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","46","329","A system for three-dimensional acoustic 'visualization' in a virtual environment workstation"
"A general method for rendering isosurfaces of multivariate rational and polynomial tensor products is described. The method is robust up to degree 15, handling singularities without introducing spurious rendering artifacts. The approach does not solve the problem of singularities in general, but it removes the problem from the rendering domain to the interpolation/approximation domain. It is based on finding real roots of a polynomial in Bernstein form. This makes it particularly suitable for parallel and pipelined processing. It is envisioned that the tensor products will be used as approximants or interpolants for empirical data or scalar fields. An interpolation scheme is given as an example.<>","https://ieeexplore.ieee.org/document/146401/","LOCKED","146401","Silicon Graphics Comput. Syst., Mountain View, CA, USA","https://ieeexplore.ieee.org/author/37372689000","1","A. Rockwood","37372689000","","","","","","","","","","","","","","","","","","","","","","","","","","6","1","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146401","360","Tensile stress","Isosurfaces","Polynomials","Rendering (computer graphics)","Interpolation","Robustness","Hardware","Computer displays","Silicon","Computer graphics","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146401","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","47","353","Accurate display of tensor product isosurfaces"
"Visualizing the third dimension while designing three-dimensional (3-D) objects is an awkward process in mechanical computer-aided-design (CAD) systems, given the current state of the art. The authors describe a computer system that automatically constructs the shape of a 3-D object from a single 2-D sketch. The method makes it convenient to create and manipulate 3-D objects, and is thus seen as an intelligent user interface for CAD and 3-D graphics applications. The proposed technique is built on well-known results in image analysis. These results are applied in conjunction with some perceptual rules to determine 3-D structure from a rough line drawing. The principles are illustrated by a computer implementation that works in a nontrivial object domain.<>","https://ieeexplore.ieee.org/document/146365/","LOCKED","146365","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/38226960900","1","D. Lamb","38226960900","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/38222557000","2","A. Bandopadhay","38222557000","","","","","","","","","","","","","","","","","","","","","22","3","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146365","66","Visualization","Design automation","Technical drawing","User interfaces","Image analysis","Humans","Ambient intelligence","Computer science","Shape","Computer graphics","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146365","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","48","59","Interpreting a 3D object from a rough 2D line drawing"
