"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Virtual testing is an integral part of modern product development in mechanical engineering. Numerical structure simulations allow the computation of local stresses which are given as tensor fields. For homogeneous materials, the tensor information is usually reduced to a scalar field like the von Mises stress. A material-dependent threshold defines the material failure answering the key question of engineers. This leads to a rather simple feature-based visualisation. For composite materials like short fiber reinforced polymers, the situation is much more complex. The material property is determined by the fiber distribution at every position, often described as fiber orientation tensor field. Essentially, the material's ability to cope with stress becomes anisotropic and inhomogeneous. We show how to combine the stress field and the fiber orientation field in such cases, leading to a feature-based visualization of tensor fields for composite materials. The resulting features inform the engineer about potential improvements in the product development.","https://ieeexplore.ieee.org/document/7429491/","LOCKED","7429491","Leipzig University","https://ieeexplore.ieee.org/author/37085688811","1","Valentin Zobel","37085688811","TU Dortmund University","https://ieeexplore.ieee.org/author/37085692798","2","Markus Stommel","37085692798","Leipzig University","https://ieeexplore.ieee.org/author/37282574800","3","Gerik Scheuermann","37282574800","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429491","56","https://ieeexplore.ieee.org/document/7429491/","tensor visualization","feature-based visualisation","composite materials","structural mechanics","","","Tensile stress","Visualization","Plastics","Injection molding","Data visualization","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429491","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","26","49","Feature-based tensor field visualization for fiber reinforced polymers"
"B-mode ultrasound is a very well established imaging modality and is widely used in many of today's clinical routines. However, acquiring good images and interpreting them correctly is a challenging task due to the complex ultrasound image formation process depending on a large number of parameters. To facilitate ultrasound acquisitions, we introduce a novel framework for real-time uncertainty visualization in B-mode images. We compute real-time per-pixel ultrasound Confidence Maps, which we fuse with the original ultrasound image in order to provide the user with an interactive feedback on the quality and credibility of the image. In addition to a standard color overlay mode, primarily intended for educational purposes, we propose two perceptional visualization schemes to be used in clinical practice. Our mapping of uncertainty to chroma uses the perceptionally uniform L*a*b* color space to ensure that the perceived brightness of B-mode ultrasound remains the same. The alternative mapping of uncertainty to fuzziness keeps the B-mode image in its original grayscale domain and locally blurs or sharpens the image based on the uncertainty distribution. An elaborate evaluation of our system and user studies on both medical students and expert sonographers demonstrate the usefulness of our proposed technique. In particular for ultrasound novices, such as medical students, our technique yields powerful visual cues to evaluate the image quality and thereby learn the ultrasound image formation process. Furthermore, seeing the distribution of uncertainty adjust to the transducer positioning in real-time, provides also expert clinicians with a strong visual feedback on their actions. This helps them to optimize the acoustic window and can improve the general clinical value of ultrasound.","https://ieeexplore.ieee.org/document/7429489/","LOCKED","7429489","","","1","Christian Schulte Zu Berge","","","https://ieeexplore.ieee.org/author/37085716865","2","Denis Declara","37085716865","","https://ieeexplore.ieee.org/author/37085358648","3","Christoph Hennersperger","37085358648","","https://ieeexplore.ieee.org/author/37944985900","4","Maximilian Baust","37944985900","","https://ieeexplore.ieee.org/author/37085356050","5","Nassir Navab","37085356050","","","","","","","","","","","","","","","","1","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429489","40","https://ieeexplore.ieee.org/document/7429489/","Ultrasound","Uncertainty Visualization","Confidence Maps","Real-time","","","Ultrasonic imaging","Uncertainty","Visualization","Image color analysis","Real-time systems","Biomedical imaging","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429489","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","27","33","Real-time uncertainty visualization for B-mode ultrasound"
"We present a novel approach that utilizes a simple handheld camera to automatically calibrate multi-projector displays. Most existing studies adopt active structured light patterns to verify the relationship between the camera and the projectors. The utilized camera is typically expensive and requires an elaborate installation process depending on the scalability of its applications. Moreover, the observation of the entire area by the camera is almost impossible for a small space surrounded by walls as there is not enough distance for the camera to capture the entire scene. We tackle these issues by requiring only a portion of the walls to be visible to a handheld camera that is widely used these days. This becomes possible by the introduction of our new structured light pattern scheme based on a perfect submap and a geometric calibration that successfully utilizes the geometric information of multi-planar environments. We demonstrate that immersive display in a small space such as an ordinary room can be effectively created using images captured by a handheld camera.","https://ieeexplore.ieee.org/document/7429493/","LOCKED","7429493","KAIST","https://ieeexplore.ieee.org/author/37085619811","1","Sanghun Park","37085619811","KAIST","https://ieeexplore.ieee.org/author/37085628777","2","Hyunggoog Seo","37085628777","KAIST","https://ieeexplore.ieee.org/author/37085630211","3","Seunghoon Cha","37085630211","KAIST","https://ieeexplore.ieee.org/author/37720728400","4","Junyong Noh","37720728400","","","","","","","","","","","","","","","","","","","","","3","1","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429493","72","https://ieeexplore.ieee.org/document/7429493/","I.3.3 [Computer Graphics]: Picture/Image Generation — Display algorithms","I.4.1 [Image Processing and Computer Vision]: Digitization and Image Capture — Imaging geometry","I.4.1 [Image Processing and Computer Vision]: Digitization and Image Capture — Camera calibration","I.3.3 [Hardware]","Input/Output Devices — Image display","","Cameras","Calibration","Three-dimensional displays","Multiplexing","Image color analysis","Electronic mail","Feature extraction","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429493","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","28","65","Auto-calibration of multi-projector displays with a single handheld camera"
"We propose a unified visualization tool for cosmological data resulting from dark matter simulations. Our system comprises both established and novel visualization approaches for the dark matter tracer particles and halo structures to allow interactive exploration of the data in 3D and 2D as well as tracking the evolution of the data over time using multiple views. Due to our scalable volume rendering approach, properties of the particle data such as the distribution of dark matter can be visualized at interactive frame rates even for large-scale data after a one-time pre-processing conversion step.","https://ieeexplore.ieee.org/document/7429500/","LOCKED","7429500","University of Munster","https://ieeexplore.ieee.org/author/37085773102","1","Aaron Scherzinger","37085773102","University of Munster","https://ieeexplore.ieee.org/author/37085771297","2","Tobias Brix","37085771297","University of Munster","https://ieeexplore.ieee.org/author/37085767147","3","Dominik Drees","37085767147","University of Munster","https://ieeexplore.ieee.org/author/37085770060","4","Andreas Volker","37085770060","University of Munster","https://ieeexplore.ieee.org/author/37085774660","5","Kiril Radkov","37085774660","University of Munster","https://ieeexplore.ieee.org/author/37085773592","6","Niko Santalidis","37085773592","University of Munster","https://ieeexplore.ieee.org/author/37085770619","7","Alexander Fieguth","37085770619","University of Munster","https://ieeexplore.ieee.org/author/37267218300","8","Klaus Hinrichs","37267218300","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429500","135","https://ieeexplore.ieee.org/document/7429500/","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429500","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","29","115","Visualize the universe: Interactive exploration of cosmological dark matter simulation data"
"Provides a listing of current committee members and society officers.","https://ieeexplore.ieee.org/document/7429480/","EPHEMERA","7429480","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429480","1","","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429480","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","30","1","SciVis international program committee"
"Provides a listing of current committee members and society officers.","https://ieeexplore.ieee.org/document/7429478/","EPHEMERA","7429478","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429478","1","","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429478","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","31","1","IEEE visualization and graphics technical committee (VGTC)"
"Presents the introductory welcome message from the conference proceedings. May include the conference officers' congratulations to all involved with the conference event and publication of the proceedings record.","https://ieeexplore.ieee.org/document/7429477/","EPHEMERA","7429477","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429477","2","https://ieeexplore.ieee.org/document/7429477/","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429477","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","32","1","Preface"
"Provides a listing of current committee members and society officers.","https://ieeexplore.ieee.org/document/7429479/","EPHEMERA","7429479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429479","1","","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429479","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","33","1","VIS conference committee"
"The following topics are dealt with: visual analysis; data visualization; 3D flow visualization; trees.","","EPHEMERA","7429474","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429474","1","","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429474","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","34","1","[Title page]"
"Presents the table of contents/splash page of the 2015 IEEE Scientific Visualization Conference (SciVis) proceedings record.","","EPHEMERA","7429476","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429476","2","","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429476","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","35","1","Conference papers"
"Start of the above-titled section of the conference proceedings record.","","EPHEMERA","7429484","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429484","2","","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429484","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","36","1","Papers"
"Start of the above-titled section of the conference proceedings record.","","EPHEMERA","7429494","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429494","2","","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429494","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","37","1","Contest"
"Start of the above-titled section of the conference proceedings record.","","EPHEMERA","7429501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429501","2","","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429501","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","38","1","Posters"
"Presents the copyright information for the conference. May include reprint permission information.","","EPHEMERA","7429475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429475","1","","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429475","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","39","1","[Copyright notice]"
"The conference offers a note of thanks and lists its reviewers.","","EPHEMERA","7429481","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429481","1","","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429481","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","40","1","SciVis paper reviewers"
"How do computer architectures and physical architectures inform each other? This talk will explore the interconnection of data and visualization through an architectural and computational lens over the last 50 years, including the work of Steven Coons, Christopher Alexander, Richard Saul Wurman and others.","","EPHEMERA","7429483","Carnegie Mellon","","1","Molly Wright Steenson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429483","1","","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429483","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","41","1","VIS capstone address: Architectures physical and digital"
"Visualization of all types of data is a highly effective tool used by researchers to gain insight into natural phenomena and to communicate their findings. It is also an increasingly popular means of presenting large scientific datasets to the general public in informal educational settings such as museums and planetaria. Visualization has appeared in many forms and in many cultures throughout digital history and contributes to the evolving visual language of science. Dr. Donna Cox and the Advanced Visualization Laboratory team at the National Center for Supercomputing Applications, University of Illinois, collaborate with science teams, writers, producers, educators, and media distribution professionals on content designed to engage a wide range of audiences. In the past 8 years alone, her collaborative educational and outreach projects have produced science narratives featuring data visualizations that have been viewed by more than 45 million people worldwide. Cox leads an NSF-funded project to create scientific visualizations and then test audiences' understanding of the phenomenon that is being presented. Large-scale computational data present unique visualization challenges for producers of high-resolution, production-quality 3D IMAX movies; feature films; and museum fulldomes. In this keynote, Cox will provide a visual feast of major projects, including new digital fulldome museum shows and award-winning IMAX films.","","EPHEMERA","7429482","University of Illinois, Chicago","https://ieeexplore.ieee.org/author/37085805303","1","Donna J. Cox","37085805303","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429482","1","https://ieeexplore.ieee.org/document/7429482/","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429482","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","42","1","VIS keynote address: An evolving visual language"
