"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title" 
"Quantitative techniques for visualization are critical to the successful analysis of both acquired and simulated scientific data. Many visualization techniques rely on indirect mappings, such as transfer functions, to produce the final imagery. In many situations, it is preferable and more powerful to express these mappings as mathematical expressions, or queries, that can then be directly applied to the data. We present a hardware-accelerated system that provides such capabilities and exploits current graphics hardware for portions of the computational tasks that would otherwise be executed on the CPU. In our approach, the direct programming of the graphics processor using a concise data parallel language, gives scientists the capability to efficiently explore and visualize data sets.","https://ieeexplore.ieee.org/document/1372194/","LOCKED","1372194","Advanced Comput. Lab., Los Alamos Nat. Lab., NM, USA","https://ieeexplore.ieee.org/author/37282708700","1","P.S. McCormick","37282708700","Advanced Comput. Lab., Los Alamos Nat. Lab., NM, USA","https://ieeexplore.ieee.org/author/37282707800","2","J. Inman","37282707800","Advanced Comput. Lab., Los Alamos Nat. Lab., NM, USA","https://ieeexplore.ieee.org/author/37282713700","3","J.P. Ahrens","37282713700","","https://ieeexplore.ieee.org/author/37266777200","4","C. Hansen","37266777200","","https://ieeexplore.ieee.org/author/37269487100","5","G. Roth","37269487100","","","","","","","","","","","","","","","","","","","","","26","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.95","178","https://ieeexplore.ieee.org/document/1372194/","Visualization systems","hardware acceleration","","multivariate visualization","volume rendering","","","","","","","Data visualization","Hardware","Transfer functions","Image analysis","Computer graphics","Rendering (computer graphics)","Computer architecture","Laboratories","Scientific computing","Optical imaging","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372194","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","68","171","Scout: a hardware-accelerated system for quantitatively driven visualization and analysis"
"We introduce a novel span-triangle data structure, based on the span-space representation for isosurfaces. It stores all necessary cell information for dynamic manipulation of the isovalue in an efficient way. We have found that using our data structure in combination with point-based techniques, implemented on graphics hardware, effects in real-time rendering and exploration. Our extraction algorithm utilizes an incremental and progressive update scheme, enabling smooth interaction without significant latency. Moreover, the corresponding visualization pipeline is capable of processing large data sets by utilizing all three levels of memory: disk, system and graphics. We address practical usability in actual medical applications, achieving a new level of interactivity.","https://ieeexplore.ieee.org/document/1372228/","LOCKED","1372228","","https://ieeexplore.ieee.org/author/38269932000","1","B. von Rymon-Lipinski","38269932000","","https://ieeexplore.ieee.org/author/38277392600","2","N. Hanssen","38277392600","","https://ieeexplore.ieee.org/author/38273524000","3","T. Jansen","38273524000","","https://ieeexplore.ieee.org/author/38270034700","4","L. Ritter","38270034700","","https://ieeexplore.ieee.org/author/37282573400","5","E. Keeve","37282573400","","","","","","","","","","","","","","","","","","","","","5","1","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.29","448","https://ieeexplore.ieee.org/document/1372228/","Point-Based Visualization","Isosurfaces","","Hardware Acceleration","Large Data Set Visualization","Visualization in Medicine","","","","","","Isosurfaces","Data structures","Graphics","Manipulator dynamics","Hardware","Rendering (computer graphics)","Data mining","Delay","Data visualization","Pipelines","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372228","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","69","441","Efficient point-based isosurface exploration using the span-triangle"
"New high-throughput proteomic techniques generate data faster than biologists can analyze it. Hidden within this massive and complex data are answers to basic questions about how cells function. The data afford an opportunity to take a global or systems approach studying whole proteomes comprising all the proteins in an organism. However, the tremendous size and complexity of the high-throughput data make it difficult to process and interpret. Existing tools for studying a few proteins at a time are not suitable for global analysis. Visualization provides powerful analysis capabilities for enormous, complex data at multiple resolutions. We developed a novel interactive visualization tool, PQuad, for the visual analysis of proteins and peptides identified from high-throughput data on biological samples. PQuad depicts the peptides in the context of their source protein and DNA, thereby integrating proteomic and genomic information. A wrapped line metaphor is applied across key resolutions of the data, from a compressed view of an entire chromosome to the actual nucleotide sequence. PQuad provides a difference visualization for comparing peptides from samples prepared under different experimental conditions. We describe the requirements for such a visual analysis tool, the design decisions, and the novel aspects of PQuad.","https://ieeexplore.ieee.org/document/1372232/","LOCKED","1372232","Pacific Northwest Nat. Lab., Richland, WA, USA","https://ieeexplore.ieee.org/author/37282588900","1","S.L. Havre","37282588900","Pacific Northwest Nat. Lab., Richland, WA, USA","https://ieeexplore.ieee.org/author/37271719400","2","M. Singhal","37271719400","Pacific Northwest Nat. Lab., Richland, WA, USA","https://ieeexplore.ieee.org/author/37276713300","3","D.A. Payne","37276713300","Pacific Northwest Nat. Lab., Richland, WA, USA","https://ieeexplore.ieee.org/author/38286312800","4","B.-J.M. Webb-Robertson","38286312800","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.82","480","https://ieeexplore.ieee.org/document/1372232/","visualization","metaphor","","context","proteomics","differential proteomics","difference visualization","","","","","Peptides","Data visualization","Proteomics","Organisms","Protein engineering","DNA","Genomics","Bioinformatics","Biological cells","Sequences","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372232","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","70","473","PQuad: visualization of predicted peptides and proteins"
"Vortex breakdowns and flow recirculation are essential phenomena in aeronautics where they appear as a limiting factor in the design of modern aircrafts. Because of the inherent intricacy of these features, standard flow visualization techniques typically yield cluttered depictions. The paper addresses the challenges raised by the visual exploration and validation of two CFD simulations involving vortex breakdown. To permit accurate and insightful visualization we propose a new approach that unfolds the geometry of the breakdown region by letting a plane travel through the structure along a curve. We track the continuous evolution of the associated projected vector field using the theoretical framework of parametric topology. To improve the understanding of the spatial relationship between the resulting curves and lines we use direct volume rendering and multidimensional transfer functions for the display of flow-derived scalar quantities. This enriches the visualization and provides an intuitive context for the extracted topological information. Our results offer clear, synthetic depictions that permit new insight into the structural properties of vortex breakdowns.","https://ieeexplore.ieee.org/document/1372196/","LOCKED","1372196","Utah Univ., Salt Lake City, UT, USA","https://ieeexplore.ieee.org/author/37282575100","1","X. Tricoche","37282575100","","https://ieeexplore.ieee.org/author/37282573700","2","C. Garth","37282573700","","https://ieeexplore.ieee.org/author/37282742400","3","G. Kindlmann","37282742400","","https://ieeexplore.ieee.org/author/37282727900","4","E. Deines","37282727900","","https://ieeexplore.ieee.org/author/37282574800","5","G. Scheuermann","37282574800","","https://ieeexplore.ieee.org/author/37282728900","6","M. Ruetten","37282728900","","https://ieeexplore.ieee.org/author/37266777200","7","C. Hansen","37266777200","","","","","","","","","","","29","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.113","194","https://ieeexplore.ieee.org/document/1372196/","flow visualization","vortex analysis","","parametric topology","cutting planes","volume rendering","","","","","","Visualization","Electric breakdown","Aircraft","Computational fluid dynamics","Geometry","Topology","Multidimensional systems","Transfer functions","Displays","Data mining","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372196","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","71","187","Visualization of intricate flow structures for vortex breakdown analysis"
"We present the definition and computational algorithms for a new class of surfaces which are dual to the isosurface produced by the widely used marching cubes (MC) algorithm. These new isosurfaces have the same separating properties as the MC surfaces but they are comprised of quad patches that tend to eliminate the common negative aspect of poorly shaped triangles of the MC isosurfaces. Based upon the concept of this new dual operator, we describe a simple, but rather effective iterative scheme for producing smooth separating surfaces for binary, enumerated volumes which are often produced by segmentation algorithms. Both the dual surface algorithm and the iterative smoothing scheme are easily implemented.","https://ieeexplore.ieee.org/document/1372234/","LOCKED","1372234","Arizona Univ., Tucson, AZ, USA","https://ieeexplore.ieee.org/author/37283754100","1","G.M. Nielson","37283754100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.28","496","https://ieeexplore.ieee.org/document/1372234/","Marching Cubes","isosurfaces","","triangular mesh","dual graph","segmented data","smoothing","","","","","Isosurfaces","Iterative algorithms","Lattices","Smoothing methods","Chromium","Computer graphics","Computational geometry","Solid modeling","USA Councils","Visualization","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372234","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","72","489","Dual marching cubes"
"We describe a new technique for fitting scattered point cloud data. Given a scattered point cloud of 3D data points and associated normal vectors, our new method produces an implicit volume model whose zero level isosurface interpolates the given points and associated normal vectors. We concentrate on certain application of these new volume modeling techniques. We take existing polygon mesh surfaces and use the present methods to construct implicit volume models for these surfaces. Implicit models allow for the application of Boolean operations on these surfaces through the techniques of constructive solid geometry. Also, standard wavelet and filter operators can be applied to the implicit volume model leading to effective smoothing and filtering algorithms, which are simple to implement.","https://ieeexplore.ieee.org/document/1372198/","LOCKED","1372198","Arizona State Univ., AZ, USA","https://ieeexplore.ieee.org/author/37283754100","1","G.M. Nielson","37283754100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.87","210","https://ieeexplore.ieee.org/document/1372198/","Surface reconstruction","point clouds","","isosurfaces","polygon mesh","","","","","","","Scattering","Smoothing methods","Isosurfaces","Surface fitting","Solid modeling","Data visualization","Computer graphics","Three-dimensional displays","Surface reconstruction","Interpolation","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372198","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","73","203","Radial Hermite operators for scattered point cloud data with normal vectors and applications to implicitizing polygon mesh surfaces for generalized CSG operations and smoothing"
"This work presents an experimental immersive interface for designing DNA components for application in nanotechnology. While much research has been done on immersive visualization, this is one of the first systems to apply advanced interface techniques to a scientific design problem. This system uses tangible 3D input devices (tongs, a raygun, and a multipurpose handle tool) to create and edit a purely digital representation of DNA. The tangible controllers are associated with functions (not data) while a virtual display is used to render the model. This interface was built in collaboration with a research group investigating the design of DNA tiles. A user study shows that scientists find the immersive interface more satisfying than a 2D interface due to the enhanced understanding gained by directly interacting with molecules in 3D space.","https://ieeexplore.ieee.org/document/1372201/","LOCKED","1372201","","https://ieeexplore.ieee.org/author/37282570500","1","S. Schkolne","37282570500","","https://ieeexplore.ieee.org/author/37277282100","2","H. Ishii","37277282100","","https://ieeexplore.ieee.org/author/37282570000","3","P. Schroder","37282570000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.47","234","https://ieeexplore.ieee.org/document/1372201/","tangible user interface","molecular visualization","","props","molecular modeling","spatial construction","virtual reality","augmented reality","responsive workbench","DNA design","","DNA","Visualization","","","","","","","","","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372201","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","74","227","Immersive design of DNA molecules with a tangible interface"
"We present a fast, topology-preserving approach for isosurface simplification. The underlying concept behind our approach is to preserve the disconnected surface components in cells during isosurface simplification. We represent isosurface components in a novel representation, called enhanced cell, where each surface component in a cell is represented by a vertex and its connectivity information. A topology-preserving vertex clustering algorithm is applied to build a vertex octree. An enhanced dual contouring algorithm is applied to extract error-bounded multiresolution isosurfaces from the vertex octree while preserving the finest resolution isosurface topology. Cells containing multiple vertices are properly handled during contouring. Our approach demonstrates better results than existing octree-based simplification techniques.","https://ieeexplore.ieee.org/document/1372236/","LOCKED","1372236","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37273740800","1","Nan Zhang","37273740800","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37277099300","2","Wei Hong","37277099300","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37268052800","3","A. Kaufman","37268052800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.27","512","https://ieeexplore.ieee.org/document/1372236/","isosurface simplification","isosurface extraction","","topology preservation","vertex clustering","","","","","","","Isosurfaces","Topology","Clustering algorithms","Data mining","Computer graphics","Computer science","Computer errors","Chromium","Data structures","Data visualization","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372236","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","75","505","Dual contouring with topology-preserving simplification using enhanced cell representation"
"Multiperspective images are a useful way to visualize extended, roughly planar scenes such as landscapes or city blocks. However, constructing effective multiperspective images is something of an art. We describe an interactive system for creating multiperspective images composed of serially blended cross-slits images. Beginning with a sideways-looking video of the scene as might be captured from a moving vehicle, we allow the user to interactively specify a set of cross-slits cameras, possibly with gaps between them. In each camera, one of the slits is defined to be the camera path, which is typically horizontal, and the user is left to choose the second slit, which is typically vertical. The system then generates intermediate views between these cameras using a novel interpolation scheme, thereby producing a multiperspective image with no seams. The user can also choose the picture surface in space onto which viewing rays are projected, thereby establishing a parameterization for the image. We show how the choice of this surface can be used to create interesting visual effects. We demonstrate our system by constructing multiperspective images that summarize city blocks, including corners, blocks with deep plazas and other challenging urban situations.","https://ieeexplore.ieee.org/document/1372240/","LOCKED","1372240","Comput. Graphics Lab., Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37284564500","1","A. Roman","37284564500","Comput. Graphics Lab., Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37282568400","2","G. Garg","37282568400","Comput. Graphics Lab., Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37282931600","3","M. Levoy","37282931600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","7","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.50","544","https://ieeexplore.ieee.org/document/1372240/","cross-slits image","multi-perspective image","","city block","","","","","","","","Visualization","Cameras","Computer graphics","Cities and towns","Image generation","Layout","Fabrics","Art","Application software","Optical distortion","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372240","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","76","537","Interactive design of multi-perspective images for visualizing urban landscapes"
"While molecular visualization software has advanced over the years, today, most tools still operate on individual molecular structures with limited facility to manipulate large multicomponent complexes. We approach this problem by extending 3D image-based rendering via programmable graphics units, resulting in an order of magnitude speedup over traditional triangle-based rendering. By incorporating a biochemically sensitive level-of-detail hierarchy into our molecular representation, we communicate appropriate volume occupancy and shape while dramatically reducing the visual clutter that normally inhibits higher-level spatial comprehension. Our hierarchical, image based rendering also allows dynamically computed physical properties data (e.g. electrostatics potential) to be mapped onto the molecular surface, tying molecular structure to molecular function. Finally, we present another approach to interactive molecular exploration using volumetric and structural rendering in tandem to discover molecular properties that neither rendering mode alone could reveal. These visualization techniques are realized in a high-performance, interactive molecular exploration tool we call TexMol, short for Texture Molecular viewer.","https://ieeexplore.ieee.org/document/1372203/","LOCKED","1372203","Center for Computational Visualization, Texas Univ., Austin, TX, USA","https://ieeexplore.ieee.org/author/37282899200","1","Chandrajit Bajaj","37282899200","Center for Computational Visualization, Texas Univ., Austin, TX, USA","https://ieeexplore.ieee.org/author/37282578400","2","P. Djeu","37282578400","Center for Computational Visualization, Texas Univ., Austin, TX, USA","https://ieeexplore.ieee.org/author/37282577700","3","Vinay Siddavanahalli","37282577700","Center for Computational Visualization, Texas Univ., Austin, TX, USA","https://ieeexplore.ieee.org/author/37282571600","4","A. Thane","37282571600","","","","","","","","","","","","","","","","","","","","","","","","","","16","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.103","250","https://ieeexplore.ieee.org/document/1372203/","molecular visualization","image-based rendering","computer graphics","texture-based rendering","imposter rendering","volume rendering","programmable graphics hardware","level-of-detail","hierarchy","multiresolution","synchronous view","Rendering (computer graphics)","Data visualization","Computer graphics","FCC","Software tools","Electrostatics","Packaging","Solid modeling","Hardware","RNA","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372203","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","77","243","TexMol: interactive visual exploration of large flexible multi-component molecular complexes"
"This work describes a method to visualize the thickness of curved thin objects. Given the MRI volume data of articular cartilage, medical doctors investigate pathological changes of the thickness. Since the tissue is very thin, it is impossible to reliably map the thickness information by direct volume rendering. Our idea is based on unfolding of such structures preserving their thickness. This allows to perform anisotropic geometrical operations (e.g., scaling the thickness). However, flattening of a curved structure implies a distortion of its surface. The distortion problem is alleviated through a focus-and-context minimization approach. Distortion is smallest close to a focal point which can be interactively selected by the user.","https://ieeexplore.ieee.org/document/1372238/","LOCKED","1372238","ICGA, Vienna Univ. of Technol., Austria","https://ieeexplore.ieee.org/author/37266257200","1","M. Mlejnek","37266257200","","https://ieeexplore.ieee.org/author/37282551500","2","A. Vilanova","37282551500","","https://ieeexplore.ieee.org/author/37282552200","3","M.E. Groller","37282552200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.56","527","https://ieeexplore.ieee.org/document/1372238/","visualization in medicine","applications of visualization","","","","","","","","","","Surface reconstruction","Data visualization","Medical diagnostic imaging","Osteoarthritis","Biomedical imaging","Magnetic resonance imaging","Bones","Thickness measurement","Image reconstruction","Inspection","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372238","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","78","521","Interactive thickness visualization of articular cartilage"
"We present a system for simulating and visualizing the propagation of dispersive contaminants with an application to urban security. In particular, we simulate airborne contaminant propagation in open environments characterised by sky-scrapers and deep urban canyons. Our approach is based on the multiple relaxation time lattice Boltzmann model (MRTLBM), which can efficiently handle complex boundary conditions such as buildings. In addition, we model thermal effects on the flow field using the hybrid thermal MRTLBM. Our approach can also accommodate readings from various sensors distributed in the environment and adapt the simulation accordingly. We accelerate the computation and efficiently render many buildings with small textures on the GPU. We render streamlines and the contaminant smoke with self-shadowing composited with the textured buildings.","https://ieeexplore.ieee.org/document/1372242/","LOCKED","1372242","Dept. of Comput. Sci., Stony Brook Univ., NY, USA","https://ieeexplore.ieee.org/author/37416126400","1","Feng Qiu","37416126400","Dept. of Comput. Sci., Stony Brook Univ., NY, USA","https://ieeexplore.ieee.org/author/37067591000","2","Ye Zhao","37067591000","Dept. of Comput. Sci., Stony Brook Univ., NY, USA","https://ieeexplore.ieee.org/author/37273608100","3","Zhe Fan","37273608100","Dept. of Comput. Sci., Stony Brook Univ., NY, USA","https://ieeexplore.ieee.org/author/37279025800","4","Xiaoming Wei","37279025800","Dept. of Comput. Sci., Stony Brook Univ., NY, USA","https://ieeexplore.ieee.org/author/38297258200","5","H. Lorenz","38297258200","Dept. of Comput. Sci., Stony Brook Univ., NY, USA","https://ieeexplore.ieee.org/author/37280545800","6","Jianning Wang","37280545800","Dept. of Comput. Sci., Stony Brook Univ., NY, USA","https://ieeexplore.ieee.org/author/38284745400","7","S. Yoakum-Stover","38284745400","Dept. of Comput. Sci., Stony Brook Univ., NY, USA","https://ieeexplore.ieee.org/author/37268052800","8","A. Kaufman","37268052800","Dept. of Comput. Sci., Stony Brook Univ., NY, USA","https://ieeexplore.ieee.org/author/37273119700","9","K. Mueller","37273119700","6","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.24","560","https://ieeexplore.ieee.org/document/1372242/","Lattice Boltzmann Model","GPU","","Visualization","","","","","","","","Visualization","Computational modeling","Wind","Predictive models","Meteorology","Lattice Boltzmann methods","Atmospheric modeling","Cities and towns","Urban areas","Biological system modeling","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372242","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","79","553","Dispersion simulation and visualization for urban security"
"We present a novel surface reconstruction algorithm that can recover high-quality surfaces from noisy and defective data sets without any normal or orientation information. A set of new techniques is introduced to afford extra noise tolerability, robust orientation alignment, reliable outlier removal, and satisfactory feature recovery. In our algorithm, sample points are first organized by an octree. The points are then clustered into a set of monolithically singly-oriented groups. The inside/outside orientation of each group is determined through a robust voting algorithm. We locally fit an implicit quadric surface in each octree cell. The locally fitted implicit surfaces are then blended to produce a signed distance field using the modified Shepard's method. We develop sophisticated iterative fitting algorithms to afford improved noise tolerance both in topology recognition and geometry accuracy. Furthermore, this iterative fitting algorithm, coupled with a local model selection scheme, provides a reliable sharp feature recovery mechanism even in the presence of bad input.","https://ieeexplore.ieee.org/document/1372205/","LOCKED","1372205","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37554814900","1","H. Xie","37554814900","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37882660300","2","K.T. McDonnell","37882660300","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37276553900","3","H. Qin","37276553900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.101","266","https://ieeexplore.ieee.org/document/1372205/","Computer Graphics","Surface Reconstruction","","Surface Representation","MPU implicits","Modified Shepard’s Method","","","","","","Surface reconstruction","Surface fitting","Image reconstruction","Iterative algorithms","Noise robustness","Reconstruction algorithms","Clustering algorithms","Topology","Computer graphics","Filling","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372205","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","80","259","Surface reconstruction of noisy and defective data sets"
"Resampling is a frequent task in visualization and medical imaging. It occurs whenever images or volumes are magnified, rotated, translated, or warped. Resampling is also an integral procedure in the registration of multimodal datasets, such as CT, PET, and MRI, in the correction of motion artifacts in MRI, and in the alignment of temporal volume sequences in fMRI. It is well known that the quality of the resampling result depends heavily on the quality of the interpolation filter used. However, high-quality filters are rarely employed in practice due to their large spatial extents. We explore a new resampling technique that operates in the frequency-domain where high-quality filtering is feasible. Further, unlike previous methods of this kind, our technique is not limited to integer-ratio scaling factors, but can resample image and volume datasets at any rate. This would usually require the application of slow discrete Fourier transforms (DFT) to return the data to the spatial domain. We studied two methods that successfully avoid these delays: the chirp-z transform and the FFTW package. We also outline techniques to avoid the ringing artifacts that may occur with frequency-domain filtering. Thus, our method can achieve high-quality interpolation at speeds that are usually associated with spatial filters of far lower quality.","https://ieeexplore.ieee.org/document/1372173/","LOCKED","1372173","Comput. Sci. Dept., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37274039300","1","A. Li","37274039300","Comput. Sci. Dept., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37273119700","2","K. Mueller","37273119700","","https://ieeexplore.ieee.org/author/37268272100","3","T. Ernst","37268272100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","4","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.70","10","https://ieeexplore.ieee.org/document/1372173/","resampling","filters","","Fourier Transform","","","","","","","","Frequency domain analysis","Magnetic resonance imaging","Interpolation","Filters","Filtering","Discrete Fourier transforms","Visualization","Biomedical imaging","Computed tomography","Positron emission tomography","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372173","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","81","3","Methods for efficient, high quality volume resampling in the frequency domain"
