Journal,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp
TVCG,2021,VIS30K: A Collection of Figures and Tables From IEEE Visualization Conference Publications,10.1109/tvcg.2021.3054916,http://dx.doi.org/10.1109/TVCG.2021.3054916,3826,3833,J,"We present the VIS30K dataset, a collection of 29,689 images that represents 30 years of figures and tables from each track of the IEEE Visualization conference series (Vis, SciVis, InfoVis, VAST). VIS30K's comprehensive coverage of the scientific literature in visualization not only reflects the progress of the field but also enables researchers to study the evolution of the state-of-the-art and to find relevant work based on graphical content. We describe the dataset and our semi-automatic collection process, which couples convolutional neural networks (CNN) with curation. Extracting figures and tables semi-automatically allows us to verify that no images are overlooked or extracted erroneously. To improve quality further, we engaged in a peer-search process for high-quality figures from early IEEE Visualization papers. With the resulting data, we also contribute VISImageNavigator (VIN, visimagenavigator.github.io), a web-based tool that facilitates searching and exploring VIS30K by author names, paper keywords, title and abstract, and years.",Jian Chen 0006;Meng Ling;Rui Li 0067;Petra Isenberg;Tobias Isenberg 0001;Michael Sedlmair;Torsten Möller;Robert S. Laramee;Han-Wei Shen;Katharina Wünsche;Qiru Wang,Jian Chen;Meng Ling;Rui Li;Petra Isenberg;Tobias Isenberg;Michael Sedlmair;Torsten Möller;Robert S. Laramee;Han-Wei Shen;Katharina Wünsche;Qiru Wang,"The Ohio State University, Columbus, OH, USA;The Ohio State University, Columbus, OH, USA;The Ohio State University, Columbus, OH, USA;CNRS, Inria, LISN, Université Paris-Saclay, Saint-Aubin, France;CNRS, Inria, LISN, Université Paris-Saclay, Saint-Aubin, France;University of Stuttgart, Stuttgart, Germany;University of Vienna, Wien, Austria;University of Nottingham, Nottingham, U.K;The Ohio State University, Columbus, OH, USA;University of Vienna, Wien, Austria;University of Nottingham, Nottingham, U.K",0.1109/tvcg.2006.122;10.1109/tvcg.2014.2346324;10.1109/visual.1995.480819;10.1109/tvcg.2007.70568;10.1109/tvcg.2016.2615308;10.1109/tvcg.2016.2598827;10.1109/tvcg.2013.126;10.1109/tvcg.2012.110;10.1109/tvcg.2013.234;10.1109/tvcg.2019.2934540;10.1109/tvcg.2018.2865142;10.1109/tvcg.2009.139;10.1109/tvcg.2011.279;10.1109/tvcg.2010.157,"Visualization,IEEE VIS,InfoVis,SciVis,VAST,dataset,bibliometrics,images,figures,tables",,25,44,1551,,X
TVCG,2020,A Systematic Review of Visualization in Building Information Modeling,10.1109/tvcg.2019.2907583,http://dx.doi.org/10.1109/TVCG.2019.2907583,3109,3127,J,"Building Information Modeling (BIM) employs data-rich 3D CAD models for large-scale facility design, construction, and operation. These complex datasets contain a large amount and variety of information, ranging from design specifications to real-time sensor data. They are used by architects and engineers for various analysis and simulations throughout a facility's life cycle. Many techniques from different visualization fields could be used to analyze these data. However, the BIM domain still remains largely unexplored by the visualization community. The goal of this article is to encourage visualization researchers to increase their involvement with BIM. To this end, we present the results of a systematic review of visualization in current BIM practice. We use a novel taxonomy to identify main application areas and analyze commonly employed techniques. From this domain characterization, we highlight future research opportunities brought forth by the unique features of BIM. For instance, exploring the synergies between scientific and information visualization to integrate spatial and non-spatial data. We hope this article raises awareness to interesting new challenges the BIM domain brings to the visualization community.",Paulo Ivson 0001;André Moreira;Francisco Queiroz;Wallas H. S. dos Santos;Waldemar Celes 0001,Paulo Ivson;André Moreira;Francisco Queiroz;Wallas Santos;Waldemar Celes,"Tecgraf Institute/PUC-Rio, Brazil;Tecgraf Institute/PUC-Rio, Brazil;Tecgraf Institute/PUC-Rio, Brazil;IBM, Armonk, USA;Tecgraf Institute/PUC-Rio, Brazil",0.1109/tvcg.2012.110;10.1109/tvcg.2006.147;10.1109/tvcg.2010.79;10.1109/tvcg.2006.193;10.1109/tvcg.2014.2346454;10.1109/tvcg.2016.2598468;10.1109/tvcg.2015.2467191;10.1109/tvcg.2014.2346574;10.1109/tvcg.2016.2598664;10.1109/tvcg.2009.144;10.1109/tvcg.2013.226;10.1109/tvcg.2012.213;10.1109/tvcg.2007.70539;10.1109/tvcg.2007.70515;10.1109/tvcg.2015.2468011;10.1109/tvcg.2008.149;10.1109/tvcg.2007.70535;10.1109/tvcg.2013.126;10.1109/tvcg.2017.2745105;10.1109/tvcg.2018.2865152;10.1109/tvcg.2016.2549018;10.1109/tvcg.2011.242;10.1109/tvcg.2010.162;10.1109/tvcg.2014.2346320;10.1109/tvcg.2009.152,"Visualization techniques and methodologies,information visualization,computer-aided design,building information modeling,survey",,27,202,1786,,
TVCG,2022,ConfusionFlow: A Model-Agnostic Visualization for Temporal Analysis of Classifier Confusion,10.1109/tvcg.2020.3012063,http://dx.doi.org/10.1109/TVCG.2020.3012063,1222,1236,J,"Classifiers are among the most widely used supervised machine learning algorithms. Many classification models exist, and choosing the right one for a given task is difficult. During model selection and debugging, data scientists need to assess classifiers' performances, evaluate their learning behavior over time, and compare different models. Typically, this analysis is based on single-number performance measures such as accuracy. A more detailed evaluation of classifiers is possible by inspecting class errors. The confusion matrix is an established way for visualizing these class errors, but it was not designed with temporal or comparative analysis in mind. More generally, established performance analysis systems do not allow a combined temporal and comparative analysis of class-level information. To address this issue, we propose ConfusionFlow, an interactive, comparative visualization tool that combines the benefits of class confusion matrices with the visualization of performance characteristics over time. ConfusionFlow is model-agnostic and can be used to compare performances for different model types, model architectures, and/or training and test datasets. We demonstrate the usefulness of ConfusionFlow in a case study on instance selection strategies in active learning. We further assess the scalability of ConfusionFlow and present a use case in the context of neural network pruning.",Andreas P. Hinterreiter;Peter Ruch;Holger Stitz;Martin Ennemoser;Jürgen Bernard;Hendrik Strobelt;Marc Streit,Andreas Hinterreiter;Peter Ruch;Holger Stitz;Martin Ennemoser;Jürgen Bernard;Hendrik Strobelt;Marc Streit,"Johannes Kepler University Linz, Linz, Austria;Imperial College London, London, United Kingdom;Johannes Kepler University Linz, Linz, Austria;Johannes Kepler University Linz, Linz, Austria;Salesbeat GmbH, Leonding, Austria;Datavisyn GmbH, Linz, Austria;Imperial College London, London, United Kingdom",0.1109/tvcg.2016.2598828;10.1109/tvcg.2018.2864504;10.1109/tvcg.2018.2864500;10.1109/tvcg.2014.2346660;10.1109/tvcg.2017.2744683;10.1109/tvcg.2017.2744718;10.1109/tvcg.2017.2744358;10.1109/vast.2011.6102453;10.1109/tvcg.2018.2843369;10.1109/tvcg.2017.2744878;10.1109/vast.2017.8585721;10.1109/tvcg.2018.2864499;10.1109/tvcg.2017.2744818;10.1109/tvcg.2011.185;10.1109/tvcg.2018.2865077,"Classification,performance analysis,time series visualization,machine learning,information visualization,quality assessment",,21,63,947,,
TVCG,2022,ChartSeer: Interactive Steering Exploratory Visual Analysis With Machine Intelligence,10.1109/tvcg.2020.3018724,http://dx.doi.org/10.1109/TVCG.2020.3018724,1500,1513,J,"During exploratory visual analysis (EVA), analysts need to continually determine which subsequent activities to perform, such as which data variables to explore or how to present data variables visually. Due to the vast combinations of data variables and visual encodings that are possible, it is often challenging to make such decisions. Further, while performing local explorations, analysts often fail to attend to the holistic picture that is emerging from their analysis, leading them to improperly steer their EVA. These issues become even more impactful in the real world analysis scenarios where EVA occurs in multiple asynchronous sessions that could be completed by one or more analysts. To address these challenges, this work proposes ChartSeer, a system that uses machine intelligence to enable analysts to visually monitor the current state of an EVA and effectively identify future activities to perform. ChartSeer utilizes deep learning techniques to characterize analyst-created data charts to generate visual summaries and recommend appropriate charts for further exploration based on user interactions. A case study was first conducted to demonstrate the usage of ChartSeer in practice, followed by a controlled study to compare ChartSeer’s performance with a baseline during EVA tasks. The results demonstrated that ChartSeer enables analysts to adequately understand current EVA status and advance their analysis by creating charts with increased coverage and visual encoding diversity.",Jian Zhao 0010;Mingming Fan 0001;Mi Feng,Jian Zhao;Mingming Fan;Mi Feng,"University of Waterloo, Waterloo, ON, Canada;Rochester Institute of Technology, Rochester, NY, USA;Twitter Inc, San Francisco, CA, USA",0.1109/tvcg.2013.188;10.1109/tvcg.2007.70577;10.1109/tvcg.2018.2865240;10.1109/tvcg.2009.162;10.1109/vast.2010.5652880;10.1109/tvcg.2018.2865117;10.1109/tvcg.2016.2598446;10.1109/tvcg.2015.2467851;10.1109/tvcg.2016.2599030;10.1109/tvcg.2016.2598543;10.1109/tvcg.2014.2346573;10.1109/tvcg.2009.122;10.1109/tvcg.2019.2934433;10.1109/tvcg.2014.2346321;10.1109/tvcg.2013.119;10.1109/tvcg.2016.2598466;10.1109/tvcg.2015.2467191;10.1109/tvcg.2017.2745279;10.1109/tvcg.2013.124;10.1109/tvcg.2007.70594,"Exploratory visual analysis,interactive steering,visualization recommendation,machine learning",,24,70,1457,,
TVCG,2020,The Effect of Color Scales on Climate Scientists’ Objective and Subjective Performance in Spatial Data Analysis Tasks,10.1109/tvcg.2018.2876539,http://dx.doi.org/10.1109/TVCG.2018.2876539,1577,1591,J,"Geographical maps encoded with rainbow color scales are widely used by climate scientists. Despite a plethora of evidence from the visualization and vision sciences literature about the shortcomings of the rainbow color scale, they continue to be preferred over perceptually optimal alternatives. To study and analyze this mismatch between theory and practice, we present a web-based user study that compares the effect of color scales on performance accuracy for climate-modeling tasks. In this study, we used pairs of continuous geographical maps generated using climatological metrics for quantifying pairwise magnitude difference and spatial similarity. For each pair of maps, 39 scientist-observers judged: i) the magnitude of their difference, ii) their degree of spatial similarity, and iii) the region of greatest dissimilarity between them. Besides the rainbow color scale, two other continuous color scales were chosen such that all three of them covaried two dimensions (luminance monotonicity and hue banding), hypothesized to have an impact on task performance. We also analyzed subjective performance measures, such as user confidence, perceived accuracy, preference, and familiarity in using the different color scales. We found that monotonic luminance scales produced significantly more accurate judgments of magnitude difference but were not superior in spatial comparison tasks, and that hue banding had differential effects based on the task and conditions. Scientists expressed the highest preference and perceived confidence and accuracy with the rainbow, despite its poor performance on the magnitude comparison tasks. We also report on interesting interactions among stimulus conditions, tasks, and color scales, that lead to open research questions.",Aritra Dasgupta;Jorge Poco;Bernice E. Rogowitz;Kyungsik Han;Enrico Bertini;Cláudio T. Silva,Aritra Dasgupta;Jorge Poco;Bernice Rogowitz;Kyungsik Han;Enrico Bertini;Cláudio T. Silva,"New Jersey Institute of Technology, Newark, USA;Fundação Getulio Vargas, Rio de Janeiro, Brazil;Visual Perspectives Research and Consulting, Ossining, USA;Ajou University, Suwon, South Korea;New York University, New York, USA;New York University, New York, USA",0.1109/tvcg.2016.2598544;10.1109/tvcg.2017.2743978;10.1109/tvcg.2011.192;10.1109/tvcg.2015.2413774;10.1109/visual.1995.480803;10.1109/visual.2002.1183788,"Visualization,color maps,rainbow color map,user study",,22,51,947,,
TVCG,2022,InfoColorizer: Interactive Recommendation of Color Palettes for Infographics,10.1109/tvcg.2021.3085327,http://dx.doi.org/10.1109/TVCG.2021.3085327,4252,4266,J,"When designing infographics, general users usually struggle with getting desired color palettes using existing infographic authoring tools, which sometimes sacrifice customizability, require design expertise, or neglect the influence of elements’ spatial arrangement. We propose a data-driven method that provides flexibility by considering users’ preferences, lowers the expertise barrier via automation, and tailors suggested palettes to the spatial layout of elements. We build a recommendation engine by utilizing deep learning techniques to characterize good color design practices from data, and further develop InfoColorizer, a tool that allows users to obtain color palettes for their infographics in an interactive and dynamic manner. To validate our method, we conducted a comprehensive four-part evaluation, including case studies, a controlled user study, a survey study, and an interview study. The results indicate that InfoColorizer can provide compelling palette recommendations with adequate flexibility, allowing users to effectively obtain high-quality color design for input infographics with low effort.",Linping Yuan;Ziqi Zhou;Jian Zhao 0010;Yiqiu Guo;Fan Du;Huamin Qu,Lin-Ping Yuan;Ziqi Zhou;Jian Zhao;Yiqiu Guo;Fan Du;Huamin Qu,"Hong Kong University of Science and Technology, Hong Kong;University of Waterloo, Waterloo, ON, Canada;University of Waterloo, Waterloo, ON, Canada;Xi'an Jiaotong University, Xi'an, China;Adobe Research, San Jose, CA, USA;Hong Kong University of Science and Technology, Hong Kong",0.1109/tvcg.2012.315;10.1109/tvcg.2020.3030406;10.1109/tvcg.2018.2864912;10.1109/tvcg.2019.2934398;10.1109/tvcg.2016.2598620;10.1109/tvcg.2015.2467191;10.1109/tvcg.2015.2467471;10.1109/tvcg.2020.3030396;10.1109/tvcg.2014.2346277;10.1109/tvcg.2020.3030467;10.1109/tvcg.2017.2744359;10.1109/tvcg.2019.2934284;10.1109/tvcg.2011.185;10.1109/tvcg.2019.2934785;10.1109/tvcg.2016.2598918;10.1109/tvcg.2013.234;10.1109/tvcg.2017.2744198;10.1109/tvcg.2018.2865240,"Color palettes design,infographics,visualization recommendation,machine learning",,26,71,1326,,
TVCG,2021,Interweaving Multimodal Interaction With Flexible Unit Visualizations for Data Exploration,10.1109/tvcg.2020.2978050,http://dx.doi.org/10.1109/TVCG.2020.2978050,3519,3533,J,"Multimodal interfaces that combine direct manipulation and natural language have shown great promise for data visualization. Such multimodal interfaces allow people to stay in the flow of their visual exploration by leveraging the strengths of one modality to complement the weaknesses of others. In this article, we introduce an approach that interweaves multimodal interaction combining direct manipulation and natural language with flexible unit visualizations. We employ the proposed approach in a proof-of-concept system, DataBreeze. Coupling pen, touch, and speech-based multimodal interaction with flexible unit visualizations, DataBreeze allows people to create and interact with both systematically bound (e.g., scatterplots, unit column charts) and manually customized views, enabling a novel visual data exploration experience. We describe our design process along with DataBreeze's interface and interactions, delineating specific aspects of the design that empower the synergistic use of multiple modalities. We also present a preliminary user study with DataBreeze, highlighting the data exploration patterns that participants employed. Finally, reflecting on our design process and preliminary user study, we discuss future research directions.",Arjun Srinivasan;Bongshin Lee;John T. Stasko,Arjun Srinivasan;Bongshin Lee;John Stasko,"Georgia Institute of Technology, Atlanta, GA, USA;Microsoft Research, Redmond, WA, USA;Georgia Institute of Technology, Atlanta, GA, USA",0.1109/tvcg.2012.275;10.1109/tvcg.2014.2346293;10.1109/tvcg.2013.191;10.1109/tvcg.2011.185;10.1109/tvcg.2012.204;10.1109/tvcg.2013.205;10.1109/tvcg.2018.2865151;10.1109/tvcg.2016.2598839;10.1109/tvcg.2017.2785807;10.1109/mcg.2014.82;10.1109/tvcg.2017.2745219;10.1109/tvcg.2011.201;10.1109/tvcg.2018.2865159;10.1109/tvcg.2017.2744684,"Multimodal interaction,natural language interfaces,speech interaction,pen and touch interaction,unit visualizations",,20,81,893,,
TVCG,2020,Feature Level-Sets: Generalizing Iso-Surfaces to Multi-Variate Data,10.1109/tvcg.2018.2867488,http://dx.doi.org/10.1109/TVCG.2018.2867488,1308,1319,J,"Iso-surfaces or level-sets provide an effective and frequently used means for feature visualization. However, they are restricted to simple features for uni-variate data. The approach does not scale when moving to multi-variate data or when considering more complex feature definitions. In this paper, we introduce the concept of traits and feature level-sets, which can be understood as a generalization of level-sets as it includes iso-surfaces, and fiber surfaces as special cases. The concept is applicable to a large class of traits defined as subsets in attribute space, which can be arbitrary combinations of points, lines, surfaces and volumes. It is implemented into a system that provides an interface to define traits in an interactive way and multiple rendering options. We demonstrate the effectiveness of the approach using multi-variate data sets of different nature, including vector and tensor data, from different application domains.",Jochen Jankowai;Ingrid Hotz,Jochen Jankowai;Ingrid Hotz,"Department of Science and Technology, Linköping Institute of Technology, Norrköping, Sweden;Department of Science and Technology, Linköping Institute of Technology, Norrköping, Sweden",0.1109/tvcg.2016.2570215;10.1109/tvcg.2016.2599040;10.1109/tvcg.2008.131;10.1109/tvcg.2008.162,"Multivariate visualization,visualization techniques and methodologies,approximation of surfaces and contours",,16,33,702,,
TVCG,2021,CrimAnalyzer: Understanding Crime Patterns in São Paulo,10.1109/tvcg.2019.2947515,http://dx.doi.org/10.1109/TVCG.2019.2947515,2313,2328,J,"Sao Paulo is the largest city in South America, with crime rates that reflect its size. The number and type of crimes vary considerably around the city, assuming different patterns depending on urban and social characteristics of each particular location. Previous works have mostly focused on the analysis of crimes with the intent of uncovering patterns associated to social factors, seasonality, and urban routine activities. Therefore, those studies and tools are more global in the sense that they are not designed to investigate specific regions of the city such as particular neighborhoods, avenues, or public areas. Tools able to explore specific locations of the city are essential for domain experts to accomplish their analysis in a bottom-up fashion, revealing how urban features related to mobility, passersby behavior, and presence of public infrastructures (e.g., terminals of public transportation and schools) can influence the quantity and type of crimes. In this paper, we present CrimAnalyzer, a visual analytic tool that allows users to study the behavior of crimes in specific regions of a city. The system allows users to identify local hotspots and the pattern of crimes associated to them, while still showing how hotspots and corresponding crime patterns change overtime. CrimAnalyzer has been developed from the needs of a team of experts in criminology and deals with three major challenges: i) flexibility to explore local regions and understand their crime patterns, ii) identification of spatial crime hotspots that might not be the most prevalent ones in terms of the number of crimes but that are important enough to be investigated, and iii) understand the dynamic of crime patterns overtime. The effectiveness and usefulness of the proposed system are demonstrated by qualitative and quantitative comparisons as well as by case studies run by domain experts involving real data. The experiments show the capability of CrimAnalyzer in identifying crime-related phenomena.",Germain Garcia Zanabria;Jaqueline Silveira;Jorge Poco;Afonso Paiva 0001;Marcelo Batista Nery;Cláudio T. Silva;Sergio Adorno;Luis Gustavo Nonato,Germain Garcıa;Jaqueline Silveira;Jorge Poco;Afonso Paiva;Marcelo Batista Nery;Claudio T. Silva;Sérgio Adorno;Luis Gustavo Nonato,"Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo, São Carlos, Brazil;Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo, São Carlos, Brazil;Fundação Getúlio Vargas, Brazil;Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo, São Carlos, Brazil;RIDC -FAPESP and Institute of Advanced Studies – Global Cities Program, Brazil;New York University, New York, NY, USA;Núcleo de Estudos da Violência da USP, São Paulo, Brazil;Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo, São Carlos, Brazil",0.1109/tvcg.2009.111;10.1109/tvcg.2019.2904063;10.1109/vast.2015.7347624,"Crime data,spatio-temporal data,visual analytics,non-negative matrix factorization",,18,56,1342,,
TVCG,2021,ArchiText: Interactive Hierarchical Topic Modeling,10.1109/tvcg.2020.2981456,http://dx.doi.org/10.1109/TVCG.2020.2981456,3644,3655,J,"Human-in-the-loop topic modeling allows users to explore and steer the process to produce better quality topics that align with their needs. When integrated into visual analytic systems, many existing automated topic modeling algorithms are given interactive parameters to allow users to tune or adjust them. However, this has limitations when the algorithms cannot be easily adapted to changes, and it is difficult to realize interactivity closely supported by underlying algorithms. Instead, we emphasize the concept of tight integration, which advocates for the need to co-develop interactive algorithms and interactive visual analytic systems in parallel to allow flexibility and scalability. In this article, we describe design goals for efficiently and effectively executing the concept of tight integration among computation, visualization, and interaction for hierarchical topic modeling of text data. We propose computational base operations for interactive tasks to achieve the design goals. To instantiate our concept, we present ArchiText, a prototype system for interactive hierarchical topic modeling, which offers fast, flexible, and algorithmically valid analysis via tight integration. Utilizing interactive hierarchical topic modeling, our technique lets users generate, explore, and flexibly steer hierarchical topics to discover more informed topics and their document memberships.",Hannah Kim 0001;Barry L. Drake;Alex Endert;Haesun Park,Hannah Kim;Barry Drake;Alex Endert;Haesun Park,"Georgia Institute of Technology, Atlanta, GA, USA;Georgia Tech Research Institute, Atlanta, GA, USA;Georgia Institute of Technology, Atlanta, GA, USA;Georgia Institute of Technology, Atlanta, GA, USA",0.1109/tvcg.2014.2346578;10.1109/tvcg.2016.2598446;10.1109/visual.1998.745302;10.1109/tvcg.2015.2509990;10.1109/tvcg.2016.2598445;10.1109/tvcg.2015.2467615;10.1109/tvcg.2014.2346433;10.1109/tvcg.2013.162;10.1109/tvcg.2017.2745080;10.1109/tvcg.2018.2864769;10.1109/vast.2011.6102449;10.1109/vast.2012.6400486;10.1109/tvcg.2014.2346431;10.1109/tvcg.2013.212;10.1109/tvcg.2010.154;10.1109/infvis.2000.885091;10.1109/tvcg.2017.2745078;10.1109/tvcg.2008.138,"Text analytics,topic modeling,nonnegative matrix factorization,hierarchical topics,visual analytics",,17,50,1111,,
TVCG,2021,Can Visualization Alleviate Dichotomous Thinking? Effects of Visual Representations on the Cliff Effect,10.1109/tvcg.2021.3073466,http://dx.doi.org/10.1109/TVCG.2021.3073466,3397,3409,J,"Common reporting styles for statistical results in scientific articles, such as p-values and confidence intervals (CI), have been reported to be prone to dichotomous interpretations, especially with respect to the null hypothesis significance testing framework. For example when the p-value is small enough or the CIs of the mean effects of a studied drug and a placebo are not overlapping, scientists tend to claim significant differences while often disregarding the magnitudes and absolute differences in the effect sizes. This type of reasoning has been shown to be potentially harmful to science. Techniques relying on the visual estimation of the strength of evidence have been recommended to reduce such dichotomous interpretations but their effectiveness has also been challenged. We ran two experiments on researchers with expertise in statistical analysis to compare several alternative representations of confidence intervals and used Bayesian multilevel models to estimate the effects of the representation styles on differences in researchers' subjective confidence in the results. We also asked the respondents' opinions and preferences in representation styles. Our results suggest that adding visual information to classic CI representation can decrease the tendency towards dichotomous interpretations - measured as the `cliff effect': the sudden drop in confidence around p-value 0.05 - compared with classic CI visualization and textual representation of the CI with p-values. All data and analyses are publicly available at https://github.com/helske/statvis.",Jouni Helske;Satu Helske;Matthew Cooper 0001;Anders Ynnerman;Lonni Besançon,Jouni Helske;Satu Helske;Matthew Cooper;Anders Ynnerman;Lonni Besançon,"Department of Mathematics and Statistics, University of Jyväskylä, Jyväskylä, Finland;Department of Social Research, University of Turku, Turku, Finland;Department of Science and Technology, Linköping University, Norrköping, Sweden;Department of Science and Technology, Linköping University, Norrköping, Sweden;Department of Science and Technology, Linköping University, Norrköping, Sweden",0.1109/tvcg.2018.2864913;10.1109/tvcg.2018.2864889;10.1109/tvcg.2018.2864909;10.1109/tvcg.2014.2346298,"Statistical inference,visualization,cliff effect,confidence intervals,hypothesis testing,Bayesian inference",,24,78,2099,,X
TVCG,2020,Feature Tracking by Two-Step Optimization,10.1109/tvcg.2018.2883630,http://dx.doi.org/10.1109/TVCG.2018.2883630,2219,2233,J,"Tracking the temporal evolution of features in time-varying data is a key method in visualization. For typical feature definitions, such as vortices, objects are sparsely distributed over the data domain. In this paper, we present a novel approach for tracking both sparse and space-filling features. While the former comprise only a small fraction of the domain, the latter form a set of objects whose union covers the domain entirely while the individual objects are mutually disjunct. Our approach determines the assignment of features between two successive time-steps by solving two graph optimization problems. It first resolves one-to-one assignments of features by computing a maximum-weight, maximum-cardinality matching on a weighted bi-partite graph. Second, our algorithm detects events by creating a graph of potentially conflicting event explanations and finding a weighted, independent set in it. We demonstrate our method's effectiveness on synthetic and simulation data sets, the former of which enables quantitative evaluation because of the availability of ground-truth information. Here, our method performs on par or better than a well-established reference algorithm. In addition, manual visual inspection by our collaborators confirm the results' plausibility for simulation data.",Andrea Schnorr;Dirk N. Helmrich;Dominik Denker;Torsten W. Kuhlen;Bernd Hentschel 0001,Andrea Schnorr;Dirk N. Helmrich;Dominik Denker;Torsten W. Kuhlen;Bernd Hentschel,"JARA – High-Performance Computing and the Visual Computing Institute, RWTH Aachen University, Aachen, Germany;JARA – High-Performance Computing and the Visual Computing Institute, RWTH Aachen University, Aachen, Germany;Institute for Combustion Technology, RWTH Aachen University, Aachen, Germany;JARA – High-Performance Computing and the Visual Computing Institute, RWTH Aachen University, Aachen, Germany;JARA – High-Performance Computing and the Visual Computing Institute, RWTH Aachen University, Aachen, Germany",0.1109/tvcg.2006.186;10.1109/tvcg.2013.131;10.1109/tvcg.2013.117;10.1109/tvcg.2008.110;10.1109/visual.1998.745288;10.1109/visual.2004.107;10.1109/tvcg.2010.93;10.1109/visual.1996.567807;10.1109/tvcg.2014.2346423,"Global optimization,simulation output analysis,flow visualization",,15,40,690,,
TVCG,2020,Visual Genealogy of Deep Neural Networks,10.1109/tvcg.2019.2921323,http://dx.doi.org/10.1109/TVCG.2019.2921323,3340,3352,J,"A comprehensive and comprehensible summary of existing deep neural networks (DNNs) helps practitioners understand the behaviour and evolution of DNNs, offers insights for architecture optimization, and sheds light on the working mechanisms of DNNs. However, this summary is hard to obtain because of the complexity and diversity of DNN architectures. To address this issue, we develop DNN Genealogy, an interactive visualization tool, to offer a visual summary of representative DNNs and their evolutionary relationships. DNN Genealogy enables users to learn DNNs from multiple aspects, including architecture, performance, and evolutionary relationships. Central to this tool is a systematic analysis and visualization of 66 representative DNNs based on our analysis of 140 papers. A directed acyclic graph is used to illustrate the evolutionary relationships among these DNNs and highlight the representative DNNs. A focus + context visualization is developed to orient users during their exploration. A set of network glyphs is used in the graph to facilitate the understanding and comparing of DNNs in the context of the evolution. Case studies demonstrate that DNN Genealogy provides helpful guidance in understanding, applying, and optimizing DNNs. DNN Genealogy is extensible and will continue to be updated to reflect future advances in DNNs.",Qianwen Wang;Jun Yuan 0003;Shuxin Chen;Hang Su 0006;Huamin Qu;Shixia Liu,Qianwen Wang;Jun Yuan;Shuxin Chen;Hang Su;Huamin Qu;Shixia Liu,"Hong Kong University of Science and Technology, Kowloon, Hong Kong;Tsinghua University, Beijing, China;Tsinghua University, Beijing, China;Tsinghua University, Beijing, China;Hong Kong University of Science and Technology, Kowloon, Hong Kong;Tsinghua University, Beijing, China",0.1109/tvcg.2017.2744938;10.1109/tvcg.2009.108;10.1109/tvcg.2017.2744878;10.1109/tvcg.2017.2744718;10.1109/tvcg.2017.2744158;10.1109/tvcg.2016.2598495;10.1109/tvcg.2016.2598831;10.1109/tvcg.2017.2744683;10.1109/tvcg.2011.187;10.1109/tvcg.2016.2598838;10.1109/tvcg.2017.2744358;10.1109/vast.2017.8585721;10.1109/tvcg.2018.2834341,"Interactive visual summary,information visualization,educational tool,deep neural networks",,15,69,1113,,
TVCG,2022,The Unmet Data Visualization Needs of Decision Makers Within Organizations,10.1109/tvcg.2021.3074023,http://dx.doi.org/10.1109/TVCG.2021.3074023,4101,4112,J,"When an organization chooses one course of action over alternatives, this task typically falls on a decision maker with relevant knowledge, experience, and understanding of context. Decision makers rely on data analysis, which is either delegated to analysts, or done on their own. Often the decision maker combines data, likely uncertain or incomplete, with non-formalized knowledge within a multi-objective problem space, weighing the recommendations of analysts within broader contexts and goals. As most past research in visual analytics has focused on understanding the needs and challenges of data analysts, less is known about the tasks and challenges of organizational decision makers, and how visualization support tools might help. Here we characterize the decision maker as a domain expert, review relevant literature in management theories, and report the results of an empirical survey and interviews with people who make organizational decisions. We identify challenges and opportunities for novel visualization tools, including trade-off overviews, scenario-based analysis, interrogation tools, flexible data input and collaboration support. Our findings stress the need to expand visualization design beyond data analysis into tools for information management.",Evanthia Dimara;Harry Zhang;Melanie Tory;Steven Franconeri,Evanthia Dimara;Harry Zhang;Melanie Tory;Steven Franconeri,"Utrecht University, Utrecht, CS, Netherlands;Northwestern University, Evanston, IL, USA;Tableau Software, Palo Alto, CA, USA;Northwestern University, Evanston, IL, USA",0.1109/tvcg.2013.89;10.1109/tvcg.2019.2934283;10.1109/tvcg.2018.2864903;10.1109/tvcg.2016.2598608;10.1109/tvcg.2017.2743990;10.1109/tvcg.2018.2865040;10.1109/tvcg.2018.2859973;10.1109/mcg.2019.2933419;10.1109/tvcg.2012.219;10.1109/tvcg.2010.177;10.1109/tvcg.2018.2864889;10.1109/tvcg.2019.2934286;10.1109/tvcg.2018.2872577;10.1109/tvcg.2013.173;10.1109/tvcg.2016.2598589;10.1109/vast.2011.6102457;10.1109/vast.2015.7347636;10.1109/mcg.2014.62;10.1109/tvcg.2017.2745138,"Decision making,visualization,interview,survey,organizations,management,business intelligence",,18,77,1551,,
