"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorAffiliations_authorAffiliation_0","articles_authors_authors_5_authorAffiliations_authorAffiliation_1","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorAffiliations_authorAffiliation_0","articles_authors_authors_6_authorAffiliations_authorAffiliation_1","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorAffiliations_authorAffiliation_0","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorAffiliations_authorAffiliation_0","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorAffiliations_authorAffiliation_0","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_11","articles_index_terms_author_terms_terms_12","articles_index_terms_author_terms_terms_13","articles_index_terms_author_terms_terms_14","articles_index_terms_author_terms_terms_15","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_insert_date","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"The SPADAC team used various visual analytics tools and methods to find geo-temporal patterns of migration from a Caribbean island from 2005-2007. In this paper, we describe the tools and methods used in the analysis. These methods included generating temporal variograms, dendrograms, and proportionally weighted migration maps, using tools such as the R statistical software package and Signature Analysttrade. We found that there is a significant positive space-time correlation with the boat encounters (especially the landings), with a migratory shift further away from the point of departure over time.","https://ieeexplore.ieee.org/document/4677394/","LOCKED","4677394","SPADAC, Inc.","SPADAC, Inc.","https://ieeexplore.ieee.org/author/37089050695","1","Benjamin Holland","37089050695","SPADAC, Inc.","SPADAC, Inc.","https://ieeexplore.ieee.org/author/37872413600","2","Lisa Kuchy","37872413600","SPADAC, Inc.","SPADAC, Inc.","https://ieeexplore.ieee.org/author/37268082200","3","Jason Dalton","37268082200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677394","94","218","https://ieeexplore.ieee.org/document/4677394/","visual analytics","geo-temporal analysis","","","","","","","G.1.1 [Numerical Analysis]: Interpolation—Interpolation-Formulas","G.1.2 [Numerical Analysis]: ApproximationNonlinear Approximation","H.3.3 [Information Storage and Retrieval]: Information Search and Retrieval—Clustering","I.2.1 [Artificial Intelligence]: Applications and Expert Systems—Cartography","","","","","Pattern analysis","Visual analytics","Predictive models","Software packages","Numerical analysis","Information retrieval","Artificial intelligence","","","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677394","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","23","217","Migrant boat mini challenge award: Analysis summary a geo-temporal analysis of the migrant boat dataset"
"Seismic simulations use finite element methods to describe ground motion. The results of such numerical simulations are often difficult to interpret for decision makers. We describe a terrain rendering engine that uses photorealistic metaphors to represent typical terrain properties without representing an actual terrain. In the context of ground motion, a simulation of the effects of various types of earthquakes on buildings has been conducted. Usually, such structural response simulations are carried out independently and are being visualized separate from the ground motion simulation. We combine the results from both simulations in an interactive, hybrid visualization so that decision makers (first responders and emergency management agencies) are provided with a photo-realistic, simulated view of various earthquake scenarios, enabling them to study the effect of various earthquakes on buildings typical for a rural or urban area. We present a method for visually analyzing large-scale simulation data from different sources (ground motion simulation and structural response simulation) using photorealistic metaphors. We have implemented an intuitive, interactive system for visual analysis and inspection of possible effects of various types of earthquakes on an inventory of buildings typical for a particular area. The underlying rendering system can be easily adapted for other simulations, such as smoke plumes or biohazards.","https://ieeexplore.ieee.org/document/4677381/","LOCKED","4677381","Technical University of Kaiserslautern, Germany","Technical University of Kaiserslautern, Germany","https://ieeexplore.ieee.org/author/37645639800","1","Florian Juergen Gerhardt","37645639800","Electrical Engineering and Computer Science Department, University of California, Irvine, USA","Electrical Engineering and Computer Science Department, University of California, Irvine, USA","https://ieeexplore.ieee.org/author/37089084482","2","Joerg Meyer","37089084482","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677381","132","192","https://ieeexplore.ieee.org/document/4677381/","I.3.3 [Computing Methodologies]: Computer Graphics—Picture/Image Generation","I.3.7 [Computing Methodologies]: Computer Graphics—Three-Dimensional Graphics and Realism","","","","","","","","","","","","","","","Analytical models","Earthquakes","Buildings","Finite element methods","Numerical simulation","Engines","Context modeling","Data visualization","Disaster management","Urban areas","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677381","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","24","191","Visual analysis of seismic simulation data"
"We present a process for the exploration and analysis of large databases of events. A typical database is characterized by the sequential actions of a number of individual entities. These entities can be compared by their similarities in sequence and changes in sequence over time. The correlation of two sequences can provide important clues as to the possibility of a connection between the responsible entities, but an analyst might not be able to specify the type of connection sought prior to examination. Our process incorporates extensive automated calculation and data mining but permits diversity of analysis by providing visualization of results at multiple levels, taking advantage of human intuition and visual processing to generate avenues of inquiry.","https://ieeexplore.ieee.org/document/4677379/","LOCKED","4677379","Visualization Center, University of North Carolina, Charlotte, USA","Visualization Center, University of North Carolina, Charlotte, USA","https://ieeexplore.ieee.org/author/38557639600","1","Alex Godwin","38557639600","Visualization Center, University of North Carolina, Charlotte, USA","Visualization Center, University of North Carolina, Charlotte, USA","https://ieeexplore.ieee.org/author/37592409400","2","Remco Chang","37592409400","Visualization Center, University of North Carolina, Charlotte, USA","Visualization Center, University of North Carolina, Charlotte, USA","https://ieeexplore.ieee.org/author/37282563400","3","Robert Kosara","37282563400","Visualization Center, University of North Carolina, Charlotte, USA","Visualization Center, University of North Carolina, Charlotte, USA","https://ieeexplore.ieee.org/author/37300425000","4","William Ribarsky","37300425000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677379","184","188","https://ieeexplore.ieee.org/document/4677379/","","","","","","","","","","","","","","","","","Data mining","Visual databases","Motion pictures","Electronic mail","Data visualization","Humans","Data analysis","Feedback","Displays","Sorting","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677379","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","25","187","Interactive poster: Visual data mining of unevenly-spaced event sequences"
"Data about movements of various objects are collected in growing amounts by means of current tracking technologies. Traditional approaches to visualization and interactive exploration of movement data cannot cope with data of such sizes. In this research paper we investigate the ways of using aggregation for visual analysis of movement data. We define aggregation methods suitable for movement data and find visualization and interaction techniques to represent results of aggregations and enable comprehensive exploration of the data. We consider two possible views of movement, traffic-oriented and trajectory-oriented. Each view requires different methods of analysis and of data aggregation. We illustrate our argument with example data resulting from tracking multiple cars in Milan and example analysis tasks from the domain of city traffic management.","https://ieeexplore.ieee.org/document/4677356/","LOCKED","4677356","Fraunhofer Institute of Intelligent Analysis and Information Systems (IAIS), Sankt-Augustin, Germany","Fraunhofer Institute of Intelligent Analysis and Information Systems (IAIS), Sankt-Augustin, Germany","https://ieeexplore.ieee.org/author/37283047100","1","Gennady Andrienko","37283047100","Fraunhofer Institute of Intelligent Analysis and Information Systems (IAIS), Sankt-Augustin, Germany","Fraunhofer Institute of Intelligent Analysis and Information Systems (IAIS), Sankt-Augustin, Germany","https://ieeexplore.ieee.org/author/37283047700","2","Natalia Andrienko","37283047700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148","3","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677356","1995","58","https://ieeexplore.ieee.org/document/4677356/","Movement data","spatio-temporal data","","","","","","","aggregation","scalable visualization","geovisualization","","","","","","Data visualization","Data analysis","Information analysis","Cities and towns","Humans","Filtering","Information systems","Tracking","Chromium","Information processing","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677356","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","26","51","Spatio-temporal aggregation for visual analysis of movements"
"As the information being visualized and the process of understanding that information both become increasingly complex, it is necessary to develop new visualization approaches that facilitate the flow of human reasoning. In this paper, we endeavor to push visualization design a step beyond current user models by discussing a modeling framework of human ldquohigher cognition.rdquo Based on this cognition model, we present design guidelines for the development of visual interfaces designed to maximize the complementary cognitive strengths of both human and computer. Some of these principles are already being reflected in the better visual analytics designs, while others have not yet been applied or fully applied. But none of the guidelines have explained the deeper rationale that the model provides. Lastly, we discuss and assess these visual analytics guidelines through the evaluation of several visualization examples.","https://ieeexplore.ieee.org/document/4677361/","LOCKED","4677361","Cahrlotten Visualization Center, North Carolina State University, Charlotte, USA","Cahrlotten Visualization Center, North Carolina State University, Charlotte, USA","https://ieeexplore.ieee.org/author/37403562900","1","Tera Marie Green","37403562900","Cahrlotten Visualization Center, North Carolina State University, Charlotte, USA","Cahrlotten Visualization Center, North Carolina State University, Charlotte, USA","https://ieeexplore.ieee.org/author/37300425000","2","William Ribarsky","37300425000","School of Interactive Arts and Technology, Simon Fraser University, Canada","School of Interactive Arts and Technology, Simon Fraser University, Canada","https://ieeexplore.ieee.org/author/37267458000","3","Brian Fisher","37267458000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677361","1233","98","https://ieeexplore.ieee.org/document/4677361/","visual analytics","cognition and perception theory","","","","","","","embodied cognition","visualization taxonomies and models","visual analytics","cognition and perception theory","embodied cognition","visualization taxonomies and models","","","Visual analytics","Humans","Cognition","Visualization","Guidelines","Taxonomy","Collaboration","Art","Computer interfaces","Problem-solving","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677361","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","27","91","Visual analytics for complex concepts using a human cognition model"
"Visual analytic tools allow analysts to generate large collections of useful analytical results. We anticipate that analysts in most real world situations will draw from these collections when working together to solve complicated problems. This indicates a need to understand how users synthesize multiple collections of results. This paper reports the results of collaborative synthesis experiments conducted with expert geographers and disease biologists. Ten participants were worked in pairs to complete a simulated real-world synthesis task using artifacts printed on cards on a large, paper-covered workspace. Experiment results indicate that groups use a number of different approaches to collaborative synthesis, and that they employ a variety of organizational metaphors to structure their information. It is further evident that establishing common ground and role assignment are critical aspects of collaborative synthesis. We conclude with a set of general design guidelines for collaborative synthesis support tools.","https://ieeexplore.ieee.org/document/4677358/","LOCKED","4677358","GeoVISTA Center, Department of Geography, Pennsylvania State University, USA","GeoVISTA Center, Department of Geography, Pennsylvania State University, USA","https://ieeexplore.ieee.org/author/37829187900","1","Anthony C. Robinson","37829187900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","1","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677358","518","74","https://ieeexplore.ieee.org/document/4677358/","Synthesis","collaboration","","","","","","","visual analytics","user-centered design","H.5.3 [Information Interfaces and Presentation]: Group and Organization Interfaces","","","","","","Collaboration","Visual analytics","Collaborative work","Diseases","Geography","Visualization","Collaborative tools","Recruitment","Laboratories","Biological system modeling","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677358","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","28","67","Collaborative synthesis of visual analytic results"
"Insight provenance - a historical record of the process and rationale by which an insight is derived - is an essential requirement in many visual analytics applications. While work in this area has relied on either manually recorded provenance (e.g., user notes) or automatically recorded event-based insight provenance (e.g., clicks, drags, and key-presses), both approaches have fundamental limitations. Our aim is to develop a new approach that combines the benefits of both approaches while avoiding their deficiencies. Toward this goal, we characterize userspsila visual analytic activity at multiple levels of granularity. Moreover, we identify a critical level of abstraction, Actions, that can be used to represent visual analytic activity with a set of general but semantically meaningful behavior types. In turn, the action types can be used as the semantic building blocks for insight provenance. We present a catalog of common actions identified through observations of several different visual analytic systems. In addition, we define a taxonomy to categorize actions into three major classes based on their semantic intent. The concept of actions has been integrated into our labpsilas prototype visual analytic system, HARVEST, as the basis for its insight provenance capabilities.","https://ieeexplore.ieee.org/document/4677365/","LOCKED","4677365","IBM Thomas J. Watson Research Center, USA","IBM Thomas J. Watson Research Center, USA","https://ieeexplore.ieee.org/author/37601397400","1","David Gotz","37601397400","IBM Thomas J. Watson Research Center, USA","IBM Thomas J. Watson Research Center, USA","https://ieeexplore.ieee.org/author/37399569300","2","Michelle X. Zhou","37399569300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","1","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677365","538","130","https://ieeexplore.ieee.org/document/4677365/","Taxonomy","Information Visualization","","","","","","","Analytic Activity","Visual Analytics","Insight Provenance","H.5.0 [Information Systems]: Information Interfaces and Presentation—General","","","","","Visual analytics","Taxonomy","Information analysis","Data visualization","Investments","Mice","Prototypes","Information systems","Humans","Visual perception","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677365","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","29","123","Characterizing users’ visual analytic activity for insight provenance"
"Visual-interactive cluster analysis provides valuable tools for effectively analyzing large and complex data sets. Due to desirable properties and an inherent predisposition for visualization, the Kohonen Feature Map (or Self-Organizing Map, or SOM) algorithm is among the most popular and widely used visual clustering techniques. However, the unsupervised nature of the algorithm may be disadvantageous in certain applications. Depending on initialization and data characteristics, cluster maps (cluster layouts) may emerge that do not comply with user preferences, expectations, or the application context. Considering SOM-based analysis of trajectory data, we propose a comprehensive visual-interactive monitoring and control framework extending the basic SOM algorithm. The framework implements the general Visual Analytics idea to effectively combine automatic data analysis with human expert supervision. It provides simple, yet effective facilities for visually monitoring and interactively controlling the trajectory clustering process at arbitrary levels of detail. The approach allows the user to leverage existing domain knowledge and user preferences, arriving at improved cluster maps. We apply the framework on a trajectory clustering problem, demonstrating its potential in combining both unsupervised (machine) and supervised (human expert) processing, in producing appropriate cluster results.","https://ieeexplore.ieee.org/document/4677350/","LOCKED","4677350","Interactive Graphics Systems Group, Technical University of Darmstadt, Germany","Interactive Graphics Systems Group, Technical University of Darmstadt, Germany","https://ieeexplore.ieee.org/author/37282557600","1","Tobias Schreck","37282557600","Interactive Graphics Systems Group, Technical University of Darmstadt, Germany","Interactive Graphics Systems Group, Technical University of Darmstadt, Germany","https://ieeexplore.ieee.org/author/37606179600","2","Jurgen Bernard","37606179600","Interactive Graphics Systems Group, Technical University of Darmstadt, Germany","Interactive Graphics Systems Group, Technical University of Darmstadt, Germany","https://ieeexplore.ieee.org/author/37087724135","3","Tatiana Tekusova","37087724135","Fraunhofer Institute for Computer Graphics IGD, Darmstadt, Germany","Fraunhofer Institute for Computer Graphics IGD, Darmstadt, Germany","https://ieeexplore.ieee.org/author/37449689200","4","Jorn Kohlhammer","37449689200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677350","617","10","https://ieeexplore.ieee.org/document/4677350/","H.4 [Information Systems]: Information Systems Applications","I.3.6 [Computing Methodologies]: Computer Graphics—Methodology and Techniques","","","","","","","","","","","","","","","Data analysis","Trajectory","Self organizing feature maps","Clustering algorithms","Monitoring","Automatic control","Humans","Data visualization","Algorithm design and analysis","Visual analytics","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677350","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","30","3","Visual cluster analysis of trajectory data with interactive Kohonen Maps"
"Software tools that make it easier for analysts to collaborate as a natural part of their work will lead to better analysis that is informed by more perspectives. We are interested to know if software tools can be designed that support collaboration even as they allow analysts to find documents and organize information (including evidence, schemas, and hypotheses). We have modified the Entity Workspace system, described previously, to test such designs. We have evaluated the resulting design in both a laboratory study and a study where it is situated with an analysis team. In both cases, effects on collaboration appear to be positive. Key aspects of the design include an evidence notebook optimized for organizing entities (rather than text characters), information structures that can be collapsed and expanded, visualization of evidence that emphasizes events and documents (rather than emphasizing the entity graph), and a notification system that finds entities of mutual interest to multiple analysts.","https://ieeexplore.ieee.org/document/4677362/","LOCKED","4677362","Palo Alto Research Center, Inc.orporated, Palo Alto, CA, USA","Palo Alto Research Center, Inc.orporated, Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37282252000","1","Eric A. Bier","37282252000","Palo Alto Research Center, Inc.orporated, Palo Alto, CA, USA","Palo Alto Research Center, Inc.orporated, Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37444594200","2","Stuart K. Card","37444594200","Science Applications International Corporation, McLean, VA, USA","Science Applications International Corporation, McLean, VA, USA","https://ieeexplore.ieee.org/author/37830251400","3","John W. Bodnar","37830251400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677362","710","106","https://ieeexplore.ieee.org/document/4677362/","sensemaking","information foraging","argumentation marshalling","visual analytics","H.5.2 [User Interfaces]: Graphical user interfaces (GUI)","H.3.3 [Information Search and Retrieval]: Information filtering","H.4 [Information Systems Applications]: H.4.m Miscellaneous","H.5.3 [Group and Organization Interfaces]: Collaborative computing, Computer-supported cooperative work, Web-based interaction","collective intelligence","exploratory search","information workspace","entity-based","collaboration","intelligence analysis","visualization","semantic notebook","Collaborative tools","Collaborative work","Software tools","Collaborative software","Information analysis","Text analysis","System testing","Laboratories","Design optimization","Organizing","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677362","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","31","99","Entity-based collaboration tools for intelligence analysis"
"Analyzing unstructured text streams can be challenging. One popular approach is to isolate specific themes in the text, and to visualize the connections between them. Some existing systems, like ThemeRiver, provide a temporal view of changes in themes; other systems, like In-Spire, use clustering techniques to help an analyst identify the themes at a single point in time. Narratives combines both of these techniques; it uses a temporal axis to visualize ways that concepts have changed over time, and introduces several methods to explore how those concepts relate to each other. Narratives is designed to help the user place news stories in their historical and social context by understanding how the major topics associated with them have changed over time. Users can relate articles through time by examining the topical keywords that summarize a specific news event. By tracking the attention to a news article in the form of references in social media (such as weblogs), a user discovers both important events and measures the social relevance of these stories.","https://ieeexplore.ieee.org/document/4677364/","LOCKED","4677364","Microsoft Research Limited","Microsoft Research Limited","https://ieeexplore.ieee.org/author/37542391000","1","Danyel Fisher","37542391000","Microsoft Research Limited","Microsoft Research Limited","https://ieeexplore.ieee.org/author/37867220900","2","Aaron Hoff","37867220900","Microsoft Research Limited","Microsoft Research Limited","https://ieeexplore.ieee.org/author/37448060300","3","George Robertson","37448060300","Microsoft Live Laboratories","Microsoft Live Laboratories","https://ieeexplore.ieee.org/author/37087582035","4","Matthew Hurst","37087582035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","1","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677364","888","122","https://ieeexplore.ieee.org/document/4677364/","blogs","events","","","","","","","trends","time series","topic detection and tracking","I.7.m [Document and Text Processing]: Miscellaneous","I.3.8 [Computer Graphics]: Applications","","","","Blogs","Event detection","Text processing","Computer graphics","Application software","Visual analytics","Data mining","Reflection","Data visualization","Displays","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677364","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","32","115","Narratives: A visualization to track narrative events as they develop"
"We describe a visual analytics (VA) infrastructure, rooted on techniques in machine learning and logic-based deductive reasoning that will assist analysts to make sense of large, complex data sets by facilitating the generation and validation of models representing relationships in the data. We use logic programming (LP) as the underlying computing machinery to encode the relations as rules and facts and compute with them. A unique aspect of our approach is that the LP rules are automatically learned, using Inductive Logic Programming, from examples of data that the analyst deems interesting when viewing the data in the high-dimensional visualization interface. Using this system, analysts will be able to construct models of arbitrary relationships in the data, explore the data for scenarios that fit the model, refine the model if necessary, and query the model to automatically analyze incoming (future) data exhibiting the encoded relationships. In other words it will support both model-driven data exploration, as well as data-driven model evolution. More importantly, by basing the construction of models on techniques from machine learning and logic-based deduction, the VA process will be both flexible in terms of modeling arbitrary, user-driven relationships in the data as well as readily scale across different data domains.","https://ieeexplore.ieee.org/document/4677352/","LOCKED","4677352","Computer Science Department, Stony Brook University, USA","Computer Science Department, Stony Brook University, USA","https://ieeexplore.ieee.org/author/37592970300","1","Supriya Garg","37592970300","Computer Science Department, Stony Brook University","Computer Science Department, Stony Brook University","https://ieeexplore.ieee.org/author/37085949068","2","Julia Eunju Nam","37085949068","Computer Science Department, Stony Brook University, USA","Computer Science Department, Stony Brook University, USA","https://ieeexplore.ieee.org/author/37284911300","3","I.V. Ramakrishnan","37284911300","Computer Science Department, Stony Brook University, USA","Computer Science Department, Stony Brook University, USA","https://ieeexplore.ieee.org/author/37273119700","4","Klaus Mueller","37273119700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","1","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677352","611","26","https://ieeexplore.ieee.org/document/4677352/","Visual Analytics","Knowledge Discovery","","","","","","","Visual Clustering","Machine Learning","Grand Tour","High-dimensional Data","Network Security","H.5.2 [Information Interfaces and Presentation]: User Interfaces—Graphical user interfaces","I.2.6 [Artificial Intelligence]: Learning—Concept Learning","I.5.3 [Pattern Recognition]: Clustering—Similarity Measures","Visual analytics","Machine learning","Humans","Scattering","Data analysis","Logic programming","Machinery","Data visualization","Data security","Information security","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677352","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","33","19","Model-driven Visual Analytics"
"The speed of data retrieval qualitatively affects how analysts visually explore and analyze their data. To ensure smooth interactions in massive time series datasets, one needs to address the challenges of computing ad hoc queries, distributing query load, and hiding system latency. In this paper, we present ATLAS, a visualization tool for temporal data that addresses these issues using a combination of high performance database technology, predictive caching, and level of detail management. We demonstrate ATLAS using commodity hardware on a network traffic dataset of more than a billion records.","https://ieeexplore.ieee.org/document/4677357/","LOCKED","4677357","University of Stanford, USA","University of Stanford, USA","https://ieeexplore.ieee.org/author/37088078959","1","Sye-Min Chan","37088078959","University of Stanford, USA","University of Stanford, USA","https://ieeexplore.ieee.org/author/37087685185","2","Ling Xiao","37087685185","University of Stanford, USA","University of Stanford, USA","https://ieeexplore.ieee.org/author/37840462500","3","John Gerth","37840462500","University of Stanford, USA","University of Stanford, USA","https://ieeexplore.ieee.org/author/37349803800","4","Pat Hanrahan","37349803800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","3","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677357","626","66","https://ieeexplore.ieee.org/document/4677357/","D.2.11 [Software Engineering]: Software Architectures—Domain-specific architectures","H.5.2 [Information Interfaces And Presentation]: User Interface—Graphical user interfaces (GUI)","","","","","","","K.4.0 [Information Systems Applications]: General","","","","","","","","Data visualization","Data analysis","Visual databases","Delay","Hardware","Information retrieval","Time series analysis","Telecommunication traffic","Visual analytics","Costs","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677357","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","34","59","Maintaining interactivity while exploring massive time series"
