Authors
Gina Venolia
Won-Ki Jeong
Simon Stegmaier
Guozheng Li 0002
Atharva Kulkarni
Michael Brooks
B. Williams
Lawrence H. Staib
Michael Schlemmer
James Arthur Kohl
Benjamin Rowland
Adel Ahmed
P. C. Chen
Dongping Zhang
Daniel Stoffler
Matthias Zieker
Wenyuan Wang
Michael Czabaj
Udo Schlegel
András Lukács
John A. Kolojechick
Feng Luo
Paul G. Kelaita
Christopher O. Jaynes
Ananda Montoly
Mark C. Miller
Ian Turton
Walid G. Aref
Haipeng Zhang
Zhen Li 0044
Ashish Kapoor
Elsie Lee-Robbins
Aurélie Cohé
Gerald L. Lohse
Dustin Scheinost
Eli Daiches
Vivek Srikumar
Eric P. Hoffman
Wen-Feng Cheng
Jim Wall
Robert S. MacLeod
Christoph Schär
Christoph Peters 0002
Tom Polk
Hyeshin Chu
Tali Mazor
Bharathram Ganapathisubramani
Caterina Rosano
Paul Whitney
Jack Bowie
Qingyu Tang
Lynn Chien
Dirk Bartz
Adam Sah
M. J. Geller
Song Ge
Franziska Sauka
Russell Beale
Blaze Stancampiano
Jia-Kai Chou
Michael W. Vannier
Faye Moser
Roy A. Ruddle
Zhibin Wang
Hugo Buddelmeijer
Carla Floricel
Lauren Dietrich
Tim Lammarsch
Michael Pichler
Martin Isenburg
Cindy Jin
Martijn Tennekes
Andre Waschk
Myoungkyu Lee
Lars Erik Holmquist
Patrick O'Leary
Bahador Saket
Xin Dong 0001
Chang Han
Haozhe Feng
André Reichenbach
Roland N. Boubela
Arpit Narechania
Matthew Tobiasz
Xiaobo Luo
Zengsheng Zhong
Margaret-Anne D. Storey
William Alexander
Jean-Louis Coatrieux
Lisa Kuchy
Steve M. Legensky
Pernette J. Verschure
Pablo Roman
Ken Martin
Eric B. Lum
David Glick
Timo Ropinski
Mark Guzdial
Tim McGraw
Huihua Lu
Kelly Domico
Catherine Plaisant
Christoph Hafemeister
Minh Xuan Nguye
Giorgio Gaglia
Axel Friedrich
Anton Leuski
Ziyi Zheng
Peter-Pike J. Sloan
Robert van Liere
Ofri Sadowsky
Haihan Lin
Tom Mace
Thomas S. Deisboeck
Pierre Accorsi
Simon Premoze
Andrew S. Forsberg
Li Chen
Dustin Arendt
Michael Ankele
Manfred Weiler
Tangzhi Ye
Dieter Breitschwerdt
Sanja Scepanovic
Kejie Yu
Kree Cole-McLaughlin
Alireza Karduni
Elizabeth G. Hetzler
Justin Mauger
Niklas Elmqvist
Xiaotong Li
Tony Jewitt
Praveen Kumar Reddy Ojili
Timothy S. Miller
Richard Gooch
Xian Xu
Markus Glatter
Igor Pivkin
Changjian Chen
Jose De Corral
R. R. Johnson
Jameson Miller
Eric Lee
Frits H. Post
William Smith
Anna M. Ritz
Tadija Kekic
Bruce H. McCormick
Eugene Bart
Yaniv Frishman
Will Epperson
David A. Lane
Takahiro Yamamoto
Erich Gstrein
David Foerster
Andrew Mercer 0001
Matthias Labschutz
Carola Wenk
Neta Sokolovsky
Philip J. Kilner
William J. Schroeder
Hujun Bao
Lu Lu
Yuan Gao
Young Min Kim
Tim Gerrits
Barry Lazos
Allison Woodruff
Guoren Wang
Mike Roberts 0001
Paul J. Croft
Michael Griebel
Susan M. Mniszewski
Jose Gustavo Paiva
Chen Chen
Kai Liu
Kittiboon Junyaprasert
Christopher Nafis
John Dill
Lyndsey Franklin
Omniah H. Nagoor
William E. Lorenson
Fred Alyea
Dirk Zeckzer
Nafiul Nipu
Sharon Lin
Dan Mané
Bernhard Kainz
R. Mitchell
Michael Zatloukal
D. Kamins
Michael Wand 0001
Fernando Vega Higuera
Mahnas Jean Mohammadi-Aragh
Zekai Gao
Stephen Correia
Dianne Cook
David A. Shamma
Benjamin F. Gregorski
Matthew E. Hawkins
Tom Horak
Joshua A. Levine
Marc Streit
Benjamin Köhler 0001
Thomas Zichner
Augusto Román
Alain Burette
B. C. Kaplan
Feng Qiu
Zuobin Wang
Si Qin
Dinoj Surendran
Stefan Jordan
C. Hansen
Judith S. Donath
Brian D. Fisher
Terry Welsh
Brian Rexroad
Duncan Stevenson
Ephraim P. Glinert
Lori L. Scarlatos
Pierre Y. Andrews
Noah Syroid
Joshua Temkin
Shuh-Yuan Liou
Arthur E. Mynett
Jane Troutner
Mateu Sbert
Ethan Perry
Xiaolin Wu
Yuji Hatanaka
Sunwoo Ha
Mario Hlawitschka
Seung Hyun Kim
Hans-Ulrich Kauczor
Haomin Li
Christopher J. Morris 0001
Seungwon Yang
William Chao
Vitalis Wiens
Guo-Xun Yuan
Nicholas Schwarz
Nina McCurdy
Bernd Hamann
Jackie Assa
Sean A. Stephens
Michael Wade
Richard A. Becker
Bireswar Laha
Yunhai Wang
Simon H. Sündermann
Stanislav L. Stoev
Zhihua Dong
Fan-Yin Tzeng
Fabian Bendix
Nicolas Roussel 0001
Robert H. Thibadeau
Ee-Chien Chang
Frank J. Post
Kenneth Breuer
Naim Alper
Pramod M. Mahadev
Richard S. Gallagher
Andreas J. Lind
William J. Campbell
Ya-Hsin Hung
Cícero A. L. Pahins
Charles R. Dyer
Svenja Leifert
Naveen K. Krishnaprasad
Iwan W. Griffiths
Deepak R. Kenchammana-Hosekote
Edward Clarkson
Houda Lamqaddam
Chun-Ming Chen
Cláudio T. Silva
Meera M. Blattner
Robert S. Schulman
Siyuan Liu
Felix Ritter
Zi'ang Ding
Gunther Heidemann
Pin Ren
Gregory J. Wiet
Adrian Freed
Chufan Lai
Michael Mateas
Reuven Bakalash
David Hysom
Stefan Auer
Uli Niemann
Elham Sakhaee
Alan M. Shih
Binh Pham 0001
Harsh Shukla
John D. Joannopoulos
Ji Ma
E. S. Panduranga
Don Dovey
Dianne Hackborn
Xin Chen
Aamir Sadiq
Noeska N. Smit
Brandon Wright
Scott Meador
Jeffrey Ventrella
Xiaoyang Mao
Robert Rosenberg
Yves Jean
John R. Goodall
Donna L. Gresh
Michael Blumenschein
Chi-Lun Lin
Julian Stahnke
Fabian Beck 0001
Haleh Hagh-Shenas
Le Liu 0007
Steven Landis
William John Teahan
Romain Vuillemot
Justin Raynor
Alexandre Gillet
Christopher Scannell
Michael Reiter
James N. Scott
Tolga Bolukbasi
Chengqiao Lin
Andrew P. Woodfield
Yuyu Luo
Zhirui Wang
Xinke Wu
Florian Morr
Qingsong Liu
Eric J. Golin
Seunghoon Cha
Deboshmita Ghosh
Anselm Spoerri
Jurim Lee
Jörn Schneidewind
Michael Shafae
Peter Brusilovsky
Martin Falk
Johannes Zagermann
Juraj Pálenik
J. Hartig
Alison Duffy
Reem Hourieh
Stephen A. Benton
Negar Naghashzadeh
Artem R. Oganov
Han Chen
Francesco Parisio
Mahbubul Majumder
Michael F. Webster
Qingyang Xu
Hui Ma
Mustafa Hajij
Jeffrey L. Korn
Ivo L. Hofacker
Yun Lin 0005
Stefan Seipel
Jens Kasten
Jeff Beddow
Abishek Puri
S. Jeromy Carrière
Werner Purgathofer
Jim Baker
Feng Luo 0002
Dennis Dingen
Robert Haimes
Xia Lin
Pradeep Dubey
Christina K. Yung
Susannah Burrows
Nuo Chen
Maria Florencia Gargiulo
Steven R. Brandt
Wonyoung So
Hans Hinterberger
Nancy E. Miller
Chester Grosch
Chee-Keng Yap
Klaus Kremer
Eric D. Ragan
Michelle Borkin
Katherine St. John
Vijendra Jaswal
Alain Filbois
Kori Inkpen Quinn
Shraddha Agrawal
Thomas Auzinger
Zoya Bylinskii
Yuhong Li
Marc Treib
Gunnar Läthén
Ted Tanasse
W. Bradford Paley
Jing Yang 0001
Seungmin Jin
Paul Andrew Olbrich
Anders Ynnerman
Arin M. Ellingson
Chenglong Wang
Morteza Karimzadeh
Kenneth I. Joy
Frank Bossen
Micah Acinapura
Qing Chen 0001
Denis Lalanne
Michael B. Burks
Harry Stavropoulos
Yin-Hsi Kuo
Bart A. Singer
Heiko Ramm
Robert M. Sweet
H. T. Nguyen
Alan Lundgard
Alexander P. Auchus
Benjamin Eysenbach
Cecilia di Sciascio
Balint Hegedüs
William E. Lorensen
Yujie Liu
Julia Walker
Preeti Malakar
Jian-Cheng Song
Stephen M. Pizer
Michael L. Evans
Julia Ebling
Yasushi Yamaguchi 0001
Christophe Winkler
Guia Gali
Jinho Lee
Marjan Trutschl
James H. Fallon
Kuno Kurzhals
Bertjan Broeksema
Eric Sauda
Michael Krone
Steven F. Roth
Jeffrey T. Morisette
William L. Barth
Ravi Kulkarni
Ruhan Yang
Kyoko Nakamura
Larry A. Curtiss
Henry H. Rueter
Frans A. Gerritsen
Finale Doshi-Velez
Carsten Görg
Harald Obermaier
Mona Erfani Joorabchi
Gustavo Mello Machado
Krishna Chaitanya Gurijala
Rudolf Netzel
Radu Jianu
Larry Rosenblum
Theo Jaunet
Qiong Luo 0001
John W. C. Chin-A-Woeng
Inbal Ronen
Chris North 0001
Quentin E. Dolecek
Tim Hewson
Lloyd A. Treinish
Hansi Senaratne
Christopher S. Co
Richard Brath
Jiannan Xiao
Christopher R. Johnson 0001
Konrad Polthier
Le Liu
Jing Jin
Jeremy Boy
Tobias Isenberg 0001
Rynson W. H. Lau
Don Stredney
Robert Zawadzki
Greg L. Nelson
John Rhoades
Madhusudhanan Srinivasan
Reuben Reyes
Guangxia Li
Steven Schlegel
David T. Chen
Mengdi Sun
R. Arthur Bouwman
Rhonda Vickery
Michael J. Wozny
Adam Finkelstein
Cong Wu 0004
Daniel Archambault
Jesus J. Caban
Victor Guallar
Toshiyuki Masui
Anish Chandak
Bhavya Ghai
Tuan Pham
Jiacheng Pan
Wesley Willett
Wesley Kendall
Jeanette C. Meng
Richard Beigel
Joshua Shrestha
Dennis D. Spencer
Andreas Stoffel
Jorge Prado
Koji Koyamada
Steve Bryson
James A. Sethian
Lamont Samuels
Zeki Melek
Zhengrong Liang
Helen Zhao
Christof Seeger
Jean Krivine
Jessica Magallanes
Mark A. Whiting
Andrew T. Wilson
Dane M. Coffey
Sanjeev Balakrishnan
Margo I. Seltzer
Jordan Swartz
Nigel W. John
Yixian Zheng
R. Matt Steele
Robert A. Lafrance
Ellen Yi-Luen Do
K. W. Johnson
T. J. Jankun-Kelly
Nathalie Henry Riche
Sabine Girod
Jonathan Woodring
J. Megewick
Hélio Pedrini
Stefan Berchtold
Mingxuan Li
Sven Teresniak
William L. van Zandt
Yuanzhe Hu
Guilherme P. Telles
Steve H. Langer
Christian Schumann
Xiaoyu Zhang
Rhema Vaithianathan
Peiying Zhang
Valentin Zobel
Eugene I. Kelton
Christian Tietjen
I. V. Ramakrishnan
Shao-Chiung Lu
Sabin Devkota
Graham D. Finlayson
Kris Sikorski
Christos Faloutsos
Markus Schmies
Yuxin Ma
Christopher Collins 0001
Waldemar Celes Filho
Jean-François Im
Stephen Paddock
Yuri A. Ivanov
Yang Liu 0136
Conglei Shi
Zhengguo Zhu
Kristian Hildebrand
Yuji Maeda
Abdul Waheed
Wolfgang Freiler
Haoling Dong
Christine Mégard
Jieqiong Zhao
Julian Ladisch
Aude Oliva
Chi-Wing Fu
Jianlong Zhou
Brian Bollen
Wei Zeng 0002
Wojciech Burakiewicz
C. Ryan Johnson
Filip Sadlo
Bum Chul Kwon
Jiayi Zhou
Roberto Grosso
Anthony Thane
Octavio Juarez Espinosa
Hendrik Strobelt
Borys Flak
Emmanuel Pietriga
Stephan Diehl 0001
Jan Reininghaus
Kenneth L. Summers
Jie Gao 0001
Bruce H. Thomas
Daryl H. Hepting
David Uribe
Raffaele De Simone
Chris Bentley
Deb Banerjee
Amit Bandopadhay
Ronghua Liang
Zuchao Wang
Gaurav Garg
Yingcai Xiao
Andrew Wood
Mark Giereth
Jae-wook Ahn
Elvir Azanli
Peter L. Williams
Neesha Kodagoda
Simone Scheithauer
Richard Franke
Alexander Erath
Stéphane Conversy
John Nichols
Hannah Pileggi
William E. Johnston
Marianna Jakab
Brittany Terese Fasy
Francesca Samsel
Robert M. O'Bara
W. Brent Seales
Diem Tran
Bart Peters
Omar Shaikh
Marieke E. Ijsselsteijn
Dennis J. Bouvier
Michael Christensen 0002
David Marshburn
Nava Zokaei
Will Harcourt-Smith
Michael Garland
Brian Cummings
Dan Goldwasser
Masaru Kitsuregawa
Hideo Otsuna
Haolin Lu
Wei Liu 0023
Joel Shapiro
Ze-Yuan Huang
James Allan
Michail Schwab
Emilio Vital Brazil
Marco Agus
Thomas Vetter
Lydia Byrne
David M. Butler
Mary Czerwinski
Mario Romero
Tengfei Ma 0001
Guy Danon
Baldur van Lew
Peter Djeu
Furui Cheng
D. Prawel
Katrin Hegenscheid
William B. Thompson
Danqing Shi
Fred Dietrich
Robert Barnes
Olaf Noppens
Marco Tarini
Bill Hibbard
Harshit Mehrotra
Philipp Zimmermann
Alan Su
Christophe Viau
Yuk Yin Sham
Ruwayda Alharbi
Jeffery Chieh Liu
Melissa A. Schoenlein
Jeffrey Heer
Henry Völzke
Ye Duan
Haesun Park
Tomoyuki Nishita
Cagatay Turkay
Andrea Unger
Hendrikus H. M. Korsten
Karthik Ramani
Benjamin D. Greenberg
Roel Truyen
Leon Sering
Victoria Interrante
Steffen Hadlak
Patrice Y. Simard
Llyr ap Cenydd
Thomas Klein
Tim Biedert
Chi-Bin Chien
Prithiviraj K. Muthumanickam
Janu Verma
François Vachon
Marcel Breeuwer
Marek Korkusinski
Hamish A. Carr
Yifan Zhang 0007
Adrienn Szabó
Mike Cammarano
Youwei Zhang
Julia Löcherbach
Dimah Yanovsky
Koenraad Brosens
Cheonbok Park
Vijay Natarajan
Douglas M. Ranken
Jonathan D. Cohen 0001
David Kremers
Yvonne Jansen
Michael Stephanides
Ondrej Strnad
Jie Li 0006
Daniel C. Robbins
Christof Rezk-Salama
Diane Tang
Cheryl Z. Qian
Cherilyn Michaels
Bianca Tost
Sanghun Park
Frans C. A. Groen
Greg Marchand
Steven J. M. Jones
Xian Teng
Clement Shimizu
Nathan Andrysco
Philip J. Stroffolino
Yihan Liu
M. Brown
Yunhe Shen
Denis Koschichow
Andrej Cedilnik
Michael J. Bailey
Jörg Finger
Ulrike Pfeil
Andrew F. Westdorp
Shehzad Afzal
Audace Nakeshimana
Ken Perrine
Thomas Hildebrandt
Highmed Consortium
Barry J. Dickson
Meichun Hsu
Andreas Disch
Sen Xu
P. Mora de Freitas
Chen Shi
Charbel Farhat
Mandar Sharma
Keith W. Jones
Jaemin Jo
Michelle L. Mazurek
Fabian Sperrle
Steven Schkolne
Stefan Bruckner
Jörg Meyer
Wenping Wang
Andreas Pommert
Einar Heiberg
Rachel Mackenzie
Kevin Tanty
Charles Rozhon
Tao Li 0039
Laura South
Michelle Dowling
Alexander Eiselmayer
Honglei Yin
Gregory Cipriano
Marc Wolter
Jack Snoeyink
Jan Harkes
Françoise Détienne
Tingying He
Saurabh Tendulkar
Daniele Quercia
Ute Kraus
Xi Ye
Volkmar Falk
Bruno Vallet
Kay A. Robbins
Lynn Schwendiman
L. Ruby Leung
Edward Choi
Donia Badawood
J. Alex Godwin
Fabian Fischer 0001
Shaozu Cao
D. Morent
Marc Khoury
Philip K. Robertson
Laura A. McNamara
Rebecca Randell
Vincent Argiro
Teruhiko Teraoka
Rongzheng Bian
Janet M. Six
Parris K. Egbert
Corvin Zahn
Greg Smith
Frank Zeilfelder
Karen B. Schloss
Shunan Guo
Haohui Chen
George Baciu
Ahsan Qamar
Mahsa Mirzargar
James H. Garrett Jr.
Werner Stuetzle
Di Yang
David Sheffield
Yeong-Gil Shin
Barbora Kozlíková
Tarique Siddiqui
Wilson S. Geisler
Tianyu Gu
Younghoon Kim
Yuli Gao
Paul S. Heckbert
Han Hong
Kevin Biolsi
Jorge Henrique Piazentin Ono
Georges-Pierre Bonneau
Xiaojing Ma 0002
Aili Li
Ove Daae Lampe
Jan Fischer
Richard Feldmann
Samuel K. Law
Caroline Ziemkiewicz
Xing Mu
Gill Barequet
Dinesh K. Pai
Nishant K. Mehta
R. Kevin McCabe
Florence Y. Wang
Winter Wei
Greg Abram
Karl Bladin
Amen Zwa
Irene Baeza Rojo
Cesar Palomo
Kenneth C. Cox
Kirk Riley
Youssef S. G. Nashed
David Harel
Jason D. Hartline
Malú Castellanos
Kevin T. Maher
Alan H. Barr
Tung Yuen Lau
Xinhai Wei
Kathleen S. Bonnell
Kai Zhao
J. Scott Davidson
Tica Lin
Nicolas Ray
Norman Au
Michael Delz
Hui Shao
Bridget Cogley
Lisa Sobierajski Avila
Matthias Kreuseler
Thomas G. Smith
Sidney W. Wang
Guang-Zhong Yang
Jian Zhang 0070
Juliana Freire
Ido Guy
Lester Kwock
Ping Guo 0002
Bharath Kalidindi
Larry Carter
Sonia Lasher-Trapp
Enylton Machado Coelho
Micah T. Taylor
Masashi Toyoda
Wentao Gu
Meera Blattner
Georgios Sakas
Katerina Vrotsou
Aaron Ault
VinhTuan Thai
Corrado Calì
Juri Buchmüller
Sohaib Ghani
Fergus Merritt
David McColgin
Jordi Ventosa-Molina
Ingrid Hotz
Lace M. K. Padilla
Lei Chen 0002
Mariappan S. Nadar
Zheqing Yu
Jeroen van Baar
Foroozan Daneshzand
Flavie Cernesson
Ernst Kleiberg
Zhiguang Zhou
Khairi Reda
Quan Hoang Nguyen
Alex Endert
Hang Yu
Sai Prashanth Dasari
Sherry Towers
Tian Zhu 0001
David C. Richardson
Wiebke Köpp
Peter Rautek
Tobias Czauderna
Roland Rühle
Claudio Rocchini
Anushiya Arunan
Danny Holten
Amira Solomovici
Marta Farre
Yuan Zhou
Yu Qin
Mark Brown
Kai Bürger
Shachar Fleishman
Guizhen Wang
Katharina Reinecke
Thomas Ertl
Ayan Biswas
Been Kim
Karim Mahrous
Simon Stusak
Yifan Hu 0001
Scott Davidoff
Philip J. Mercurio
Stephen J. Bailey
Xiaolei Shi
L. R. Seidenberg
Abish Malik
Maria Shneerson
Timothy Sandstrom
Pei Liu
Jean-Marie Favre
Cheong S. Ang
Arvind Kumar Shekar
David Saffo
Stefan Eilemann
C. A. Burton
Etienne Parkinson
Feng Dong 0005
David P. Dobkin
Susan L. Havre
Ethan Kerzner
Eun Ju Nam
David J. Huber
Yunwon Tae
Nassir Navab
Jiawei Tang
Anthony J. Sherbondy
Chaoli Wang 0001
Reyk Hillert
Wai-Ho Mak
Scott Atchley
Aaron Knoll
Richard M. Satava
M. Pauline Baker
Georges G. Grinstein
Evanthia Dimara
Bart M. ter Haar Romeny
Song Zhang 0004
Peiran Ren
Martin Luboschik
David W. Williams
Christian Gusenbauer
Wm. LeRoy Heinrichs
Jae Choi
Haibin Liu
David F. Tate
Eric Brugger
Rachel E. Clough
Ivan Marusic
David Bednar
Eduard Deines
Shuang-Hua Yang
Robert J. McDermott
Yernar Abdrazakov
Yiping Han
Peter Gyory
Wolfgang Krüger
Tiffany Wun
Min-Yu Huang
Yi-Chih Tsai
Agma J. M. Traina
Cong Wang
Jeroen Poblome
Joe Mattis
Diansheng Guo
Davide Ceneda
Gilles Bailly
Yang Chen
Jia-Ren Lin
Mark Friedell
Frank J. Rybicki
Horace Mitchell
Qinying Liao
Eleftherios Koutsofios
Soujanya Vadapalli
Yeukyin Chan
Wouter Meulemans
Julia C. Hsieh
Alex Betts
Marie Vendettuoli
Eric Petajan
Theo van Walsum
Sean M. Smith
Robert Patterson
Mark B. Mineev-Weinstein
Klaus Reichenberger
Jereme Haack
John C. Anderson
Niloy J. Mitra
Racquel Fygenson
Philipp Koytek
Balázs Csébfalvi
Fakir S. Nooruddin
Martin Röhlig
Thorsten Liebig
Tobias Åström
Bruce Lucas
Shichao Jia
Daniel M. Russell
Raghu Raghavan
Yuan Chen
Pieter C. Buijs
Brian E. Smits
Bo Ma 0002
Pamela Cotture
Luke Harmon
David L. Darmofal
Philip D. Heermann
Jayesh Govindarajan
Kalyan Veeramachaneni
Davood Rafiei
Asher Pembroke
Tianyi Zhang
Paul Johns
Christoph S. Garbe
Yue Zhang 0009
George Cybenko
Bin Wu 0001
John Peter Lee
Gregory P. Johnson
Michael Gleicher
Xiao Xie
Andreas Rauber
Lars Hufnagel
Amin Jourabloo
Hongye Liang
Glenn Taylor
Murray H. Loew
Isabel Navazo
Lora Oehlberg
Eli Dart
Antoni Sagristà
Laura Florian
B. Estus
Martin L. Brady
Remco Chang
Donald Bertucci
Shaolun Ruan
Allan Rocha
Ying Zhao 0001
Russell Truscott
Michael Steptoe
Fedor Korsakov
Samuel G. Fadel
Grant Wallace
Jaewoo Kim
Ali Sarvghad
Renfei Huang
Andreas M. Tillmann
Hesham Elhalawani
Daniel Weiskopf
Anthony C. Robinson
Duane L. Knill
S. Todd Barlow
James Hudson
Lee Inman
Md. Amiruzzaman
Marc Najork
Iwo Serlie
Helmut Barro
Nina Amenta
Vishram Pandit
Zhaosong Huang
Wai-Yin Ng
Chris Newbern
Tianyi Lao
Ann Sherlock
Sean McKenna
Doug Fritz
Duong B. Nguyen
Michael D. Doyle
David M. Weinstein
Michael B. Stephenson
Xiaoyan Fu
K. Moorjani
Jirí Bittner
Il-Hong Jung
Andreas Sigfridsson
Joel Kronander
Min Lu 0002
Jeffrey Brainerd
Xiaoqiang Wang 0002
Haipeng Cai
Mai El-Shehaly
Rebecca Faust
W. Renz
Jiachen Wang
Arthur J. Olson
Xiangfei Meng
René Cutura
Gene Payne
Aditya Konduri
Andre Schmeißer
Benjavan Upatising
Jorji Nonaka
Dan Adams
MeganOlson Hunt
Pjotr Svetachov
Roxanne Ryan
Stephen Kasica
Manuela Waldner
Veronika Irvine
Meng Xia
Ruixiang Zhang
David S. Day
Lezhi Li
Kelly Pennock
Christopher M. White
Matthias Kraus
Zachi Karni
Guru M. Parulkar
Rodolfo Ostilla Monico
Walter Fontana
Victor W. Lee
Hong Ma
Willem-Jan Knibbe
Manuel Rubio-Sánchez
Sudhanshu Kumar Semwal
Larry F. Hodges
Yue Wang 0035
Stefan Koch
Magnus Paulson Erga
Fearn Bishop
John Hardy
Luis Gustavo Nonato
Yueqi Hu
Yunfan Bao
Rubaiat Habib Kazi
Brandon Lloyd
Shouxing Xiang
Justin Hensley
Eun Kyoung Choe
Martin Hering-Bertram
Bob Deletto
Angela K. Mellema
Mohammad Imrul Jubair
Kenney Ng
Samira Shaikh
David W. Mizell
Madelaine Daianu
Scott Klasky
Chris Yi
Michael D. Hill
Ralf Kähler
Ronald A. Rensink
Sayef Azad Sakin
Dongliang Wang
Agnès Braud
Fabian Maass
Daniel M. Dunlavy
Julio Daniel Silva
Valentin Polishchuk
Ming-Yuen Chan
Fabio Marton
Nathalie Reuter
Andreas W. Reimer
Eduardo Nolasco
Marcus Grimm
Marc Alexa
Vidar R. Jensen
Min-Je Choi
Thomas Kindler
C. Goodrich
Swethan Anand
Yan-Jen Su
Kim F. Wong
Simon Urbanek
Kevin T. McDonnell
Anthony Hamins
Keiji Yamamoto
Kim Morla
Andrey Krekhov
David Scarlatti
Muchan Park
Yu-Ru Lin
Yinqi Sun
Raymundo Navarrete
Qinhan Liu
Halden Lin
Mario Beric
Björn Krüger
Kun Zhou
Yanqiu Wu
Yuyan Song
Russ Rose
Yiwen Sun
Chuck Stein
Joe D. Warren
Youn ah Kang
Mardelle Shepley
Brian Y. Lim
Peter Wonka
He Liu
Scott Butner
Uwe Mikolajewicz
Mathias Schott
Christoph Csallner
Yi Wang
Greg Banecki
Michiel van de Panne
Fangfang Zhou
Isaac Brewer
Yun Jang
Tavi Murray
Ruigang Yang
Douglas W. Clark
Eric A. Bier
Laurent Balmelli
Zhendong Yang
Evatt R. Hawkes
David Bauer
George S. Almási
Xing Li
Katie B. Mullins
Dipayan Maiti
Mukund Raj
Guy Melançon
Petra Isenberg
Qi Wu 0015
Ray J. Meyers
Michael Balzer
Kanit Wongsuphasawat
Paul Bendich
Alexander Kachkaev
M. Scott Marshall
Yuqun Chen
Anne Laprie
Markus Petzold
Dan Shapiro
Miguel Nunes
Sanjin Rados
Matt McElwee
Brian Meyers
Suya You
David W. Robertson
Joshua LeVasseur
Brent Fogleman
Rui Li 0047
Svitlana Volkova
Mike Peery
Matthias John 0003
Kaoji Xu
Casimir J. H. Ludwig
Constantine J. Pavlakos
Minoru Maruyama
Julian Kreiser
Sandra Bringay
Leland Wilkinson
Danny Ziyi Chen
Florian Ledermann
Brian Corrie
Henry Reinstein
Konstantinos Fostiropoulos
Subodh Kumar 0001
Yumeng Xue
Peter Lindstrom 0001
Robert Herring
Aleks Aris
Xin Tong 0001
Christopher J. Kocmoud
Benjamin Watson 0001
Chen Yu 0001
Jonas Lukasczyk
Hong Wang
Jean-Philip Piquemal
Ken Museth
L. J. Johnston
Sujan Anreddy
Thomas Ramm
Xiaoning Qian
David M. Mountain
Farhan Mohamed
Cagatay Goncu
Tom Baumgartl
Brian Summa
Preeti Raghavan
Bo Qiao 0001
Gerhard Pittino
Alexandra Lee
Jean-Daniel Boissonnat
Judith Muehl
Elliot K. Fishman
Zhuofeng Wu 0002
Holger Burbach
Richard Souvenir
Frédéric Vernier
Henrik Korsgaard
Mark Igra
Juncong Lin
Yan Ke
Greg Welch
Dmitry A. Karpeyev
Xinlei Zhao
Helen H. Hu
Zhongwen Huang
Carlos D. Correa
Hans-Rainer Trebin
Kaiyi Zhang
Timothy Sullivan
Laurent Condat
Thomas Wilde
Frans Vos
Kaixin Chen 0004
Fanny Chevalier
Margaret Satterthwaite
Betul Salman
Steffi Thust
Bowen Alpern
Robert Pelcovits
Jens-Peter Kreiss
Rika Furuhata
Ravikiran Vadlapudi
Robin Skånberg
Roderick M. Riensche
Megan L. Burger
Scotland Leman
Young-bin Kim
Zahid Ahmed
Mark Pauly
Omar ElTayeby
Robert H. P. Dunn
David J. Nuckley
Borislav Klarin
Yaqi Qin
Enrico Puppo
Haidong Chen
Keke Wu
Michael Stonebraker
Fidelia Ibekwe-Sanjuan
Niklas Metzger 0001
Daniel Cornel
Gregory Piatetsky-Shapiro
Huub van de Wetering
Joachim Georgii
Christopher J. Hasser
Lesley Brankin
Daisaku Yokoyama
Zhiguang Yang
Fabiano Petronetto
Graham Dove
Ole Martin Smedstad
Günther Greiner
Brian Salomon
Marcus Wagner
Lyubka Sharalieva
Madeleine Grunde-McLaughlin
Cheng Tang
Yuzhe Luo
Stephan Huber
Philip K. Stone
Terece L. Turton
Nate Hoobler
Luke S. Snyder
Neal E. Hurlburt
Frank Drews
Steven K. Feiner
Roman Rädle
Deborah Wahl
Eugen Zizer
Sashank Santhanam
Michael Goldberg
Patrick Jungk
Jay Koven
Bo Dong 0001
Jim Zhu
Anja C. Schunke
Yu Zhang 0043
Nikolaus F. Troje
Michael Grossniklaus
Daniel Orban
Jonathan Zhang
Jie Xu
Jurriaan D. Mulder
Luke J. Gosink
Enya Shen
Thomas Zangle
Katrin Heitmann
Elisabeth André
Ronald M. McLaughlin
Mark-Anthony Bray
Peter Steneteg
Robert E. Roth
Fabian Günther
Arthur van Goethem
Gero Strauß
Mathias Goldau
Hilko Cords
Muqiao Yang
Kyle Wm. Hall
Dirk Mayer
Stefan Wrobel
Yifei Li
Andrea G. Parker
Sean M. Arietta
Michael Beham
Arno Krüger
Francisco Diaz
Yitao Wu
Yindalon Aphinyanagphongs
Susan Knoblach
Magnus Heitzler
Nadya A. Calderón
John H. Reppy
Amir H. Meghdadi
Kevin Tate
Petr Felkel
Jorge Estrada
Hideo Ishikawa
Bernd Finkbeiner
Andrew Watson
Loki Jörgenson
Olugbenga Omoteso
Anna Puig
Vaughan Greer
Johanna D. Moore
Charles L. Feldman
Eric Bayer
Ishwinder Kaur
J. P. R. B. Walton
Christine Tang
Tong-Yee Lee
Garet Lahvis
Patrick Fiaux
Alvin J. Law
Allen R. Sanderson
Elmar Eisemann
Roque Lopez
Andrzej Staszczak
Qiangqiang Liu
Lise Getoor
Cindy Chamberland
Xinran Hu
Artem Amirkhanov
Peter Rottmann
Lisa M. Desjarlais
Oskar Elek
John W. Bodnar
