university,country,city,total students,domain,ranking,address,foundation year,description,undergraduate students,graduate students,international students,latitude,longitude,logo link
Carleton University,Canada,Ottawa,27570.0,carleton.ca,573,"Carleton University, 1125 Colonel By Drive, Ottawa, Ontario K1S 5B6, Canada",1942.0,,,,5789.0,45.416668,-75.7,https://www.shanghairanking.cn/_uni/logo/3243bfc6e.png
Queen's University,Canada,Kingston,27522.0,queensu.ca,293,99 University Avenue,1841.0,"QUEEN’S UNIVERSITY
KINGSTON, ONTARIO, CANADA
Queen’s University has a long history of scholarship, discovery, and innovation that has shaped our collective knowledge and helped address some of the world’s most pressing concerns. Home to more than 25,000 students, the university offers a comprehensive research-intensive environment with prominent strengths in physics, cancer research, geoengineering, data analytics, surveillance studies, art conservation, and mental health research.
Welcoming and supporting students from all countries and backgrounds to a vibrant, safe, and supportive community is an important part of the Queen’s experience. Diverse perspectives and a wealth of experience enrich our campus and our community. A core part of our mission is to engage our students, staff, and faculty in international learning and research, both at home and abroad.
In 2023, for the third year in a row, Queen’s University has ranked in top 10 globally Times Higher Education Impact Rankings, securing the position of third worldwide and first in North America. The rankings measured over 1,700 post-secondary institutions on their work to advance the United Nations’ Sustainable Development Goals (SDGs).",21227.0,6295.0,4171.0,44.233334,-76.48333,https://www.shanghairanking.cn/_uni/logo/cf8e155e5.png
Harbin Engineering University,China,Harbin,27518.0,hrbeu.edu.cn,657,"Room 715 , Main building No.145 Nantong street, Heilongjiang Province, China",1953.0,"Located in Harbin, a beautiful well-know nice and snow city inChina, Harbin Engineering University (HEU) was founded in 1953 and is the earliest key universities allowed to enter the Project 211. This project provides 100 universities in China with financial support for their development to be world class universities in the 21st century. Receiving extra investment and preferential attention from the State, HEU has become a distinguished university and one of the top universities that set up Graduate School. HEU now is a leading scientific research base distinctive for its shipbuilding industry, ocean exploration and nuclear application, dedicated to educating talented and motivated students in such fields.
HEU comprises 20 colleges and 3departments. They are College of Shipbuilding Engineering, College of Aerospace and Civil Engineering, College of Power and Energy Engineering, College of Automation, College of Underwater Acoustic Engineering, College of Computer Science and Technology, College of Software, College of National Secrecy, College of Mechanical and Electrical Engineering, College of Information and Communication Engineering, School of Economics and Management, College of Materials Science and Chemical Engineering, College of Science, College of Humanities and Social Sciences, College of International Cooperative Education, College of Further Education, College of Nuclear Science and Technology, College of National Defense Education, College of Entrepreneurship Education, College of Marxism, Foreign Languages Department, Physical Education and Training Department, Industrial Training Centre. HEU has 55 undergraduate programs, 27 national key master programs, 12 national key doctor programs, 13 post-doctor research stations. HEU established 40 scientific research organizations and 150scientific research and teaching laboratories.
Until the end of 2013, HEU covers an area of 1,256,099 square meters and a building area of829, 400 square meters. The university library offers 3,044,600 books to the students and faculty. HEU’s community consists of 14,759 undergraduates, 8000graduate students, 950 overseas students and 3113 faculty members. HEU employs1793 fulltime teachers, which includes 1084 doctor degree supervisors and 600 master degree supervisors,389 professors and 502 associated professors, 8academicians of the Chinese Academy of Sciences and the Chinese Academy of Engineering.
Since its establishment in 1953, HEU has offered more than 80,000 elite graduates, who have served the nation in science, technology, and other social areas. Among them, 200 elite graduates have served as generals, ministers, governors or academicians, approximately 2000 elite graduates have been the experts of science and technology field. They are working hard in the universities, scientific research centers or enterprises. In this sense, HEU makes distinctive contribution to the local and national development.
HEU has been maintaining a particular commitment to scientific research and produced some achievements, such as the first national Experimental Submarine, the first national Hydrofoils, the first national Shipboard computer and the first national Swath Bathy meter. In addition, the researches on Duplex Type Submersible, Hovercraft and Gradient Velocity Meter have gained global leading positions. In 2013, the funds for scientific research reached 0.8 billion RMB.
Adhering to the policies of internationalization and open-running, HEU has established wide and substantial partnerships with more than 100 well-known universities and research institutions, including University of California Berkeley, University of Sydney, Far Eastern State Technical University, University of Electronic Communications, the world five main classification societies and IAEA
Over the past 61 years, with the motto of “Precise Engineering, Academic Excellence, Pursuit of Truth”, HEU has been providing its students with a university spirit of “Loyalty, Perseverance, Solidarity, Innovation”, and dedicating to be a leading distinctive research university.",16421.0,8761.0,833.0,45.75,126.65,https://www.shanghairanking.cn/_uni/logo/86980791.png
Cardiff University,United Kingdom,Cardiff,27510.0,cardiff.ac.uk,169,Cardiff University,1883.0,"Founded in 1883, Cardiff University combines a prestigious heritage with impressive modern facilities, on one of the most beautiful campuses in the UK.
Students enrolled at this Russell Group university benefit from access to outstanding research and facilities, and are taught by staff who are leaders in their fields. Professors at Cardiff have won many prestigious awards including two Nobel Prizes; one in Chemistry and the other in Medicine. Many have been selected to join the likes of the British Academy and Royal Society, while the university itself has been awarded seven Queen’s Anniversary Prizes.
The 24 academic schools at the university are organised into three colleges: Arts, Humanities and Social Sciences, Biomedical and Life Sciences, and Physical Sciences and Engineering. More than 300 undergraduate degrees and over 200 taught masters, diplomas, and certificates, as well as professional short courses are offered at the university, allowing students to tailor their experience to suit any aspirations.
A degree from Cardiff University opens doors across the globe. Graduates are in such high demand by employers that 84% of those who remain in the UK, enter highly skilled employment shortly after graduating.
At heart of student life, lies the Students’ Union; an inclusive, exciting space run by students, for students. Open 24-hours a day, it houses cafes, shops, bars, music venues, a letting agency and study areas for students to make the most of their time at university. The Cardiff Students’ Union is consistently ranked among the top 3 in the UK, and with more than 260 clubs and societies to choose from, everyone can find a place to call their own in Cardiff.
The university is made up of two large, well-located campuses:
The Cathays Park campus is where most of our Academic Schools are based, along with the main part of the Students’ Union. With wide tree-lined avenues and elegant Portland stone buildings, it's an inspiring place to study. The prime location means that the vibrant city centre is less half a mile away, giving students easy, walkable access to a multitude of restaurants, shopping facilities and entertainment. The campus is bordered by Bute Park, which comprises of 130 acres of landscaped gardens, parkland, riverside paths, and hosts events throughout the year.
The Heath Park campus lies just a mile from the city centre and is surrounded by 100 acres of parkland and playing fields. As the site is shared with the University Hospital of Wales, one of the largest hospitals in the UK, it is where the university’s healthcare courses are based (with the exception of Pharmacy and Optometry). Each Academic School has its own specialist resources and facilities on site. Study areas and IT facilities are open around the clock and, as well as libraries and lecture theatres, there is a swimming pool, fitness suite and squash court.
A relationship with Cardiff University is for life. The active alumni network consists of over 210,000 graduates from more than 180 countries. Notable graduates include BBC newsreader Huw Edwards, the Olympic gold medallist Nicole Cooke, and a previous national poet of Wales, Gillian Clarke.",20905.0,6605.0,6480.0,51.5,-3.2,https://www.shanghairanking.cn/_uni/logo/0d9ee072c.png
University of Oslo,Norway,Oslo,27505.0,uio.no,73,POBox 1072 Blindern,1811.0,The University of Oslo is Norway’s largest and oldest institution of higher education.,,,4675.0,59.916668,10.75,https://www.shanghairanking.cn/_uni/logo/2d1aa99b3.png
Aarhus University,Denmark,Aarhus,27495.0,au.dk,86,Nordre Ringgade 1,1928.0,"Aarhus University is a comprehensive research and teaching university, placed in the world top-100 on several important rankings. The university has more than 40000 students and is placed in the middle of Aarhus. More than 50,000 people, or every sixth resident of Aarhus, are either a student or an employee at the university or another higher education institution in the city, with whom the university collaborates closely. As a result, Aarhus has the largest proportion of residents aged 17–34 years in Denmark, making it a truly lively and young city.
Interdisciplinarity is one of the hallmarks of Aarhus University, the iNANOcentre, MINDLab and Arctic Research Center being prominent examples.
Every year Aarhus University welcomes international students and scholars from around the world. The university offers a broad range of degrees and a growing number of full-time and part-time programs in English, and the summer university, also taught in English, is growing rapidly. Every year Aarhus University hosts more than 4000 international students. Most departments and institutes, and a large number of other educational institutions, are within walking distance of each other, creating a unique study environment. Aarhus Professor Jens Christian Skou was awarded the Nobel Prize in chemistry in 1997. In 2010 Dale T. Mortensen, a Niels Bohr professor in economics at Aarhus University, received the Nobel Prize in Economic Sciences. Among well-known alumni are Queen Margrethe II of Denmark, former NATO Secretary General Anders Fogh Rasmussen, former CEO at LEGO Jørgen Vig Knudstorp and the Danish physicist Lene Vestergaard Hau from Harvard.",14962.0,12533.0,1895.0,,,https://www.shanghairanking.cn/_uni/logo/0ec23abb4.png
University of Glasgow,United Kingdom,Glasgow,27440.0,gla.ac.uk,121,University Avenue,1451.0,"The University of Glasgow
Founded in1451, the University of Glasgow is the fourth oldest university in the English-speaking world. Today we are a broad-based, research-intensive institution with a global reach. We have more than 23,000 undergraduate and postgraduate students and are a major employer in the city of Glasgow with more than 6,000 staff, including 2,000 active researchers.
A leading research centre
We are a member of the prestigious Russell Group of leading UK research universities, and we’re striving to change the world with our expertise. Our annual earnings for research are £175m, which means that we can make important discoveries, whether that’s finding a way to detect malaria in minutes, or contributing to the biggest particle physics experiment in the world: the Large Hadron Collider.
Excellence in teaching
Our research-led approach is one of the reasons why a degree from the University of Glasgow is so prized, but our students also benefit from opportunities to study abroad, improve their employability, take part in work placements and explore a wide range of social activities. As a result, we attract scholars from 120 countries around the world.
Rated third for international student satisfaction among universities participating in the International Student Barometer Summer 2012,we ensure that our students graduate equipped with the skills they need to compete in a global workplace. The friendships and networks they make at Glasgow can last a lifetime - we are in touch with 118,000 alumni in 162countries.
Working with others
We know we cannot succeed alone, which is why we work with partners and friends in Glasgow, Scotland and beyond. Whether we’re sharing expertise on climate change and disease prevention in developing countries, or offering investment to kick-start new collaborations with growing companies in Scotland, the benefits of our ever-expanding network of friendships and partnerships are wide-ranging and reciprocal. The University of Glasgow is a founder member of Universitas 21, an international grouping of universities dedicated to setting worldwide standards for higher education. We are also a member of IRUN (International Research Universities Network) – an international network of broad-based research universities.",18415.0,9025.0,9415.0,55.833332,-4.25,https://www.shanghairanking.cn/_uni/logo-jpg/f072bed2b00.jpg
Zhejiang University of Technology,China,Hangzhou,27426.0,zjut.edu.cn,447,"Hangzhou & Quzhou, Zhejiang, People's Republic of China",1953.0,,18965.0,7636.0,1438.0,30.29365,120.16142,https://www.shanghairanking.cn/_uni/logo/19897860.png
Yunnan University,China,Kunming,27405.0,ynu.edu.cn,661,,1922.0,,16816.0,9374.0,1409.0,25.038889,102.71833,https://www.shanghairanking.cn/_uni/logo/31586909.png
University of Science and Technology Beijing,China,Beijing,27377.0,ustb.edu.cn,297,"No.30, Xueyuan Road, Haidian District, Beijing, China",1952.0,"USTB was founded in 1952 during a nationwide reorganization of higher education systems, which brought together the best departments in the fields of mining, metallurgy and materials from six eminent universities in China, like Beiyang University and Tsinghua University. At that time, USTB was named as “Beijing Institute of Iron and Steel Technology”, and in 1988, it got the present name “University of Science and Technology Beijing”.
USTB is strong in engineering, especially in materials science and engineering. While engineering is the focus, there are also programs in basic science, management, humanities, economics and law. Over half a century of remarkable growth, it has developed into one of the most influential key national universities in China, and is one of the first universities in China to establish Graduate Schools. USTB is part of the 211 project (which is designed to develop a hundred first-rate universities in the 21st century), and was selected for the “Platform for National Advanced Disciplines Innovation” program in 2006.
USTB consists of 16 schools, such as Materials Science and Engineering, Civil & Environmental Engineering, Metallurgical Engineering, Mechanical Engineering, etc. It has 18 full span areas conferring doctoral degrees, and offers 73 doctoral programs and 121 Master’s programs. The four first class disciplines—Metallurgical Engineering, Materials Science and Engineering, Mining, History of Science and Technology—were ranked top three among Chinese universities. Safety Engineering, Mechanical Engineering, and Thermal Power Engineering were ranked highly. USTB is particularly strong in Control Science and Engineering, Mechanics, Computer Science and Technology, Physics, Chemistry and Management. Emerging disciplines, such as Software Engineering, Environmental Engineering, Communication Engineering and Electronic Information are developing with vitality.
USTB has maintained close collaboration with local communities, extending the university’s social responsibility and developing further opportunities for worldwide enterprises in research, academic and educational fields. It has so far entered into partnership with nearly 130 foreign universities and institutes from different countries and districts, including RWTH Aachen University in Germany, Oakridge National Laboratory in USA, and Oxford University in UK.
USTB is now working hard towards its goal of becoming one of the top-ranking research universities in China and an internationally renowned higher education institute with its own distinguishing features. While retaining its current leading position in metallurgy and materials sciences, it is making great efforts to develop other areas and to achieve a balanced disciplinary structure in engineering and technology, science, management, economics, social sciences, humanities and law in the near future.",13661.0,10440.0,1082.0,39.92889,116.388336,https://www.shanghairanking.cn/_uni/logo/96310183.png
Lund University,Sweden,Lund,27266.0,lu.se,132,Paradisgatan 2,1666.0,"Lund University was founded in 1666 and is repeatedly ranked among the world’s top 100 universities. The University has 40 000 students and more than 8 000 staff based in Lund, Helsingborg and Malmö. We are united in our efforts to understand, explain and improve our world and the human condition.
Lund is the most popular study location in Sweden. The University offers one of the broadest ranges of programmes and courses in Scandinavia, based on cross-disciplinary and cutting-edge research. The compact university campus encourages networking and creates the conditions for scientific breakthroughs and innovations. The University has a distinct international profile, with partner universities in 70 countries.
Lund University has an annual turnover of more than EUR 830 million, of which two-thirds go to research in our nine faculties, enabling us to offer one of the strongest and broadest ranges of research in Scandinavia.
The establishment of the world-leading facilities MAX IV and ESS will have a major impact on future scientific and industrial development in both materials science and life science. MAX IV is the leading synchrotron radiation facility in the world, while the European research facility ESS will be the world’s most powerful neutron source when it opens for research in 2023. Adjacent to these facilities, Science Village Scandinavia is also being developed into a meeting place and testing environment for research, education and entrepreneurship.",,,5180.0,55.7,13.183333,https://www.shanghairanking.cn/_uni/logo/165fbbe8f.png
Karlsruhe Institute of Technology,Germany,Karlsruhe,27255.0,kit.edu,253,Kaiserstr. 12,1825.0,"The Karlsruhe Institute of Technology (KIT) is The Research University in the Helmholtz Association. Its major research areas are based on long-term societal challenges and seek to develop sustainable solutions to urgent future questions. The objective is to contribute importantly, by top-level research, teaching, and innovation, to the success of major societal projects, such as the “energiewende,” or safe and sustainable mobility or intelligent technologies for information society. The focus is on energy, mobility, and information. Other major topics are climate and environment; man and technology; and elementary particle and astroparticle physics. More than 9,300 staff members, of whom about 6,000 are engaged in science and higher education, and about 25,000 students make the KIT one of Europe’s largest institutions for research and higher education.",,,5996.0,49.004723,8.385833,https://www.shanghairanking.cn/_uni/logo/673bb8044.png
National Taiwan University,China,Taipei,27254.0,ntu.edu.tw,175,"No. 1, Sec. 4, Roosevelt Road,",1928.0,"NTU's institutional predecessor was Taihoku Imperial University, founded in 1928 by the Japanese colonial administration. The first president was Shidehara Tan Tairaka Hiroshi. In 1945, the Republic of China won the war of resistance against Japan, and Taiwan was handed over to the Nationalist government of China. On November 15 of that year, Taihoku Imperial University was formally transferred to Chinese administration and renamed as National Taiwan University, with Dr. Tsung-lo Lo appointed as the first President.
During the Japanese occupation, the University consisted of two academic divisions: the Literature and Politics division and the Science and Agriculture division, with about 60 students enrolled each semester. The Medical division was added in 1936, followed by the Engineering division in 1943. Additionally, the University included the affiliated Agriculture and Forestry division, the affiliated Medical special division, a Tropical Medicine research institute and a preparatory school. Also, in 1943 the Southern Humanities research institute and the Southern Resource research institute were added. At that time, each division operated according to the lecture system, with a full-time Professor in charge of a faculty of associate professors, lecturers, teaching assistants and staff. These divisions and institutes were financially independent and had their own libraries. By 1945, the university expanded to five divisions, including Literature and Politics, Science, Agriculture, Medicine and Engineering, with a total enrollment of 382 students.
After restructuring in accordance with the ROC academic system in 1945, academic departments were established and the former divisions were renamed Colleges. The Literature and Politics division was divided into the College of Liberal Arts and the College of Law. Additionally, colleges of Science, Medicine, Engineering and Agriculture were established. Initially, there were six colleges with 22 departments. In 1945, student enrollment was 585. In the following years, the departments and colleges expanded in faculty and hardware in step with growing budgets and rising social expectations. In 1960, the night school was initiated on a trial basis, and in 1967 a new night school was established. In 1987, the College of Management was established, followed by the College of Public Health in 1993 and the College of Electrical Engineering in 1997. The College of Electrical Engineering was later rechristened the College of Computer Science and Electrical Engineering; in 1999, the College of Law was renamed the College of Social Sciences, and the Night Division and the Center for Continuing Education were combined to form the School for Professional and Continuing Studies. In 2002, the College of Agriculture was renamed the College of Bio-resources and Agriculture, and in 2002 a College of Life Sciences was added. Now, the university has 11 colleges, with 54 departments and 108 graduate institutes, plus over 50 national and university-level research centers. The total number of students, including those enrolled at the School of Professional and Continuing Studies, has grown to over 32,000, including over 17,000 university students and 15,000 graduate students. Now, the number of graduate students at NTU almost equals the number of university students, which indicates that NTU has successfully been transformed into a research university.",,,2997.0,25.039167,121.525,https://www.shanghairanking.cn/_uni/logo/075ca4af3.png
Université libre de Bruxelles,Belgium,Brussels,27194.0,ulb.ac.be,183,50 avenue F.D. Roosevelt,1834.0,"In the heart of Europe, just 1h20 by train from Paris, 1h30 from Amsterdam, and 1h50 from London and Cologne, the city of Brussels offers all the advantages of a capital city and the quality of life of a large and lively town.
As a multicultural university with one third of students and researchers from abroad, international relations is a daily reality for the Université libre de Bruxelles, just like the city of Brussels itself, one of the world's most cosmopolitan cities. Its outward-looking position with regard to Europe and the world has resulted in a number of agreements, collaborations and special partnerships being set up with some of the world's top universities.
Four Nobel Prizes, one Fields Medal, three Wolf Prizes and two Marie Curie Prizes are further evidence of the University's longstanding tradition of excellence. The Université libre de Bruxelles is an active member of the Research Area and is involved in almost 80 projects financed by the 6th and 7th European Framework Programmes. Over the past few years, it has obtained 7 starting Grants from the European Research Area (ERC) to finance research in Medicine, Economics, Mathematics, Sociology, or Political Science, as well as 2 Advanced Grants in Artificial Intelligence and Physics. In addition, the University's Institute for European Studies is recognized as a “Jean Monnet European research centre” for its work on European integration.
The Université libre de Bruxelles has 13 faculties, schools and specialized institutes that cover all the disciplines, closely combining academic input and research. It offers almost 40 undergraduate programs and 235 graduate programs. It also partners 20 Doctoral schools, with almost 1,600 PhDs in progress. One of the University's main aims is to give its students a solid foundation in critical thinking as well as a taste for research, while at the same time catering to the needs of new publics.
As a French-speaking university, most of the courses at the Université libre de Bruxelles are delivered in French. However, a growing number of Masters programs are partly or entirely delivered in English. The University offers a wide range of French courses, prior to and during the academic year, to help its international students improve their language skills.
The Université libre de Bruxelles has developed a large spectrum of students upport initiatives: e.g., financial and psychological support, guidance, French classes, etc.
Since its foundation in 1834, the Université libre de Bruxelles has been closely involved in the ongoing debate on critical thinking and freedom. This has included outspoken opposition to dictatorships and other nationalist abuses, the promotion of equal opportunities and a raft of other social issues. Based on the principle of free enquiry that postulates independent reasoning and the rejection of all dogma, the University has retained its original ideals as a free institution that is firmly engaged in the defence of democratic and human values.
More on http://www.ulbruxelles.be/ulb/presentation/uk.html",,,9245.0,50.833332,4.333333,https://www.shanghairanking.cn/_uni/logo/64cca2113.png
University of Texas at San Antonio,United States,San Antonio,27187.0,utsa.edu,686,One UTSA Circle,1969.0,"The University of Texas at San Antonio (UTSA) is redefining higher education as a next-generation
Hispanic-thriving university where students from all backgrounds can excel. As the largest university in
San Antonio with more than 34,000 students, UTSA is one of approximately 20 universities nationwide
classified as both Hispanic Serving Institutions and Tier One for research excellence. With a focus on
student success and research excellence, UTSA is serving as a model for the urban-serving public
universities of the future. Through the transformational learning experiences that we provide, UTSA is
creating bold futures for our students, the citizens of San Antonio and beyond.
The University of Texas at San Antonio ranks No. 9 in the nation in the number of undergraduate degrees awarded to Hispanics, according to 2019 Diverse Issues in Higher Education magazine rankings.
The university continues to make great strides in its five areas of research and academic excellence: health, energy and the environment, security, sustainability, and human and social development. To that end, the university partners with a variety of local research organizations and maintains research collaborations across the nation and abroad.
The university provides access and opportunity for large numbers of historically underserved students. Nearly 45 percent of UTSA's students will be the first in their family to graduate college with a bachelor's degree or higher.",24427.0,2760.0,874.0,29.42389,-98.49333,https://www.shanghairanking.cn/_uni/logo/0b2ad8713.png
Stockholm University,Sweden,Stockholm,27185.0,su.se,133,Universitetsvägen 10 A,1878.0,"Stockholm University, located in Sweden's capital city, is the region’s centre for higher education and research in humanities, law, the natural and social sciences, and a focus for the work of leading international researchers.With over 50,000 undergraduate and master's students, 1,800 doctoral students and 6,000 employees, Stockholm University is one of the largest universities in Sweden and one of the largest employers in the capital. People of many different nationalities, with contacts throughout the world, contribute to the creation of a highly international atmosphere at Stockholm University.",,,3805.0,59.333332,18.05,https://www.shanghairanking.cn/_uni/logo/bd0e71ccb.png
Nanjing University of Posts and Telecommunications,China,Nanjing,27182.0,njupt.edu.cn,555,"Nanjing, Jiangsu, China",1942.0,,21765.0,5003.0,552.0,32.06167,118.77778,https://www.shanghairanking.cn/_uni/logo/19754745.png
University of Liverpool,United Kingdom,Liverpool,27130.0,liverpool.ac.uk,124,Brownlow Hill,1881.0,"Founded in 1881 as the original ‘redbrick’, the University of Liverpool is one of the UK’s leading research-intensive higher education institutions with an annual turnover of £614.9 million, including £145 million for research. Consistently ranked in the top 200 universities worldwide, we are a member of the prestigious Russell Group of the UK’s leading research universities and have a global reach and influence that reflects our academic heritage as one of the country’s largest civic institutions. The University has 31,000 students, 8,000 of whom travel from all over the world to study here, and a thriving community of 270,000 alumni in 187 countries. Our global focus has led to the establishment of a university in Suzhou near Shanghai, and we are recognised as one of Europe’s leading providers of wholly online postgraduate degrees, with over 10,000 students studying for Liverpool degrees around the world.
Alumni include nine Nobel prize winners, the first female poet laureate and the first female Director General of MI5, alongside those who have led the way in fields from nuclear disarmament to the life cycle of malarial parasites.
(www.liverpool.ac.uk/about)",21640.0,5490.0,8890.0,53.416668,-3.0,https://www.shanghairanking.cn/_uni/logo/d951c4194.png
University of Ferrara,Italy,Ferrara,27123.0,unife.it,656,"Via Ariosto, 35 ",1391.0,"The University of Ferrara is a very old, strong, structured and well-established institution, founded in 1391 by Marquis Alberto V d’Este upon the authorisation issued by Pope Boniface IX with the papal Bull “In Supreme Dignitatis”. Its identity is rooted in the historical and cultural tradition that welcomed and formed illustrious figures such as Copernico, Paracelso and Giovanni Pico della Mirandola.
In the University of Ferrara education and research are of the highest quality. With its 12 Departments, the Faculty of Medicine, Pharmacy and Prevention and 31 centres, the University of Ferrara offers 63 degree courses and numerous research and post-graduate courses.
University life takes place in modern buildings like the Science and Technology Park and the Chemical and Bio Medical Centre and in ancient prestigious artistic and historical buildings.
The University of Ferrara always occupies high positions in the main rankings regarding teaching activity and research. This is due to the quality of the many services dedicated to students and the numerous research activities conducted every day in different scientific domains and disciplines.
The University offers numerous services: libraries, study halls and laboratories with wireless access and a team of people dedicated to providing reception services, guidance, tutoring and academic support, also to international students, who are choosing the University of Ferrara in growing numbers, thus demonstrating its international character.
Moreover it can boast numerous international partnerships with foreign universities, which enable students and researchers to pursue their activities in Ferrara or abroad with the same opportunities.
A great deal of attention is devoted to interaction with the world of work. The university’s job placement programme is among the first of its kind in Italy.",19169.0,7954.0,1283.0,44.833332,11.583333,https://www.shanghairanking.cn/_uni/logo/bc02ceb50.png
Sungkyunkwan University,Korea,Seoul,26953.0,skku.edu,186,"25-2, Sungkyunkwan-ro, Jongno-gu",1398.0,"Sungkyunkwan University (SKKU) is a world-class institution of higher education that has existed for more than six centuries. Since its founding as a royal Confucian academy in 1398 at the dawn of the Joseon Dynasty (1392-1910), SKKU has demonstrated strong academic leadership. Contemporary SKKU has embraced globalization and emerged as a leading university in Asia and the world. In fact, SKKU actively encourages international collaboration through exchange of faculty and students, and the development of cutting-edge research and educational programs with its global partners.
The name “Sungkyunkwan” is synonymous with both tradition and innovation. The literal meaning of the university’s name is, “An institution for building a harmonious society of enlightened human beings.” The founding philosophy of Sungkyunkwan was needed in the past just as much as it is needed in today’s technologically advanced society. The university’s 4,706 faculty members are committed to quality teaching and research; offering students a challenging environment for intellectual and personal growth.
As the oldest university in East Asia and Korea’s top higher educational institution for centuries, Sungkyunkwan generated countless graduates that shaped the nation’s history and culture. SKKU's motto, “Su-Gi-Chi-In”, which means “Benevolence, Righteousness, Propriety, Wisdom”, teaches that the university’s students should strive to improve themselves and contribute to society. This ideology is the fundamental principle by which the university has fostered so many influential leaders, thus contributing to the development of Korean society. SKKU aims to educate future global leaders equipped with these essential values so that it will further contribute to the advancement of all of humanity. Sungkyunkwan University continuously integrates its founding philosophy with modern technology in order to cultivate talented individuals capable of leading society into a brighter future.",18882.0,8071.0,5082.0,37.5985,126.9783,https://www.shanghairanking.cn/_uni/logo/13a2c1830.png
Renmin University of China,China,Beijing,26809.0,ruc.edu.cn,443,"zhongguancun street 59, Beijing, China",1937.0,,10197.0,12192.0,1663.0,39.92889,116.388336,https://www.shanghairanking.cn/_uni/logo/88617939.png
East China University of Science and Technology,China,Shanghai,26659.0,ecust.edu.cn,366,"No.130, Meilong Road, Shanghai, China",1952.0,"As a prominent research-intensive university established in 1952 directly authorized by Chinese Ministry of Education, East China University of Science and Technology (ECUST) has been making every endeavor to feature itself with world-class teaching and research capacity for the past decades. It has a strong tradition of working with industries.
The university is now developing into a multi-disciplinary higher educational institution with a balanced curriculum of science, engineering, economics, humanities, arts and law spreading among 15 academic schools. ECUST has 3 campuses in the city of Shanghai, providing an academic and cross-cultural environment for almost 26,400 students and 3,500 staff members from home and abroad.
The university has been devoted itself to establishing partnerships with like-mind organizations by sharing common ground and by exchanging diverse resources in order to guide our faculty and students to a higher academic platform and a wider international landscape. We are proud to have the disciplines of chemistry, materials science, engineering, biology and biochemistry being ranked among Top1% according to Essential Science Indicators under a global benchmark. (Updated on May 1 2013 by ESI)
Today, we are running forward, trying to develop avant-garde disciplines for regional development and work with prestigious global partners to increase core competitiveness, to bring progressive technological solutions and to create new concepts to the sustainability of the community.",16836.0,9823.0,356.0,31.045555,121.39972,https://www.shanghairanking.cn/_uni/logo/93042584.png
University of Missouri–Columbia,United States,Columbia,26643.0,missouri.edu,244,105 Jesse Hall,1839.0,"The University of Missouri was founded in 1839 as the first U.S. public university west of the Mississippi River. Today with an enrollment of around 30,000 students, 8,000 full-time employees and ovear 315,000 alumni worldwide, Missouri’s flagship university is a $2-plus billion enterprise with global connections.
MU is a member of the Association of American Universities, the nation’s most prestigious group of 60 U.S. public and private universities. Membership recognizes excellence in teaching and research endeavors and includes only the nation’s top-tier institutions.
The Carnegie Foundation for the Advancement of Teaching classifies MU among American universities that offer the most educational opportunities and the highest level of instruction and research activity. MU offers more than 300 degree programs through 13 colleges and schools. MU is home to the world’s first School of Journalism and is one of only six universities nationwide with a school of medicine, veterinary medicine, law and a nuclear research reactor on one campus. The university also has great strengths in agriculture, engineering and the basic sciences.
MU’s mission is to improve the quality of life and serve the public good through teaching, research, service and economic development. The university serves and unifies the state via extension programs in more than 100 locations and through a comprehensive health system that includes four hospitals, numerous clinics and health care experts who conduct life-changing research and educate tomorrow’s physicians, nurses and allied health specialists.
MU students come from every state in the nation and from more than 100 countries, and a strong international community thrives in Columbia. MU professors take their work around the world via international research partnerships and students participate in Missouri’s largest study abroad program.
MU is known for collaborative discovery where faculty and students work together to solve problems and improve lives. The university’s nationally prominent faculty bring discoveries into the classroom, publish an average of 2,000 scholarly articles and books each year and spend $205 million annually on scientific research. A member of the Southeastern Conference, MU’s Division I-A athletic program has more than 500 student-athletes in 20 sports, many ranked in the top 25 nationally.
Finally, the Univresity of Missouri is fortunate to be located in one of America's most livable cities. Ranked by the American Institute for Economic Research as one of the nation’s top 10 college towns, Columbia combines small-town comforts, community spirit and a low cost of living with big-city culture, activities and resources. Our city of about 110,000 people lies midway between Missouri’s largest metro areas: St. Louis and Kansas City. It is packed with restaurants and entertainment venues; home to multiple parks and outdoor recreation sites such as Rock Bridge State Park and the MKT Trail; and hosts more than a dozen annual cultural festivals. Money magazine, Fortune magazine, U.S. News & World Report, Men’s Journal, MSN.com and others have all named Columbia one of the best places in the country to live.",21978.0,4665.0,1481.0,38.951668,-92.333885,https://www.shanghairanking.cn/_uni/logo/84de5e5b1.png
