"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_11","articles_index_terms_author_terms_terms_12","articles_index_terms_author_terms_terms_13","articles_index_terms_author_terms_terms_14","articles_index_terms_author_terms_terms_15","articles_index_terms_author_terms_terms_16","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume" 
"This article presents SoccerStories, a visualization interface to support analysts in exploring soccer data and communicating interesting insights. Currently, most analyses on such data relate to statistics on individual players or teams. However, soccer analysts we collaborated with consider that quantitative analysis alone does not convey the right picture of the game, as context, player positions and phases of player actions are the most relevant aspects. We designed SoccerStories to support the current practice of soccer analysts and to enrich it, both in the analysis and communication stages. Our system provides an overview+detail interface of game phases, and their aggregation into a series of connected visualizations, each visualization being tailored for actions such as a series of passes or a goal attempt. To evaluate our tool, we ran two qualitative user studies on recent games using SoccerStories with data from one of the world's leading live sports data providers. The first study resulted in a series of four articles on soccer tactics, by a tactics analyst, who said he would not have been able to write these otherwise. The second study consisted in an exploratory follow-up to investigate design alternatives for embedding soccer phases into word-sized graphics. For both experiments, we received a very enthusiastic feedback and participants consider further use of SoccerStories to enhance their current workflow.","https://ieeexplore.ieee.org/document/6634087/","LOCKED","6634087","INRIA and Universite Paris-Sud","https://ieeexplore.ieee.org/author/37077505300","1","Charles Perin","37077505300","INRIA","https://ieeexplore.ieee.org/author/37681739300","2","Romain Vuillemot","37681739300","INRIA","https://ieeexplore.ieee.org/author/37407972900","3","Jean-Daniel Fekete","37407972900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","1","Journals","10.1109/TVCG.2013.192","2515","https://ieeexplore.ieee.org/document/6634087/","Games","Data visualization","","","","","","","","Layout","Navigation","visual aggregation","Visual knowledge discovery","visual knowledge representation","sport analytics","","","Games","Data visualization","Layout","Navigation","","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634087","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","53","2506","SoccerStories: A Kick-off for Visual Soccer Analysis","19"
"Social network analysis (SNA) is becoming increasingly concerned not only with actors and their relations, but also with distinguishing between different types of such entities. For example, social scientists may want to investigate asymmetric relations in organizations with strict chains of command, or incorporate non-actors such as conferences and projects when analyzing coauthorship patterns. Multimodal social networks are those where actors and relations belong to different types, or modes, and multimodal social network analysis (mSNA) is accordingly SNA for such networks. In this paper, we present a design study that we conducted with several social scientist collaborators on how to support mSNA using visual analytics tools. Based on an openended, formative design process, we devised a visual representation called parallel node-link bands (PNLBs) that splits modes into separate bands and renders connections between adjacent ones, similar to the list view in Jigsaw. We then used the tool in a qualitative evaluation involving five social scientists whose feedback informed a second design phase that incorporated additional network metrics. Finally, we conducted a second qualitative evaluation with our social scientist collaborators that provided further insights on the utility of the PNLBs representation and the potential of visual analytics for mSNA.","https://ieeexplore.ieee.org/document/6634091/","LOCKED","6634091","School of Electrical and Computer Engineering, Purdue University","https://ieeexplore.ieee.org/author/38474165000","1","Sohaib Ghani","38474165000","School of Industrial Engineering, Purdue University","https://ieeexplore.ieee.org/author/38235486800","2","Bum Chul Kwon","38235486800","Brian Lamb School of Communication, Purdue University","https://ieeexplore.ieee.org/author/37077483500","3","Seungyoon Lee","37077483500","School of Industrial Engineering, Purdue University","https://ieeexplore.ieee.org/author/38238292000","4","Ji Soo Yi","38238292000","School of Electrical and Computer Engineering, Purdue University","https://ieeexplore.ieee.org/author/37295438200","5","Niklas Elmqvist","37295438200","","","","","","","","","","","","","","","","","","","","","37","0","Journals","10.1109/TVCG.2013.223","2041","https://ieeexplore.ieee.org/document/6634091/","Social network services","Visual analytics","multimodal graphs","interaction","","","","","","Data visualization","Complexity theory","Design methodology","User centered design","qualitative evaluation","Design study","user-centered design","node-link diagrams","Social network services","Visual analytics","Data visualization","Complexity theory","Design methodology","User centered design","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634091","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","54","2032","Visual Analytics for Multimodal Social Network Analysis: A Design Study with Social Scientists","19"
"We propose a novel approach of distance-based spatial clustering and contribute a heuristic computation of input parameters for guiding users in the search of interesting cluster constellations. We thereby combine computational geometry with interactive visualization into one coherent framework. Our approach entails displaying the results of the heuristics to users, as shown in Figure 1, providing a setting from which to start the exploration and data analysis. Addition interaction capabilities are available containing visual feedback for exploring further clustering options and is able to cope with noise in the data. We evaluate, and show the benefits of our approach on a sophisticated artificial dataset and demonstrate its usefulness on real-world data.","https://ieeexplore.ieee.org/document/6634158/","LOCKED","6634158","IBM Research – Haifa / Israel, Smarter Decision Solutions Group","https://ieeexplore.ieee.org/author/38016629500","1","Eli Packer","38016629500","IBM Research – Haifa / Israel, Smarter Decision Solutions Group","https://ieeexplore.ieee.org/author/37077107200","2","Peter Bak","37077107200","Helsinki Institute for Information Technology, Computer Science Department, University of Helsinki, Finland","https://ieeexplore.ieee.org/author/37077404500","3","Mikko Nikkilä","37077404500","Helsinki Institute for Information Technology, Computer Science Department, University of Helsinki, Finland","https://ieeexplore.ieee.org/author/37947184100","4","Valentin Polishchuk","37947184100","IBM Research – Haifa / Israel, Smarter Decision Solutions Group","https://ieeexplore.ieee.org/author/37077662800","5","Harold J. Ship","37077662800","","","","","","","","","","","","","","","","","","","","","9","0","Journals","10.1109/TVCG.2013.224","2188","https://ieeexplore.ieee.org/document/6634158/","Shape analysis","Clustering algorithms","","","","","","","","Noise measurement","Visual analytics","Data visualization","Image color analysis","Heuristic algorithms","k-order a-(alpha)-shapes","Heuristic-based spatial clustering","iInteractive visual clustering","Shape analysis","Clustering algorithms","Noise measurement","Visual analytics","Data visualization","Image color analysis","Heuristic algorithms","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634158","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","55","2179","Visual Analytics for Spatial Clustering: Using a Heuristic Approach for Guided Exploration","19"
"Distributed systems are complex to develop and administer, and performance problem diagnosis is particularly challenging. When performance degrades, the problem might be in any of the system's many components or could be a result of poor interactions among them. Recent research efforts have created tools that automatically localize the problem to a small number of potential culprits, but research is needed to understand what visualization techniques work best for helping distributed systems developers understand and explore their results. This paper compares the relative merits of three well-known visualization approaches (side-by-side, diff, and animation) in the context of presenting the results of one proven automated localization technique called request-flow comparison. Via a 26-person user study, which included real distributed systems developers, we identify the unique benefits that each approach provides for different problem types and usage modes.","https://ieeexplore.ieee.org/document/6634197/","LOCKED","6634197","Carnegie Mellon University","https://ieeexplore.ieee.org/author/37565269300","1","Raja R. Sambasivan","37565269300","Carnegie Mellon University","https://ieeexplore.ieee.org/author/37077242300","2","Ilari Shafer","37077242300","Carnegie Mellon University","https://ieeexplore.ieee.org/author/38252305900","3","Michelle L. Mazurek","38252305900","Carnegie Mellon University","https://ieeexplore.ieee.org/author/37275583000","4","Gregory R. Ganger","37275583000","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","Journals","10.1109/TVCG.2013.233","2475","https://ieeexplore.ieee.org/document/6634197/","Distributed processing","Human factors","","","","","","","","Layout","Training","visualization","Distributed systems","human factors","problem diagnosis","","","Distributed processing","Human factors","Layout","Training","","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634197","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","56","2466","Visualizing Request-Flow Comparison to Aid Performance Diagnosis in Distributed Systems","19"
"Spectral clustering is a powerful and versatile technique, whose broad range of applications includes 3D image analysis. However, its practical use often involves a tedious and time-consuming process of tuning parameters and making application-specific choices. In the absence of training data with labeled clusters, help from a human analyst is required to decide the number of clusters, to determine whether hierarchical clustering is needed, and to define the appropriate distance measures, parameters of the underlying graph, and type of graph Laplacian. We propose to simplify this process via an open-box approach, in which an interactive system visualizes the involved mathematical quantities, suggests parameter values, and provides immediate feedback to support the required decisions. Our framework focuses on applications in 3D image analysis, and links the abstract high-dimensional feature space used in spectral clustering to the three-dimensional data space. This provides a better understanding of the technique, and helps the analyst predict how well specific parameter settings will generalize to similar tasks. In addition, our system supports filtering outliers and labeling the final clusters in such a way that user actions can be recorded and transferred to different data in which the same structures are to be found. Our system supports a wide range of inputs, including triangular meshes, regular grids, and point clouds. We use our system to develop segmentation protocols in chest CT and brain MRI that are then successfully applied to other datasets in an automated manner.","https://ieeexplore.ieee.org/document/6634089/","LOCKED","6634089","University of Bonn","https://ieeexplore.ieee.org/author/37606352800","1","Thomas Schultz","37606352800","University of Chicago","https://ieeexplore.ieee.org/author/37282742400","2","Gordon L. Kindlmann","37282742400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","0","Journals","10.1109/TVCG.2013.181","2108","https://ieeexplore.ieee.org/document/6634089/","Image segmentation","Three-dimensional displays","high-dimensional embeddings","linked views","","","","","","Eigenvalues and eigenfunctions","Laplace equations","Image analysis","Data visualization","Clustering","programming with example","Image segmentation","spectral clustering","Image segmentation","Three-dimensional displays","Eigenvalues and eigenfunctions","Laplace equations","Image analysis","Data visualization","Clustering","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634089","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","57","2100","Open-Box Spectral Clustering: Applications to Medical Image Analysis","19"
"As increasing volumes of urban data are captured and become available, new opportunities arise for data-driven analysis that can lead to improvements in the lives of citizens through evidence-based decision making and policies. In this paper, we focus on a particularly important urban data set: taxi trips. Taxis are valuable sensors and information associated with taxi trips can provide unprecedented insight into many different aspects of city life, from economic activity and human behavior to mobility patterns. But analyzing these data presents many challenges. The data are complex, containing geographical and temporal components in addition to multiple variables associated with each trip. Consequently, it is hard to specify exploratory queries and to perform comparative analyses (e.g., compare different regions over time). This problem is compounded due to the size of the data-there are on average 500,000 taxi trips each day in NYC. We propose a new model that allows users to visually query taxi trips. Besides standard analytics queries, the model supports origin-destination queries that enable the study of mobility across the city. We show that this model is able to express a wide range of spatio-temporal queries, and it is also flexible in that not only can queries be composed but also different aggregations and visual representations can be applied, allowing users to explore and compare results. We have built a scalable system that implements this model which supports interactive response times; makes use of an adaptive level-of-detail rendering strategy to generate clutter-free visualization for large results; and shows hidden details to the users in a summary through the use of overlay heat maps. We present a series of case studies motivated by traffic engineers and economists that show how our model and system enable domain experts to perform tasks that were previously unattainable for them.","https://ieeexplore.ieee.org/document/6634127/","LOCKED","6634127","NYU Poly","https://ieeexplore.ieee.org/author/38018628600","1","Nivan Ferreira","38018628600","NYU Poly","https://ieeexplore.ieee.org/author/38548192600","2","Jorge Poco","38548192600","NYU CUSP","https://ieeexplore.ieee.org/author/37549893300","3","Huy T. Vo","37549893300","NYU Poly","https://ieeexplore.ieee.org/author/37283149600","4","Juliana Freire","37283149600","NYU Poly and NYU CUSP","https://ieeexplore.ieee.org/author/37275249200","5","Cláudio T. Silva","37275249200","","","","","","","","","","","","","","","","","","","","","262","0","Journals","10.1109/TVCG.2013.226","2158","https://ieeexplore.ieee.org/document/6634127/","Visual analytics","Cities and towns","NYC taxis","","","","","","","Data visualization","Data models","Analytical models","Time factors","Mathematical model","visual exploration","Spatio-temporal queries","urban data","Visual analytics","Cities and towns","Data visualization","Data models","Analytical models","Time factors","Mathematical model","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634127","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","58","2149","Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips","19"
"Visualizing symmetric patterns in the data often helps the domain scientists make important observations and gain insights about the underlying experiment. Detecting symmetry in scalar fields is a nascent area of research and existing methods that detect symmetry are either not robust in the presence of noise or computationally costly. We propose a data structure called the augmented extremum graph and use it to design a novel symmetry detection method based on robust estimation of distances. The augmented extremum graph captures both topological and geometric information of the scalar field and enables robust and computationally efficient detection of symmetry. We apply the proposed method to detect symmetries in cryo-electron microscopy datasets and the experiments demonstrate that the algorithm is capable of detecting symmetry even in the presence of significant noise. We describe novel applications that use the detected symmetry to enhance visualization of scalar field data and facilitate their exploration.","https://ieeexplore.ieee.org/document/6634095/","LOCKED","6634095","Indian Institute of Science","https://ieeexplore.ieee.org/author/38258503300","1","Dilip Mathew Thomas","38258503300","Indian Institute of Science","https://ieeexplore.ieee.org/author/37278509300","2","Vijay Natarajan","37278509300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","0","Journals","10.1109/TVCG.2013.148","2672","https://ieeexplore.ieee.org/document/6634095/","Computer graphics","Robustness","symmetry detection","","","","","","","Geometry","Histograms","Symmetric matrices","Feature extraction","data exploration","Scalar field visualization","extremum graph","Morse decomposition","Computer graphics","Robustness","Geometry","Histograms","Symmetric matrices","Feature extraction","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634095","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","59","2663","Detecting Symmetry in Scalar Fields Using Augmented Extremum Graphs","19"
"We enhance a user-centered design process with techniques that deliberately promote creativity to identify opportunities for the visualization of data generated by a major energy supplier. Visualization prototypes developed in this way prove effective in a situation whereby data sets are largely unknown and requirements open - enabling successful exploration of possibilities for visualization in Smart Home data analysis. The process gives rise to novel designs and design metaphors including data sculpting. It suggests: that the deliberate use of creativity techniques with data stakeholders is likely to contribute to successful, novel and effective solutions; that being explicit about creativity may contribute to designers developing creative solutions; that using creativity techniques early in the design process may result in a creative approach persisting throughout the process. The work constitutes the first systematic visualization design for a data rich source that will be increasingly important to energy suppliers and consumers as Smart Meter technology is widely deployed. It is novel in explicitly employing creativity techniques at the requirements stage of visualization design and development, paving the way for further use and study of creativity methods in visualization design.","https://ieeexplore.ieee.org/document/6634166/","LOCKED","6634166","giCentre, City University London","https://ieeexplore.ieee.org/author/37077419200","1","Sarah Goodwin","37077419200","giCentre, City University London","https://ieeexplore.ieee.org/author/37605079900","2","Jason Dykes","37605079900","Centre for Creativity in Professional Practice, City University London","https://ieeexplore.ieee.org/author/37378834800","3","Sara Jones","37378834800","giCentre, City University London","https://ieeexplore.ieee.org/author/38233564700","4","Iain Dillingham","38233564700","Centre for Creativity in Professional Practice, City University London","https://ieeexplore.ieee.org/author/37077583000","5","Graham Dove","37077583000","Centre for Creativity in Professional Practice, City University London","https://ieeexplore.ieee.org/author/37077816200","6","Alison Duffy","37077816200","giCentre, City University London","https://ieeexplore.ieee.org/author/37077799700","7","Alexander Kachkaev","37077799700","giCentre, City University London","https://ieeexplore.ieee.org/author/37590960700","8","Aidan Slingsby","37590960700","giCentre, City University London","https://ieeexplore.ieee.org/author/37399045100","9","Jo Wood","37399045100","33","0","Journals","10.1109/TVCG.2013.145","2525","https://ieeexplore.ieee.org/document/6634166/","Data visualization","Home appliances","","","","","","","","Smart homes","Data models","Prototypes","energy consumption","Creativity techniques","user-centered design","data visualization","smart home","Data visualization","Home appliances","Smart homes","Data models","Prototypes","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634166","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","60","2516","Creative User-Centered Visualization Design for Energy Analysts and Modelers","19"
"Scientists use DNA sequence differences between an individual's genome and a standard reference genome to study the genetic basis of disease. Such differences are called sequence variants, and determining their impact in the cell is difficult because it requires reasoning about both the type and location of the variant across several levels of biological context. In this design study, we worked with four analysts to design a visualization tool supporting variant impact assessment for three different tasks. We contribute data and task abstractions for the problem of variant impact assessment, and the carefully justified design and implementation of the Variant View tool. Variant View features an information-dense visual encoding that provides maximal information at the overview level, in contrast to the extensive navigation required by currently-prevalent genome browsers. We provide initial evidence that the tool simplified and accelerated workflows for these three tasks through three case studies. Finally, we reflect on the lessons learned in creating and refining data and task abstractions that allow for concise overviews of sprawling information spaces that can reduce or remove the need for the memory-intensive use of navigation.","https://ieeexplore.ieee.org/document/6634170/","LOCKED","6634170","University of British Columbia","https://ieeexplore.ieee.org/author/37077232000","1","Joel A. Ferstay","37077232000","University of British Columbia","https://ieeexplore.ieee.org/author/37077472200","2","Cydney B. Nielsen","37077472200","University of British Columbia","https://ieeexplore.ieee.org/author/37349490300","3","Tamara Munzner","37349490300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","0","Journals","10.1109/TVCG.2013.214","2555","https://ieeexplore.ieee.org/document/6634170/","Bioinformatics","Genomics","bioinformatics","","","","","","","Sequential analysis","Browsers","Databases","Context awareness","Design methodology","genetic variants","Information visualization","design study","Bioinformatics","Genomics","Sequential analysis","Browsers","Databases","Context awareness","Design methodology","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634170","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","61","2546","Variant View: Visualizing Sequence Variants in their Gene Context","19"
"Conflicting results are reported in the literature on whether dynamic visualizations are more effective than static visualizations for learning and mastering 3-D tasks, and only a few investigations have considered the influence of the spatial abilities of the learners. In a study with 117 participants, we compared the benefit of static vs. dynamic visualization training tools on learners with different spatial abilities performing a typical 3-D task (specifically, creating orthographic projections of a 3-D object). We measured the spatial abilities of the participants using the Mental Rotation Test (MRT) and classified participants into two groups (high and low abilities) to examine how the participants' abilities predicted change in performance after training with static versus dynamic training tools. Our results indicate that: 1) visualization training programs can help learners to improve 3-D task performance, 2) dynamic visualizations provide no advantages over static visualizations that show intermediate steps, 3) training programs are more beneficial for individuals with low spatial abilities than for individuals with high spatial abilities, and 4) training individuals with high spatial abilities using dynamic visualizations provides little benefit.","https://ieeexplore.ieee.org/document/6634097/","LOCKED","6634097","University of Victoria","https://ieeexplore.ieee.org/author/37076964000","1","Maria-Elena Froese","37076964000","University of Victoria","https://ieeexplore.ieee.org/author/37275861300","2","Melanie Tory","37275861300","University of Victoria","https://ieeexplore.ieee.org/author/37077562900","3","Guy-Warwick Evans","37077562900","University of Victoria","https://ieeexplore.ieee.org/author/37077359900","4","Kedar Shrikhande","37077359900","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","Journals","10.1109/TVCG.2013.156","2817","https://ieeexplore.ieee.org/document/6634097/","Spatial resolution","Animation","evaluation","orthographic projection","","","","","","Optimized production technology","Design automation","Atmospheric measurements","Particle measurements","CAD.","Spatial ability","3D visualization","training","Spatial resolution","Animation","Optimized production technology","Design automation","Atmospheric measurements","Particle measurements","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634097","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","62","2810","Evaluation of Static and Dynamic Visualization Training Approaches for Users with Different Spatial Abilities","19"
"The considerable previous work characterizing visualization usage has focused on low-level tasks or interactions and high-level tasks, leaving a gap between them that is not addressed. This gap leads to a lack of distinction between the ends and means of a task, limiting the potential for rigorous analysis. We contribute a multi-level typology of visualization tasks to address this gap, distinguishing why and how a visualization task is performed, as well as what the task inputs and outputs are. Our typology allows complex tasks to be expressed as sequences of interdependent simpler tasks, resulting in concise and flexible descriptions for tasks of varying complexity and scope. It provides abstract rather than domain-specific descriptions of tasks, so that useful comparisons can be made between visualization systems targeted at different application domains. This descriptive power supports a level of analysis required for the generation of new designs, by guiding the translation of domain-specific problems into abstract tasks, and for the qualitative evaluation of visualization usage. We demonstrate the benefits of our approach in a detailed case study, comparing task descriptions from our typology to those derived from related work. We also discuss the similarities and differences between our typology and over two dozen extant classification systems and theoretical frameworks from the literatures of visualization, human-computer interaction, information retrieval, communications, and cartography.","https://ieeexplore.ieee.org/document/6634168/","LOCKED","6634168","University of British Columbia","https://ieeexplore.ieee.org/author/37719161300","1","Matthew Brehmer","37719161300","University of British Columbia","https://ieeexplore.ieee.org/author/37349490300","2","Tamara Munzner","37349490300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215","0","Journals","10.1109/TVCG.2013.124","2385","https://ieeexplore.ieee.org/document/6634168/","Topology","Modeling","","","","","","","","Qualitative evaluations","Encoding","qualitative evaluation","Typology","visualization models","task and requirements analysis","","","Topology","Modeling","Qualitative evaluations","Encoding","","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634168","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","63","2376","A Multi-Level Typology of Abstract Visualization Tasks","19"
"For preserving the grotto wall paintings and protecting these historic cultural icons from the damage and deterioration in nature environment, a visual analytics framework and a set of tools are proposed for the discovery of degradation patterns. In comparison with the traditional analysis methods that used restricted scales, our method provides users with multi-scale analytic support to study the problems on site, cave, wall and particular degradation area scales, through the application of multidimensional visualization techniques. Several case studies have been carried out using real-world wall painting data collected from a renowned World Heritage site, to verify the usability and effectiveness of the proposed method. User studies and expert reviews were also conducted through by domain experts ranging from scientists such as microenvironment researchers, archivists, geologists, chemists, to practitioners such as conservators, restorers and curators.","https://ieeexplore.ieee.org/document/6634172/","LOCKED","6634172","School of Computer Software and Information Technology Research Center for Cultural Heritage Conservation and Promotion, Tianjin University","https://ieeexplore.ieee.org/author/37281468400","1","Jiawan Zhang","37281468400","School of Computer Software, Tianjin University","https://ieeexplore.ieee.org/author/37077859700","2","Kai Kang","37077859700","School of Computer Software, Tianjin University","https://ieeexplore.ieee.org/author/37077286900","3","Dajian Liu","37077286900","School of Computer Software, Tianjin University","https://ieeexplore.ieee.org/author/37077785900","4","Ye Yuan","37077785900","School of Computer Software, Tianjin University","https://ieeexplore.ieee.org/author/37085592798","5","E. Yanli","37085592798","","","","","","","","","","","","","","","","","","","","","7","0","Journals","10.1109/TVCG.2013.219","1991","https://ieeexplore.ieee.org/document/6634172/","Data visualization","Painting","","","","","","","","Cultural differences","Correlation","Visual analytics","Visual Analytics","Cultural Heritage","Wall Paintings","Degradation","","Data visualization","Painting","Cultural differences","Correlation","Visual analytics","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634172","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","64","1982","Vis4Heritage: Visual Analytics Approach on Grotto Wall Painting Degradations","19"
"Electronic Health Records (EHRs) have emerged as a cost-effective data source for conducting medical research. The difficulty in using EHRs for research purposes, however, is that both patient selection and record analysis must be conducted across very large, and typically very noisy datasets. Our previous work introduced EventFlow, a visualization tool that transforms an entire dataset of temporal event records into an aggregated display, allowing researchers to analyze population-level patterns and trends. As datasets become larger and more varied, however, it becomes increasingly difficult to provide a succinct, summarizing display. This paper presents a series of user-driven data simplifications that allow researchers to pare event records down to their core elements. Furthermore, we present a novel metric for measuring visual complexity, and a language for codifying disjoint strategies into an overarching simplification framework. These simplifications were used by real-world researchers to gain new and valuable insights from initially overwhelming datasets.","https://ieeexplore.ieee.org/document/6634100/","LOCKED","6634100","Department of Computer Science & Human-Computer Interaction Lab, University of Maryland","https://ieeexplore.ieee.org/author/37077104400","1","Megan Monroe","37077104400","Department of Computer Science & Human-Computer Interaction Lab, University of Maryland","https://ieeexplore.ieee.org/author/37077712800","2","Rongjian Lan","37077712800","Department of Computer Science & Human-Computer Interaction Lab, University of Maryland","https://ieeexplore.ieee.org/author/37077201200","3","Hanseung Lee","37077201200","Department of Computer Science & Human-Computer Interaction Lab, University of Maryland","https://ieeexplore.ieee.org/author/37283026800","4","Catherine Plaisant","37283026800","Department of Computer Science & Human-Computer Interaction Lab, University of Maryland","https://ieeexplore.ieee.org/author/37283016400","5","Ben Shneiderman","37283016400","","","","","","","","","","","","","","","","","","","","","125","3","Journals","10.1109/TVCG.2013.200","2236","https://ieeexplore.ieee.org/document/6634100/","Complexity theory","Electronic medical records","","","","","","","","Data mining","Data visualization","Market research","temporal query","Event sequences","simplification","electronic heath records","","Complexity theory","Electronic medical records","Data mining","Data visualization","Market research","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634100","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","65","2227","Temporal Event Sequence Simplification","19"
