"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"This paper examines the role of experimental design, data acquisition equipment, and system integration in the holistic solution picture. Issues include data formats, distributed computing environments, and the need for truly interactive, even real-time systems. A major theme is reaching beyond volume visualization to 'volume comprehension' through volume segmentation, mensuration, and geometry extraction.<>","https://ieeexplore.ieee.org/document/175828/","LOCKED","175828","","","1","V. Argiro","","","","2","M. Whitton","","","","3","A. Evans","","","","4","W. Massell","","","","5","S. Paddock","","","","6","E. Fishman","","","","","","","0","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175828","357","Biomedical imaging","Biomedical engineering","Hardware","Data visualization","Software tools","Laboratories","Springs","Software standards","Workstations","Rendering (computer graphics)","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175828","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","22","354","Volume visualization comes of age: the state of the art in technology and application"
"A low-cost, high-performance visualization tool based on the IBM PC is described. Characteristics of scientific and engineering visualization and requirements for real time analysis are discussed. Application programming without coding by use of flowgraphs is also presented.<>","https://ieeexplore.ieee.org/document/175832/","LOCKED","175832","Johns Hopkins Univ., Laurel, MD, USA","https://ieeexplore.ieee.org/author/37428175700","1","Q.E. Dolecek","37428175700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175832","371","Multidimensional systems","Microcomputers","Data visualization","Computer graphics","Costs","Hardware","Data engineering","Analytical models","Rendering (computer graphics)","Workstations","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175832","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","23","368","Multidimensional real time visualization on personal computers"
"A collaboration designed to demonstrate the possibilities of access to supercomputers via the high-speed wide-area networks in order to carry out sophisticated, interactive visualization on local workstations is described. The test case was visualization of 3D magnetic resonance imaging data, with a Vray performing surface reconstruction to generate a set of triangles. The resulting geometric data was sent to a local workstation to be rendered, with minor enhancements to current network protocols enabling effective utilization of the 45 Mb bandwidth of a T3-based network.<>","https://ieeexplore.ieee.org/document/175834/","LOCKED","175834","Lawrence Berkeley Lab., California Univ., Berkeley, CA, USA","https://ieeexplore.ieee.org/author/37342242100","1","D.W. Robertson","37342242100","Lawrence Berkeley Lab., California Univ., Berkeley, CA, USA","https://ieeexplore.ieee.org/author/37340016200","2","V.L. Jacobson","37340016200","Lawrence Berkeley Lab., California Univ., Berkeley, CA, USA","https://ieeexplore.ieee.org/author/37277350600","3","W.E. Johnston","37277350600","Lawrence Berkeley Lab., California Univ., Berkeley, CA, USA","https://ieeexplore.ieee.org/author/38270974600","4","S.C. Loken","38270974600","Lawrence Berkeley Lab., California Univ., Berkeley, CA, USA","https://ieeexplore.ieee.org/author/38221931300","5","E.H. Theil","38221931300","Lawrence Berkeley Lab., California Univ., Berkeley, CA, USA","https://ieeexplore.ieee.org/author/37276286600","6","B.L. Tierney","37276286600","","","","","","2","1","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175834","382","Workstations","Supercomputers","Data visualization","Collaborative work","Testing","Magnetic resonance imaging","Performance evaluation","Surface reconstruction","Image reconstruction","Protocols","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175834","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","24","379","Distributed visualization using workstations, supercomputers, and high speed networks"
"Blood movement investigated by magnetic resonance (MR) velocity mapping is generally presented in the form of velocity components in one or more chosen velocity encoding directions. By viewing these components separately, it is difficult for MR practitioners to conceptualize and comprehend the underlying flow structures, especially when the image data have strong background noise. A flow visualization technique that adapts the idea of particle tracing used in classical fluid dynamics for visualizing flow is presented. The flow image processing relies on the strong correlation between the principal flow direction estimated from the distribution of the modulus of the velocity field and the direction derived from the raw image data. By correlation calculation, severe background noise can be eliminated. Flow pattern rendering and animation provide an efficient way for representing internal flow structures.<>","https://ieeexplore.ieee.org/document/175801/","LOCKED","175801","Dept. of Comput., Imperial Coll., London Univ., UK","https://ieeexplore.ieee.org/author/37276270800","1","G.Z. Yang","37276270800","Dept. of Comput., Imperial Coll., London Univ., UK","https://ieeexplore.ieee.org/author/37618336200","2","P. Burger","37618336200","","https://ieeexplore.ieee.org/author/37372075800","3","P.J. Kilner","37372075800","","https://ieeexplore.ieee.org/author/37272738600","4","R.H. Mohiaddin","37272738600","","","","","","","","","","","","","","","","7","3","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175801","209","In vivo","Blood flow","Magnetic resonance imaging","Background noise","Data visualization","Magnetic resonance","Image coding","Fluid dynamics","Image processing","Rendering (computer graphics)","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175801","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","25","202","In vivo blood flow visualization with magnetic resonance imaging"
"A recently completed implementation of a virtual environment for exploring numerically generated three-dimensional unsteady flowfields is described. A boom-mounted six-degree-of-freedom head-position-sensitive stereo CRT system is used for viewing. A hand-position-sensitive glove controller is used for injecting various tracers (e.g. smoke) into the virtual flowfield. A multiprocessor graphics workstation is used for computation and rendering. The techniques for visualizing unsteady flows are described, and the computer requirements for a variety of visualization techniques are discussed. These techniques generalize to visualization of other 3D vector fields.<>","https://ieeexplore.ieee.org/document/175771/","LOCKED","175771","NASA Ames Res. Center, Moffett Field, CA, USA","https://ieeexplore.ieee.org/author/37388808200","1","S. Bryson","37388808200","NASA Ames Res. Center, Moffett Field, CA, USA","https://ieeexplore.ieee.org/author/37671515100","2","C. Levit","37671515100","","","","","","","","","","","","","","","","","","","","","","","","","","53","1","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175771","24","Visualization","Computer graphics","Fluid flow","Virtual environment","Computer displays","Numerical simulation","NASA","Computational modeling","Chaos","Computational fluid dynamics","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175771","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","26","17","The virtual windtunnel-an environment for the exploration of three-dimensional unsteady flows"
"A set of volume visualization tools that are based on the use of recursive ray tracing as the primary vehicle for realistic volume imaging is presented. The tools include shadows, mirrors, specularity, and constructive solid geometry. The underlying representation for the ray tracer is a 3-D raster of voxels that holds the discrete form of the scene. Unlike traditional volume rendering techniques, the discrete recursive ray tracer models many illumination phenomena by traversing discrete rays in voxel space. The approach provides true ray tracing of sampled or computed datasets, as well as ray tracing of hybrid scenes where sampled or computed data are intermixed with geometric models and enhances the understanding of complex biomedical datasets.<>","https://ieeexplore.ieee.org/document/175805/","LOCKED","175805","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37342422500","1","R. Yagel","37342422500","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37268052800","2","A. Kaufman","37268052800","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/38225529300","3","Q. Zhang","38225529300","","","","","","","","","","","","","","","","","","","","","11","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175805","231","Ray tracing","Layout","Biomedical computing","Visualization","Vehicles","Mirrors","Solids","Geometry","Lighting","Extraterrestrial phenomena","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175805","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","27","226","Realistic volume imaging"
"A description is given of a software system, TOPO, that numerically analyzes and graphically displays topological aspects of a three-dimensional vector field, v, to produce a single, relatively simple picture that characterizes v. The topology of v considered consists of its critical points (where v=0), their invariant manifolds, and the integral curves connecting these invariant manifolds. The field in the neighborhood of each critical point is approximated by the Taylor expansion. The coefficients of the first nonzero term of the Taylor expansion around a critical point are the 3*3 matrix Delta v. Critical points are classified by examining Delta v's eigenvalues. The eigenvectors of Delta v span the invariant manifolds of the linearized field around a critical point. Curves integrated from initial points on the eigenvectors a small distance from a critical point connect with other critical points (or the boundary) to complete the topology. One class of critical surfaces that is important in computational fluid dynamics is analyzed.<>","https://ieeexplore.ieee.org/document/175773/","LOCKED","175773","","https://ieeexplore.ieee.org/author/37377256900","1","A. Globus","37377256900","","https://ieeexplore.ieee.org/author/37671515100","2","C. Levit","37671515100","","https://ieeexplore.ieee.org/author/37671524000","3","T. Lasinski","37671524000","","","","","","","","","","","","","","","","","","","","","120","2","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175773","40","Topology","Data visualization","Differential equations","Computer displays","NASA","Taylor series","Three dimensional displays","Joining processes","Eigenvalues and eigenfunctions","Isosurfaces","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175773","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","28","33","A tool for visualizing the topology of three-dimensional vector fields"
"An experimental volume visualization system, NetV, that distributes volume imaging tasks to appropriate network resources is described. NetV gives offsite scientists easy access to high-end volume imaging software and hardware. The system allows a user to submit volume imaging jobs to an imaging spooler on a visualization-server. Remote high-power compute engines process rendering tasks, while local workstations run the user-interface. The time required to submit a job, render the job on a mini-supercomputer-class machine, and return the volume imaging to the offsite scientist is far less than the time it would take to create a similar image on a local workstation-class machine.<>","https://ieeexplore.ieee.org/document/175807/","LOCKED","175807","San Diego Supercomput. Center, Adv. Sci. Visualization Lab., CA, USA","https://ieeexplore.ieee.org/author/37389499500","1","T.T. Elvins","37389499500","San Diego Supercomput. Center, Adv. Sci. Visualization Lab., CA, USA","https://ieeexplore.ieee.org/author/37374054100","2","D.R. Nadeau","37374054100","","","","","","","","","","","","","","","","","","","","","","","","","","9","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175807","245","Data visualization","Engines","Workstations","Rendering (computer graphics)","Supercomputers","Costs","Computer networks","Computer interfaces","Software tools","Hardware","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175807","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","29","239","NetV: an experimental network-based volume visualization system"
"Methods for displaying scientific data using textures and raster operations rather than geometric techniques are described. The flexibility and simplicity of raster operations allow a greater choice of visualization techniques with only a small set of basic operations. In addition, texture mapping techniques that allow the representation of several variables simultaneously, without a high degree of clutter, are shown. The combination of traditional geometric techniques, image composition techniques, and image rendering techniques can be integrated into a single framework for the display of scientific data. A system for generating and operating on textures and images for the purposes of scientific visualization is presented. To illustrate its advantage, the development of bump maps for vector filters and contour lines is demonstrated.<>","https://ieeexplore.ieee.org/document/175811/","LOCKED","175811","Lawrence Livermore Nat. Lab., CA, USA","https://ieeexplore.ieee.org/author/37284273900","1","R.A. Crawfis","37284273900","Lawrence Livermore Nat. Lab., CA, USA","https://ieeexplore.ieee.org/author/38227501100","2","M.J. Allison","38227501100","","","","","","","","","","","","","","","","","","","","","","","","","","10","23","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175811","267","Synthesizers","Rendering (computer graphics)","Data visualization","Laboratories","Simultaneous localization and mapping","Displays","Filters","Graphics","Workstations","Pixel","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175811","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","30","262","A scientific visualization synthesizer"
"An algorithm for rendering of orthographic views of volume data on data-parallel computer architectures is described. In particular, the problem or rotating the volume in regard to the communication overhead associated with finely distributed memory is analyzed. An earlier technique (shear decomposition) is extended to 3D, and it is shown how this can be mapped onto a data-parallel architecture using only grid communication during the resampling associated with the rotation. The rendering uses efficient parallel computation constructs that allow one to use sophisticated shading models and still maintain high-speed throughout. This algorithm has been implemented on the connection machine and is used in an interactive volume-rendering application, with multiple frames-per-second performance.<>","https://ieeexplore.ieee.org/document/175777/","LOCKED","175777","Thinking Machines Corp., Cambridge, MA, USA","https://ieeexplore.ieee.org/author/37282570000","1","P. Schroder","37282570000","Thinking Machines Corp., Cambridge, MA, USA","https://ieeexplore.ieee.org/author/38168664800","2","J.B. Salem","38168664800","","","","","","","","","","","","","","","","","","","","","","","","","","26","4","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175777","57","Parallel architectures","Shape","Concurrent computing","Parallel programming","Hardware","Pixel","Hypercubes","Topology","Programming profession","Rendering (computer graphics)","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175777","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","31","50","Fast rotation of volume data on parallel architectures"
"A method of visualizing equations in their explicit form using 3D fields is described. Equations are written algebraically, interpreted by an equation parser, and then expressed as scalar fields. Fields are represented as isosurfaces, making use of an algorithm similar to the method of marching cubes. The implementation allows the real-time interaction of equation parameters, isosurface rotations, and coloring. A variety of applications from mathematics and physics are given, together with examples of construction of data probes using equations.<>","https://ieeexplore.ieee.org/document/175781/","LOCKED","175781","IBM European Visualization Centre, Winchester, UK","https://ieeexplore.ieee.org/author/38224624000","1","D. Watson","38224624000","IBM European Visualization Centre, Winchester, UK","https://ieeexplore.ieee.org/author/38111071800","2","J. Wejchert","38111071800","IBM European Visualization Centre, Winchester, UK","https://ieeexplore.ieee.org/author/38225762300","3","D.W. Williams","38225762300","IBM European Visualization Centre, Winchester, UK","https://ieeexplore.ieee.org/author/38099457200","4","B.M. Collins","38099457200","","","","","","","","","","","","","","","","1","1","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175781","82","Equations","Isosurfaces","Data visualization","Winches","Graphics","Solid modeling","Displays","Mathematics","Physics","Probes","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175781","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","32","76","Visualization of equations in an interactive environment"
"A method for visualizing hierarchically structured information is described. The tree-map visualization technique makes 100% use of the available display space, mapping the full hierarchy onto a rectangular region in a space-filling manner. This efficient use of space allows very large hierarchies to be displayed in their entirety and facilitates the presentation of semantic information. Tree-maps can depict both the structure and content of the hierarchy. However, the approach is best suited to hierarchies in which the content of the leaf nodes and the structure of the hierarchy are of primary importance, and the content information associated with internal nodes is largely derived from their children.<>","https://ieeexplore.ieee.org/document/175815/","LOCKED","175815","Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA","https://ieeexplore.ieee.org/author/37381975300","1","B. Johnson","37381975300","Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA","https://ieeexplore.ieee.org/author/37283016400","2","B. Shneiderman","37283016400","","","","","","","","","","","","","","","","","","","","","","","","","","423","81","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175815","291","Visualization","Feedback","Computer displays","Computer science","Laboratories","Educational institutions","Libraries","Humans","Marine vehicles","Two dimensional displays","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175815","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","33","284","Tree-maps: a space-filling approach to the visualization of hierarchical information structures"
"Techniques for visualizing mathematical objects in four-dimensional (4D) space that exploit four-dimensional lighting effects are explored. The geometry of image production, stereography, and shadows in 4D is analyzed. Alternatives for smooth and specular shaded rendering of curves, surfaces, and solids in 4D are examined and a new approach that systematically converts curves or surfaces into uniquely renderable solids in 4D space by attaching spheres or circles to each point is proposed. Analogs of 3D shading methods are used to produce volume renderings that distinguish objects whose 3D projections from 4D are identical. Analyzing the procedures needed to justify and evaluate a system as this for teaching humans to 'see' in four dimensions leads to the proposal of a generally applicable four-step visualization paradigm.<>","https://ieeexplore.ieee.org/document/175821/","LOCKED","175821","Dept. of Comput. Sci., Indiana Univ., Bloomington, IN, USA","https://ieeexplore.ieee.org/author/37333439100","1","A.J. Hanson","37333439100","Dept. of Comput. Sci., Indiana Univ., Bloomington, IN, USA","https://ieeexplore.ieee.org/author/37283077400","2","P.A. Heng","37283077400","","","","","","","","","","","","","","","","","","","","","","","","","","12","1","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175821","328","Visualization","Geometry","Rendering (computer graphics)","Solids","Production","Image analysis","Image converters","Joining processes","Education","Humans","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175821","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","34","321","Visualizing the fourth dimension using geometry and light"
"A computer was used to help study the packing of equal spheres in dimension four and higher. A candidate of the densest packing in 4-space is described. The configuration of 24 spheres touching a central sphere in this packing is shown to be rigid, unlike the analog in 3-space, in which the spheres can slide past each other. A system for interactively manipulating and visualizing such configurations is described. The Voronoi cell for a sphere is the set of points closer to its center than to any other sphere center in the packing. The packing density is the ratio of a sphere's volume to the average of the volumes of the Voronoi cells. A method of constructing Voronoi cells and computing their volumes that works in any dimension is presented. Examples of Voronoi cell volumes are given.<>","https://ieeexplore.ieee.org/document/175785/","LOCKED","175785","California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37267387800","1","N. Max","37267387800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175785","108","FCC","Lattices","Laboratories","Visualization","Physics","Chemistry","Crystals","Error correction codes","Protection","","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175785","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","35","102","Computer assisted sphere packing in higher dimensions"
"Partial automation of the task of designing graphical displays that effectively depict the data to be visualized through cooperative computer-aided design (CCAD) is described. This paradigm combines the strengths of manual and automated design by interspersing guiding design operations by the human user with the exploration of design alternatives by the computer. The approach is demonstrated in the context of the IVE design system, a CCAD environment for the design of scientific visualizations using a set of design rules that combine primitive visualization components in different ways. These alternatives are presented graphically to the user, who can browse through them, select the most promising visualization, and refine it manually.<>","https://ieeexplore.ieee.org/document/175819/","LOCKED","175819","Harvard Univ., Cambridge, MA, USA","https://ieeexplore.ieee.org/author/37378493100","1","S. Kochhar","37378493100","Harvard Univ., Cambridge, MA, USA","https://ieeexplore.ieee.org/author/37390684200","2","M. Friedell","37390684200","","https://ieeexplore.ieee.org/author/37671059300","3","M. LaPolla","37671059300","","","","","","","","","","","","","","","","","","","","","6","2","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175819","313","Design automation","Data visualization","Rendering (computer graphics)","Computer displays","Laboratories","Humans","Geophysics computing","Application software","Manuals","Telephony","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175819","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","36","306","Cooperative, computer-aided design of scientific visualizations"
"Addresses 3D visualization techniques now being developed that are specific to coarse, irregular grid fields such as finite-element models. These include direct-generation of isovalues from finite elements, display of 3D gradient and tensor quantities, and the display of multiple states of behavior, items common to general 3D visualization, but with specific algorithmic and implementation issues in finite element analysis.<>","https://ieeexplore.ieee.org/document/175823/","LOCKED","175823","","https://ieeexplore.ieee.org/author/38179868800","1","R.S. Gallagher","38179868800","","https://ieeexplore.ieee.org/author/37271377200","2","R.B. Haber","37271377200","","https://ieeexplore.ieee.org/author/38227450500","3","G. Ferguson","38227450500","","https://ieeexplore.ieee.org/author/38224713300","4","D. Parker","38224713300","","https://ieeexplore.ieee.org/author/38224641300","5","D. Stillman","38224641300","","https://ieeexplore.ieee.org/author/38222078500","6","J. Winget","38222078500","","","","","","3","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175823","335","Visualization","Finite element methods","Computer graphics","Three dimensional displays","Computer displays","Kinematics","Algorithm design and analysis","Computational modeling","Computer simulation","Tensile stress","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175823","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","37","330","Applying 3D visualization techniques to finite element analysis"
"Television coverage of golf fails to bring the viewer an appreciation of the complex topography of a golf green and how that topography affects the putting of golf balls. A computer graphics simulation that enhances the viewer's perception of these features using shaded polygonal models of the actual golf green used in tournaments is presented. Mathematical modeling of the golf ball's trajectory on its way toward the hole further enhances viewer understanding. A putting difficulty map assesses the relative difficulty of putting from each location on the green to a given pin position. The object-oriented system is written in C and runs on a variety of 3D graphics workstations. As an experiment, the system was used at a professional golf tournament and correctly simulated all putts during the final round.<>","https://ieeexplore.ieee.org/document/175787/","LOCKED","175787","General Electric Co., Schenectady, NY, USA","https://ieeexplore.ieee.org/author/37378427200","1","W.E. Lorensen","37378427200","General Electric Co., Schenectady, NY, USA","https://ieeexplore.ieee.org/author/37086987129","2","B. Yamron","37086987129","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175787","123","Visualization","Cameras","Object oriented modeling","Surfaces","Computer graphics","TV","Horses","Sun","Research and development","Computational modeling","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175787","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","38","116","Golf green visualization"
"Gray-scale diagrams, which can present large amounts of quantitative information in a compact format, are considered as a candidate for business charts. Hundreds of data points can easily be represented in one diagram, using small gray-scale squares (or tiles), without visually overloading a viewer. An experiment was done to compare the subjects' responses to questions from three types of charts, traditional column and line charts and gray-scale tile charts. The results showed that questions were answered more correctly and more quickly using gray-scale tile charts than using traditional charts. However, subjects reported they experienced more strain using gray-scale charts.<>","https://ieeexplore.ieee.org/document/175791/","LOCKED","175791","Dept. of Inf. & Decisions Syst., San Diego State Univ., San Diego, CA, USA","https://ieeexplore.ieee.org/author/38221881400","1","W.R. Feeney","38221881400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175791","147","Data visualization","Tiles","Graphics","Marketing and sales","Companies","Capacitive sensors","Large-scale systems","Publishing","Hardware","Microcomputers","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175791","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","39","140","Gray scale diagrams as business charts"
"This paper addresses the question of how the work of the scientist will change in the new multimedia environments. Scenarios for the process of simulating and analyzing data in such environments are constructed, and some of the underlying models used in their construction are examined.<>","https://ieeexplore.ieee.org/document/175827/","LOCKED","175827","","","1","M.M. Blattner","","","","2","G. Grinstein","","","","3","E.P. Glinert","","","","4","W. Hill","","","","5","C. Levit","","","","6","S. Smith","","","","","","","3","4","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175827","353","Data analysis","Analytical models","Data visualization","Computational modeling","Computer simulation","Computer interfaces","Mathematical programming","Microcomputers","Computer graphics","Humans","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175827","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","40","348","Multimedia environments for scientists"
"A technique that harnesses color and texture perception to create integrated displays of 2D image-like multiparameter distributions is presented. The power of the technique is demonstrated by an example of a synthesized dataset and compared with several other proposed techniques. The nature of studies that are required to measure objectively and accurately the effectiveness of such displays is discussed.<>","https://ieeexplore.ieee.org/document/175795/","LOCKED","175795","Dept. of Comput. Sci., Lowell Univ., MA, USA","","1","H. Levkowitz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","4","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175795","170","Computer displays","Data visualization","Image analysis","Shape","Merging","Computer science","Geologic measurements","Spatial coherence","Biomedical imaging","Geology","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175795","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","41","164","Color icons-merging color and texture perception for integrated visualization of multiple parameters"
